GENE_SUBCLASS,GENOMIC_END_POSITION,GENE_DB_ID,GENE_LABEL,ENCODED_PROTEIN,GENE_TYPE,ORTHOLOGOUS_GENE,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION
0,1876035,8,8,0,0,6,0,1875234,1
0,2142187,11,11,0,0,6,0,2141417,0
1,275277,80,80,1,1,24,10,274428,1
0,269706,79,79,0,0,1,10,268867,1
1,38228,37,37,1,1,20,2,37383,1
0,3262372,20,20,0,0,6,0,3261454,0
0,25560,82,82,0,0,18,11,24687,1
0,2719283,17,17,0,0,6,0,2718513,1
1,1327109,36,36,1,1,16,1,1326221,0
0,2204201,59,59,0,0,12,7,2203363,0
1,158919,70,70,1,1,9,8,158069,1
0,3975768,28,28,0,0,6,0,3974919,1
0,39819,56,56,0,0,12,7,38942,1
1,2540373,88,88,1,1,13,12,2539532,0
0,1724295,7,7,0,0,6,0,1723447,1
0,38635,31,31,0,0,21,1,37782,1
0,3317261,21,21,0,0,19,0,3316454,0
0,1915568,73,73,0,0,15,9,1914680,0
0,3606467,25,25,0,0,6,0,3605616,1
1,54816,83,83,1,1,26,11,54210,1
0,3004473,93,93,0,0,7,12,3003601,0
0,945646,3,3,0,0,6,0,944778,0
1,3322956,22,22,1,1,17,0,3322346,0
0,77311,69,69,0,0,14,8,76454,1
0,1246424,42,42,0,0,23,2,1245547,0
0,142754,51,51,0,0,4,6,141951,1
0,154097,34,34,0,0,21,1,153229,1
0,2162140,12,12,0,0,6,0,2161295,0
0,2757051,67,67,0,0,12,7,2756282,0
0,101348,32,32,0,0,21,1,100477,1
1,1952144,74,74,1,1,5,9,1951303,0
0,1020391,5,5,0,0,6,0,1019675,1
0,125845,45,45,0,0,2,3,124993,1
0,2147489,76,76,0,0,15,9,2146611,0
0,38619,68,68,0,0,14,8,37778,1
0,2892309,91,91,1,0,7,12,2891431,0
0,3391445,24,24,0,0,6,0,3390568,0
0,2643106,14,14,0,0,6,0,2642236,1
1,1262158,35,35,1,1,16,1,1261553,1
1,55415,44,44,1,1,10,3,54574,1
0,1485980,6,6,0,0,6,0,1485132,0
0,1921590,9,9,0,0,6,0,1920764,1
0,2962823,92,92,0,0,7,12,2961940,0
0,662876,2,2,0,0,6,0,661993,0
0,2204969,13,13,0,0,6,0,2204104,0
0,1169728,41,41,0,0,23,2,1168878,0
1,3816233,27,27,1,1,17,0,3815712,1
0,966090,4,4,0,0,6,0,965326,0
0,12142,81,81,0,0,18,11,11266,1
1,821383,48,48,1,1,8,5,820716,0
1,112285,33,33,1,1,16,1,111421,1
0,64049,57,57,0,0,12,7,63169,1
0,192869,53,53,0,0,4,6,192142,1
0,2496884,86,86,0,0,7,12,2496068,0
0,828942,49,49,0,0,3,5,828084,0
0,2529801,87,87,0,0,7,12,2529108,0
0,2352044,65,65,0,0,12,7,2351276,0
1,2438930,85,85,1,1,13,12,2438042,0
0,2391240,84,84,0,0,7,12,2390337,0
1,3991520,29,29,1,1,17,0,3990804,1
0,1331602,43,43,0,0,23,2,1330730,0
0,2243165,61,61,0,0,12,7,2242292,0
0,116573,50,50,0,0,4,6,115693,1
1,3063838,19,19,1,1,17,0,3062958,0
1,23136,71,71,1,1,5,9,22268,1
0,2225530,60,60,0,0,12,7,2224665,0
0,261853,78,78,0,0,1,10,260974,1
0,4024730,30,30,0,0,6,0,4023849,1
1,1880277,72,72,1,1,5,9,1879630,0
0,2255095,62,62,0,0,12,7,2254228,0
0,2516546,66,66,0,0,12,7,2515700,0
1,1128659,40,40,1,1,20,2,1127821,0
0,55511,38,38,0,0,23,2,54642,1
0,3738822,26,26,0,0,6,0,3737984,1
1,348095,58,58,1,1,22,7,347237,1
0,457739,0,0,0,0,6,0,456886,0
0,2046644,55,55,0,0,4,6,2045803,0
0,2694165,16,16,0,0,6,0,2693285,1
0,628692,1,1,0,0,6,0,627812,0
0,2818500,18,18,0,0,6,0,2817655,1
1,233203,47,47,1,1,11,4,232562,1
1,128620,39,39,1,1,20,2,127990,1
0,123244,95,95,0,0,0,13,122639,1
1,2307434,64,64,1,1,22,7,2306628,0
0,78826,77,77,0,0,1,10,77954,1
0,3008338,94,94,0,0,7,12,3007458,0
0,2761970,90,90,0,0,7,12,2761122,0
1,2739954,89,89,1,1,13,12,2739159,0
0,2675306,15,15,0,0,6,0,2674538,1
0,2297063,63,63,0,0,12,7,2296185,0
0,1986682,75,75,0,0,15,9,1985810,0
1,165640,52,52,1,1,25,6,165014,1
0,2041980,10,10,0,0,6,0,2041132,1
1,3332749,23,23,1,1,17,0,3332028,0
0,1932707,54,54,0,0,4,6,1931872,0
1,156932,46,46,1,1,11,4,156093,1
