SportType,StageLabel,HostCountry,ProCyclingStatsRaceId,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,StageClassificationLeader,GeneralClassificationLeader,StageDescription
1,22,6,210080.0,3,10,2,9,13,17,19,1,13,4
1,2,8,173373.0,14,11,8,0,0,1,23,8,5,10
1,4,8,173375.0,2,9,16,0,2,3,5,13,5,10
1,16,9,181431.0,13,4,20,7,14,27,8,16,14,3
1,3,8,173374.0,14,6,17,0,1,2,4,14,5,10
1,10,8,181883.0,21,6,22,3,7,12,11,19,7,8
1,6,8,173377.0,24,8,7,0,24,5,7,7,5,10
1,17,9,181430.0,23,7,20,6,24,10,15,18,14,11
1,25,10,256611.0,7,7,20,14,18,21,23,18,14,12
1,1,8,177341.0,14,1,8,1,5,0,0,16,5,0
1,23,5,247208.0,17,7,21,10,17,20,23,6,4,7
1,12,7,181338.0,12,2,15,7,16,27,2,16,11,2
1,9,8,181882.0,20,8,10,3,6,11,10,10,7,8
0,7,1,,25,11,18,2,4,6,23,15,12,4
1,28,11,279131.0,8,6,3,17,22,25,22,2,2,4
1,19,0,,4,10,23,8,9,14,16,20,15,4
1,14,3,180920.0,5,3,0,7,24,27,3,16,0,4
1,0,3,248213.0,22,8,1,11,24,19,23,0,1,4
1,27,2,270409.0,19,10,19,15,20,24,21,17,9,4
1,15,3,180917.0,9,10,24,5,8,8,14,21,16,4
1,26,2,270408.0,1,7,12,15,19,23,20,11,9,4
1,21,6,210079.0,3,10,5,9,12,16,23,4,3,4
1,24,4,256777.0,10,0,13,13,21,22,18,16,10,5
1,8,8,181886.0,20,1,10,7,11,27,1,16,7,1
1,20,0,,0,10,23,8,10,15,17,20,15,4
1,5,8,173376.0,18,6,14,0,3,4,6,12,5,10
1,18,8,181185.0,6,5,11,7,15,7,9,16,8,4
1,13,7,181337.0,11,8,6,4,24,9,13,5,11,9
1,11,8,181885.0,18,10,4,3,24,13,12,3,7,8
1,30,10,250966.0,16,6,25,12,25,18,23,22,17,6
1,29,5,290097.0,15,7,9,16,23,26,23,9,6,4
