SportType,StageLabel,HostCountry,ProCyclingStatsRaceId,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,StageClassificationLeader,GeneralClassificationLeader,StageDescription
1,6,4,164923.0,21,4,23,4,6,4,6,13,18,6
1,15,11,,12,20,19,9,11,13,17,10,5,5
1,7,0,164914.0,6,9,9,4,7,3,7,13,6,2
1,30,3,268395.0,8,20,20,17,27,24,35,11,15,7
1,5,1,150655.0,33,0,5,2,5,37,5,13,3,6
1,27,1,270408.0,2,18,18,16,24,26,27,9,14,2
1,13,11,,12,20,6,9,9,11,35,2,4,3
1,35,1,280808.0,17,20,8,21,29,36,30,4,16,2
1,24,4,247145.0,9,20,26,15,22,22,23,15,21,2
1,39,8,279710.0,27,19,17,25,34,32,33,8,13,2
1,10,12,170971.0,32,5,1,8,14,8,10,13,0,6
1,8,9,172294.0,11,16,27,5,8,5,8,13,22,6
1,42,5,171098.0,7,20,27,6,38,9,35,16,22,0
1,22,4,209918.0,20,7,15,14,21,21,19,13,11,6
1,26,1,270407.0,18,20,25,16,23,25,35,14,20,2
1,14,11,,12,20,7,9,10,12,16,3,4,4
1,9,0,170951.0,15,8,13,8,13,7,9,13,10,6
1,0,1,133071.0,29,0,31,0,0,37,0,13,25,6
1,38,2,279073.0,10,21,0,22,32,35,32,0,13,2
1,16,11,,12,17,29,9,12,14,18,17,5,1
1,23,7,218509.0,28,17,2,13,20,20,22,1,0,2
1,31,10,269684.0,22,20,17,18,40,23,35,8,13,2
1,20,12,,24,17,21,10,16,19,21,12,13,8
1,37,2,279072.0,4,20,16,22,31,34,31,7,12,2
1,4,5,,13,15,22,1,4,1,4,13,17,6
1,17,0,180813.0,25,2,32,12,39,16,13,13,26,6
1,3,6,138833.0,5,12,1,1,3,37,3,13,0,2
1,32,13,270514.0,31,6,28,20,30,29,25,13,23,6
1,29,1,270410.0,30,20,14,16,26,28,29,6,14,2
1,25,1,270414.0,18,0,4,20,28,37,24,13,2,6
1,12,11,180567.0,12,1,7,11,40,37,12,13,5,6
1,34,1,280812.0,0,0,16,24,36,37,26,13,12,6
1,41,11,168924.0,19,20,11,3,40,6,35,5,8,2
1,21,0,180844.0,1,13,24,12,19,17,15,13,19,6
1,11,6,179734.0,26,16,27,7,17,10,11,13,22,6
1,36,8,279692.0,34,3,3,23,37,31,35,13,1,2
1,18,4,180735.0,20,7,30,12,18,15,14,13,24,6
1,1,6,119991.0,16,11,10,0,1,0,1,13,7,2
0,33,4,,35,14,12,19,33,30,35,13,9,2
1,2,6,138490.0,16,10,17,1,2,2,2,13,13,2
1,19,12,,3,17,17,10,15,18,20,8,13,8
1,40,8,279711.0,14,20,17,25,35,33,34,8,13,2
1,28,1,270409.0,23,20,25,16,25,27,28,14,14,2
