Strand_Orientation,Genomic_Start_Position,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
0,41221,15,99,42426
0,446896,0,1,447552
0,1522857,14,38,1524263
0,918156,10,83,919364
0,9590,15,109,10687
1,1107152,23,108,1108489
0,32737,15,51,33930
0,340480,0,9,340851
0,579490,23,36,580857
0,5433,2,32,6500
1,596868,2,128,597683
0,480417,0,127,480599
1,1493559,4,39,1494962
0,436320,1,65,437003
1,725125,8,41,726501
1,1116176,10,107,1117420
1,628903,2,57,630240
0,1403372,10,104,1404649
0,2247,2,21,3182
1,83866,12,87,85134
1,532,0,80,1359
1,145715,5,91,146779
1,599905,15,111,601068
1,830434,15,13,831522
0,6249,0,7,7259
1,495068,2,93,496522
1,67296,17,137,68405
1,1046660,17,142,1047742
1,531106,23,151,532332
1,1897875,17,47,1898756
0,1944244,0,120,1944921
1,1071,17,74,2480
0,493452,21,43,494627
1,233434,0,3,233697
1,1586445,8,118,1587887
0,1865636,2,46,1867030
0,14641,17,11,15753
1,173582,10,132,174865
1,9307,2,92,10644
0,411703,23,52,412929
1,1266495,10,61,1267766
1,1505442,22,114,1506761
1,209856,17,152,211328
0,339975,1,73,340376
0,1171051,10,106,1172370
1,410007,2,88,411413
0,58461,17,98,59441
1,558766,23,89,559992
1,1787623,2,71,1789020
0,154221,6,154,155219
1,624868,15,42,626028
0,149964,17,139,151073
0,1732098,21,124,1733432
1,923378,2,84,924253
1,1651012,15,48,1651899
0,289018,21,72,290343
0,482659,15,79,484137
0,1001194,15,86,1002291
0,1750310,4,123,1751668
0,209817,4,153,211061
0,17596,2,26,18783
0,63997,2,30,65502
0,812281,2,54,813285
0,2016848,15,117,2018230
0,433053,2,126,434666
1,664775,2,129,665716
1,1246854,13,62,1248251
0,615924,23,56,617159
0,452175,2,94,452810
0,422017,17,146,423600
1,7716,2,49,9275
1,2089121,4,20,2090497
1,525035,23,150,526360
1,446523,23,149,447752
0,1933010,1,5,1933792
1,1777100,25,122,1778404
0,1126485,3,134,1127672
0,1740772,9,16,1741983
0,1071504,25,133,1072628
1,1151105,23,37,1152412
1,230514,7,81,231983
0,431189,17,6,432268
0,1014583,2,64,1015761
0,1364481,25,66,1365596
0,405798,1,8,405983
1,51379,2,136,52782
0,1,2,50,852
0,415855,2,101,417432
0,1599847,18,69,1601313
1,2051877,25,19,2053277
1,597786,0,75,598434
0,22417,2,25,23787
1,522770,23,112,523945
1,1622125,0,119,1622991
0,261617,2,60,262696
0,1412150,23,12,1413484
0,53844,0,27,54854
0,2156019,8,45,2157389
1,4900,15,59,6378
0,496600,0,155,497535
0,1092211,16,135,1093548
0,564966,18,35,566165
0,66767,17,97,67849
1,1803316,2,70,1804221
1,1546002,19,115,1547471
1,154689,20,110,155993
0,6122,2,24,6733
0,11150,15,29,12244
0,1497708,19,113,1499180
0,71553,15,31,72377
0,348280,21,10,349644
0,375718,25,2,377112
0,2,1,0,586
0,1398122,14,105,1398991
1,466476,0,95,467679
1,928210,2,77,929394
0,11954,0,22,13267
0,1458433,2,40,1459767
1,6742,20,34,7956
0,161326,25,140,162444
0,207000,0,58,207419
0,377627,18,53,378535
0,1682645,15,14,1683736
0,552229,2,90,553803
0,112967,2,138,114367
0,296987,15,78,298468
0,437786,15,100,439354
0,1419405,23,68,1420721
0,366097,0,148,367224
0,799199,0,141,799780
1,7366,17,17,8841
0,35940,24,130,37052
1,1361035,15,103,1361937
0,492284,2,55,492874
1,3,1,4,485
1,26910,5,82,27971
1,437293,0,96,437973
1,168840,2,33,169772
0,1950669,14,121,1951553
0,1384861,2,102,1386264
1,2073437,2,18,2074708
1,1070148,2,144,1071422
0,986558,0,85,987463
0,382214,17,23,383794
1,1369569,17,67,1370954
1,1155972,0,125,1156856
0,1025604,17,63,1026521
1,23234,15,145,24760
1,317777,15,147,318880
1,16457,15,131,17944
0,898190,3,76,899374
0,1671053,4,15,1672453
1,398281,21,28,399489
1,1557681,0,116,1558841
0,4708,9,44,6048
1,1064159,11,143,1065367
