Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,1474,51,50,9,1,10,24,0
1,107750,140,139,9,1,60,106153,0
0,4728447,71,70,8,0,25,4728247,1
0,673514,117,116,7,0,12,671973,1
1,192280,162,161,9,1,14,190928,0
1,2991723,156,155,9,1,44,2990299,1
0,98113,62,61,11,0,25,96665,1
0,234927,106,105,7,0,4,233464,1
0,3074,32,32,7,0,2,1527,1
1,117932,3,3,9,1,51,116413,1
1,194108,16,16,9,1,53,192547,1
1,38437,137,136,9,1,49,36916,0
0,1673892,129,128,0,0,46,1672390,1
1,56811,1,1,9,1,60,55260,1
1,34085,100,99,11,1,23,32568,0
1,13747,45,44,10,1,1,12274,0
1,4722977,92,91,9,1,47,4721453,1
1,55488,42,41,9,1,0,53963,1
1,6514,24,24,9,1,18,4976,1
1,1176353,119,118,9,1,22,1175359,1
1,397,21,21,9,1,8,120,0
1,268059,142,141,9,1,44,266604,0
0,1338858,64,63,8,0,59,1337821,0
0,140801,161,160,7,0,39,139203,0
0,3300734,68,67,7,0,25,3299619,0
1,147206,102,101,9,1,1,145692,1
0,4811681,75,74,7,0,25,4810350,1
1,1190683,121,120,9,1,56,1189121,1
1,1134,49,48,9,1,58,394,1
1,5469370,56,55,9,1,16,5468462,0
0,4592637,88,87,7,0,54,4591225,0
1,189308,104,103,9,1,23,187760,0
1,147872,14,14,9,1,53,146312,1
0,4790735,74,73,8,0,59,4789134,1
1,43444,101,100,12,1,23,41978,0
1,4055896,84,83,9,1,11,4054376,0
0,26455,58,57,11,0,59,24893,1
1,87159,61,60,11,1,16,85747,1
1,2653794,145,144,9,1,14,2652725,1
1,3085393,157,156,9,1,44,3083824,1
0,96632,122,121,7,0,35,95058,0
1,1583995,123,122,9,1,36,1582390,1
0,4918348,78,77,8,0,59,4916846,1
1,4097911,87,86,9,1,21,4096637,0
1,4785610,93,92,6,1,40,4785032,1
1,1554901,133,132,9,1,6,1553302,1
1,926246,63,62,13,1,16,924816,1
0,4109268,69,68,7,0,25,4108888,0
1,2900714,153,152,9,1,44,2899262,1
0,28198,38,37,7,0,39,26588,0
0,593688,114,113,7,0,4,592108,1
1,135030,13,13,9,1,53,133507,0
1,13271,47,46,9,1,19,11830,0
0,2161844,66,65,7,0,25,2161053,0
0,138222,160,159,8,0,39,136702,0
1,32771,50,49,9,1,58,31464,0
1,120397,12,12,9,1,53,118489,0
0,1783574,130,129,0,0,3,1782018,0
0,47692,59,58,11,0,41,46340,1
1,12451,46,45,9,1,20,11360,1
0,1629760,127,126,7,0,3,1628255,1
0,1799779,65,64,0,0,59,1798304,1
1,2790703,148,147,9,1,14,2789186,1
1,4871690,96,95,1,1,40,4870365,1
1,167770,15,15,9,1,53,166233,1
1,4866989,95,94,1,1,40,4866255,1
0,126989,141,140,8,0,13,125412,0
0,31216,39,38,8,0,55,29741,1
1,3088628,158,157,9,1,14,3087307,1
1,18623,36,162,9,1,50,18300,1
1,10546,20,20,9,1,20,9201,1
0,40024,6,6,7,0,37,38597,1
1,5571,33,33,9,1,50,4160,1
1,121323,4,4,9,1,51,119770,1
1,24394,7,7,9,1,32,23117,0
1,364495,110,109,9,1,23,363050,1
0,10563,52,51,7,0,57,9100,1
0,4877715,77,76,8,0,25,4876315,1
1,4696555,91,90,4,1,40,4695357,0
0,76678,60,59,11,0,25,74915,1
0,4782124,73,72,8,0,59,4781585,1
1,2842847,152,151,9,1,14,2842087,1
1,335414,109,108,9,1,23,333937,1
1,11536,9,9,9,1,43,10562,0
1,208752,105,104,9,1,1,207286,1
1,56392,10,10,9,1,43,54844,0
0,682801,118,117,8,0,4,681272,1
0,616961,115,114,7,0,12,615417,1
1,106612,2,2,9,1,51,106202,1
1,4907622,98,97,3,1,47,4906250,1
1,1565816,125,124,9,1,7,1564291,1
0,4776857,72,71,8,0,59,4776225,1
1,4912,19,19,9,1,20,4080,1
0,4967327,79,78,7,0,25,4966602,1
1,34744,159,158,9,1,44,33178,0
1,21634,30,30,10,1,25,20639,0
0,4874210,76,75,7,0,25,4872705,1
1,4685459,90,89,1,1,40,4683882,1
0,1579460,126,125,8,0,46,1577859,1
1,2794118,149,148,9,1,44,2793789,0
0,4803585,94,93,8,0,54,4802227,1
1,660088,116,115,9,1,23,658460,1
1,13354,34,34,9,1,30,11827,1
1,13439,25,25,9,1,45,11985,0
1,41821,41,40,9,1,0,40324,1
0,5282553,81,80,7,0,25,5281459,0
1,1518492,124,123,9,1,7,1516971,1
0,2882434,67,66,8,0,25,2880989,0
0,1789201,131,130,0,0,3,1788008,0
1,2963001,154,153,9,1,14,2961642,0
1,45373,138,137,9,1,60,43850,0
1,1639048,128,127,9,1,9,1637475,1
1,12732,29,29,10,1,43,11219,1
1,16779,35,35,9,1,50,15187,1
1,35078,136,135,9,1,60,33526,0
0,1792811,132,131,0,0,3,1791306,0
0,2586486,144,143,8,0,29,2584942,0
0,23403,31,31,7,0,38,22009,1
1,4496,23,23,9,1,33,3127,1
1,546312,113,112,9,1,1,544894,1
0,4064628,85,84,0,0,63,4063192,0
1,6249,27,27,9,1,45,4591,0
1,15374,54,53,9,1,3,14245,0
1,1622,57,56,11,1,28,585,1
1,2436,18,18,9,1,26,1291,1
1,56650,37,36,9,1,50,55175,1
0,47277,43,42,8,0,47,45691,0
0,19432,0,0,8,0,5,17837,1
1,2810144,151,150,9,1,26,2809842,1
0,5380636,82,81,7,0,25,5379008,0
1,9494,53,52,9,1,17,7965,1
1,29574,17,17,9,1,48,28997,0
0,8343,28,28,7,0,42,6676,1
0,4971029,80,79,7,0,25,4969470,1
1,9188,135,134,9,1,61,7638,0
0,309925,108,107,8,0,12,308399,0
0,22070,22,22,7,0,31,20550,0
1,69439,11,11,9,1,27,67885,0
1,19005,48,47,9,1,24,17968,1
1,501101,111,110,9,1,23,499566,1
0,4542881,70,69,7,0,25,4541535,0
1,138167,5,5,9,1,51,137305,1
1,63306,44,43,9,1,39,61772,0
0,1057855,83,82,8,0,52,1056242,1
0,4658068,89,88,7,0,54,4656557,0
1,4875012,97,96,5,1,40,4874521,1
1,511211,112,111,3,1,1,509571,1
