RegionDescription,MapImage,MuseumDigitalPlaceId,Latitude,CommonsCategory,GeoNamesId,Longitude,RegionName,GnsUniqueFeatureId,PopulationCount,FreebaseId,INaturalistPlaceId
2,1,11,3.5169444444,27,2233500.0,15.0519444444,2,-3147432.0,19,23,98090
2,31,11,4.9683333333,27,2225280.0,8.9091666667,37,-3155687.0,1,25,28180
2,8,11,4.0172222222,27,2231710.0,9.2083333333,11,-3149233.0,12,26,28175
4,48,3,5.4794444444,27,2222934.0,10.4194444444,49,-3158040.0,8,5,7850
2,38,11,4.0552777778,27,2221059.0,9.7619444444,50,-3159924.0,19,42,49259
2,29,11,4.9755555556,27,2225744.0,9.9347222222,33,-3155223.0,19,36,28149
4,46,8,2.9194444444,33,2221789.0,11.1516666667,45,-3159187.0,15,2,12528
2,15,11,5.0858333333,14,8505106.0,9.7677777778,19,,19,28,98105
4,45,0,5.9613888889,29,2223602.0,10.1516666667,40,-3157370.0,7,0,12721
4,40,6,3.8613888889,4,2233376.0,11.5202777778,6,-3147557.0,10,3,12717
2,17,11,12.0841666667,27,2229291.0,15.0269444444,22,-3151663.0,19,29,98093
2,37,11,7.3213888889,27,7670948.0,13.5838888889,48,,19,8,28128
2,28,10,5.445,23,2227064.0,10.0544444444,32,-3153898.0,13,14,28167
4,41,4,4.575,7,2231835.0,13.6813888889,10,-3149108.0,18,1,12718
2,1,11,3.5169444444,27,2233500.0,15.0519444444,2,-3147432.0,19,23,98090
4,45,0,5.9613888889,29,2223602.0,10.1516666667,40,-3157370.0,7,0,12721
2,18,11,5.7522222222,27,2228442.0,9.3138888889,23,-3152515.0,19,32,28178
4,41,4,4.575,7,2231835.0,13.6813888889,10,-3149108.0,18,1,12718
2,4,11,9.3055555556,27,2234396.0,13.3941666667,5,-3146534.0,19,44,28152
2,16,9,5.4886111111,15,9224975.0,9.8533333333,20,,19,27,28177
2,5,11,10.5936111111,5,2233122.0,14.3144444444,7,-3147816.0,14,31,28143
2,35,11,3.7911111111,32,2222269.0,10.1305555556,44,-3158706.0,19,35,98097
3,2,11,6.2813888889000005,2,9224959.0,10.2858333333,3,,6,24,28156
2,8,11,4.0172222222,27,2231710.0,9.2083333333,11,-3149233.0,12,26,28175
2,4,11,9.3055555556,27,2234396.0,13.3941666667,5,-3146534.0,19,44,28152
2,0,11,5.6261111111,1,2234988.0,10.2547222222,1,-3145941.0,19,22,28163
4,47,5,4.15,34,2221788.0,9.2380555556,46,-3159189.0,4,50,13315
2,13,11,4.67,12,2230817.0,12.3730555556,17,-3150126.0,0,11,98084
2,49,11,3.6477777778,30,2223330.0,10.7744444444,41,-3157642.0,19,17,28136
4,43,1,4.0458333333,16,2229336.0,9.6986111111,21,-3151617.0,9,49,13363
2,26,11,3.5833333400000003,25,9165815.0,11.30000001,36,,19,18,98087
4,42,11,10.5947222222,8,2231755.0,14.3261111111,12,-3149188.0,11,48,12719
2,10,11,8.4744444444,9,,13.2419444444,13,,19,45,28153
2,27,11,6.3880555556,22,2226947.0,10.0775,31,-3154016.0,19,37,28159
2,29,11,4.9755555556,27,2225744.0,9.9347222222,33,-3155223.0,19,36,28149
2,5,11,10.5936111111,5,2233122.0,14.3144444444,7,-3147816.0,14,31,28143
3,2,11,6.2813888889000005,2,9224959.0,10.2858333333,3,,6,24,28156
4,42,11,10.5947222222,8,2231755.0,14.3261111111,12,-3149188.0,11,48,12719
2,11,11,5.1580555556,11,2230816.0,10.1794444444,15,-3150127.0,19,15,98101
2,24,11,6.5172222222,27,8299279.0,14.2947222222,30,,19,6,28127
2,9,11,7.3722222222,10,7670947.0,12.6536111111,14,,19,12,98081
3,2,11,6.2813888889000005,2,9224959.0,10.2858333333,3,,6,24,28156
2,50,11,4.7425,20,9224948.0,11.2247222222,28,,19,7,98082
2,13,11,4.67,12,2230817.0,12.3730555556,17,-3150126.0,0,11,98084
2,6,11,2.9302777778,27,7901349.0,11.9783333333,8,-3147969.0,19,34,98103
2,21,11,8.4002777778,27,8740150.0,14.1652777778,27,,19,43,98100
2,19,11,6.7502777778,17,9224946.0,11.8036111111,25,,19,13,98083
2,7,11,6.4669444444,6,7670946.0,12.6158333333,9,,19,10,28124
2,36,11,2.3797222222,35,9239012.0,11.2663888889,47,,19,40,98104
2,13,11,4.67,12,2230817.0,12.3730555556,17,-3150126.0,0,11,98084
2,33,11,3.7769444444,31,2223329.0,12.2511111111,42,-3157643.0,2,21,98088
2,30,11,2.9194444444,27,9230015.0,11.1516666667,34,,5,41,28172
1,14,11,5.3747222222,13,9224964.0,10.4119444444,18,,19,19,98080
2,22,11,10.7411111111,19,2221308.0,13.7986111111,24,,19,46,98096
2,34,11,2.9344444444,27,2229760.0,9.9052777778,43,-3151190.0,19,39,28173
2,3,11,6.2041666667,3,2233408.0,10.6869444444,4,-3147524.0,19,30,28157
2,5,11,10.5936111111,5,2233122.0,14.3144444444,7,-3147816.0,14,31,28143
4,39,2,7.3213888889,0,2236015.0,13.5838888889,0,-3144910.0,17,4,12716
2,0,11,5.6261111111,1,2234988.0,10.2547222222,1,-3145941.0,19,22,28163
2,8,11,4.0172222222,27,2231710.0,9.2083333333,11,-3149233.0,12,26,28175
0,44,7,9.3205555556,28,2223603.0,13.3955555556,39,-3157369.0,3,47,12720
2,4,11,9.3055555556,27,2234396.0,13.3941666667,5,-3146534.0,19,44,28152
2,32,11,4.4930555556,26,2224165.0,9.9752777778,38,-3156806.0,19,33,28150
2,23,11,4.4475,21,7730793.0,11.6255555556,29,,16,9,98085
2,6,11,2.9302777778,27,7901349.0,11.9783333333,8,-3147969.0,19,34,98103
2,20,11,9.9369444444,18,8740152.0,13.9438888889,26,,19,38,98099
2,25,11,3.9525,24,7731690.0,11.9222222222,35,,19,16,98086
2,0,11,5.6261111111,1,2234988.0,10.2547222222,1,-3145941.0,19,22,28163
2,12,11,3.9847222222,27,2230815.0,13.1747222222,16,-3150128.0,19,20,98091
