RegionDescription,MapImage,MuseumDigitalPlaceId,Latitude,CommonsCategory,GeoNamesId,Longitude,RegionName,GnsUniqueFeatureId,PopulationCount,FreebaseId,INaturalistPlaceId
4,15,6,10.5947222222,3,2231755.0,14.3261111111,5,-3149188.0,2,17,12719.0
2,2,6,4.0172222222,9,2231710.0,9.2083333333,4,-3149233.0,3,8,28175.0
4,13,1,7.3213888889,0,2236015.0,13.5838888889,0,-3144910.0,5,2,12716.0
2,9,6,4.9755555556,9,2225744.0,9.9347222222,13,-3155223.0,7,13,28149.0
2,5,6,11.0477777778,5,9224949.0,14.135,10,,7,11,98095.0
0,16,4,9.3205555556,10,2223603.0,13.3955555556,14,-3157369.0,0,16,12720.0
2,8,5,5.445,8,2227064.0,10.0544444444,12,-3153898.0,4,3,28167.0
2,1,6,3.5169444444,9,2233500.0,15.0519444444,2,-3147432.0,7,7,98090.0
2,3,6,12.0841666667,9,2229291.0,15.0269444444,7,-3151663.0,7,9,98093.0
4,17,3,4.15,12,2221788.0,9.2380555556,18,-3159189.0,1,18,13315.0
2,11,6,3.5194444444,9,7731689.0,11.5127777778,16,-3157645.0,7,4,98089.0
2,6,6,10.7411111111,6,2221308.0,13.7986111111,9,,7,15,98096.0
2,10,0,5.7322222222,11,9224965.0,10.8825,15,,7,5,28170.0
3,7,6,4.6377777778,7,2227197.0,9.4408333333,11,-3153765.0,7,10,28179.0
1,18,6,4.0369,4,,9.6858,6,,7,0,
4,14,2,4.575,2,2231835.0,13.6813888889,3,-3149108.0,6,1,12718.0
2,0,6,5.6261111111,1,2234988.0,10.2547222222,1,-3145941.0,7,6,28163.0
2,12,6,2.9344444444,9,2229760.0,9.9052777778,17,-3151190.0,7,14,28173.0
2,4,6,5.7522222222,9,2228442.0,9.3138888889,8,-3152515.0,7,12,28178.0
