Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,0,1097,13,13,7,0,54,1,0
0,0,30308,54,54,6,0,10,27168,1
1,0,81368,21,21,2,1,82,80808,1
0,0,763,10,10,1,0,24,5,0
0,0,703218,19,19,8,0,26,701626,0
1,0,5286,83,83,2,1,29,4336,1
1,0,93861,101,101,2,1,50,92599,1
0,0,716461,50,50,6,0,51,713525,0
0,0,581462,112,112,5,0,23,578019,0
0,0,212280,148,148,8,0,31,211864,0
1,0,38881,133,133,2,1,58,36347,0
0,0,297517,82,82,6,0,86,294389,0
0,0,83014,122,122,8,0,89,81473,1
0,0,720,141,141,8,0,27,1,1
0,0,666404,22,22,8,0,25,665952,0
1,0,30302,0,0,2,1,85,29316,1
1,0,5807,131,131,2,1,34,3882,1
1,0,118859,99,99,2,1,35,115842,1
0,0,9728,43,43,6,0,40,6585,0
0,0,12029,48,48,8,0,87,11478,0
0,0,315827,126,126,6,0,78,312663,0
1,0,4234,79,79,2,1,45,3116,1
1,0,99546,110,110,2,1,27,97369,0
1,0,32123,60,60,2,1,51,29739,1
1,0,929052,124,124,2,1,85,925927,0
0,0,4123,91,91,5,0,1,1628,1
0,0,116617,57,57,6,0,44,113450,0
1,0,8113,66,66,2,1,90,5945,0
0,0,4229,138,138,6,0,52,1371,1
0,0,33235,7,7,8,0,77,30782,1
0,0,1206,16,16,8,0,86,1,0
1,0,789292,98,98,2,1,10,788021,0
1,0,53098,127,127,2,1,23,49949,1
1,0,99066,113,113,2,1,81,97825,1
0,0,318588,153,153,6,0,43,315535,0
0,0,1289,11,11,8,0,91,3,0
0,0,546,143,143,8,0,62,1,1
1,0,383983,5,5,2,1,59,383429,1
1,0,213521,149,149,2,1,51,212382,0
1,0,57661,45,45,2,1,56,55166,1
1,0,74545,151,151,2,1,67,72053,1
1,0,8781,28,28,2,1,49,5653,0
0,0,599,1,1,7,0,32,3,0
0,0,81855,146,146,6,0,14,78709,1
1,0,341238,29,29,2,1,72,338959,1
0,0,227216,80,80,8,0,68,225387,0
1,0,5181,105,105,2,1,87,4192,0
1,0,99079,55,55,2,1,3,97820,1
0,0,35758,6,6,7,0,77,35156,1
1,0,46653,89,89,2,1,17,44743,1
0,0,521345,25,25,6,0,55,518232,0
0,1,54155,59,59,6,0,38,50976,1
1,0,96937,121,121,2,1,61,96035,1
0,0,1771,20,20,8,0,17,5,0
0,0,9252,128,128,8,0,79,7177,0
0,0,1005,18,18,8,0,63,1,1
1,0,573456,49,49,2,1,31,572590,0
0,0,632799,52,52,6,0,68,629461,0
1,0,1017672,51,51,2,1,11,1015075,0
0,0,1291,14,14,8,0,92,11,1
0,0,55385,130,130,6,0,53,52233,1
1,0,6751,106,106,2,1,90,5450,0
1,0,3425,119,119,2,1,66,855,1
0,0,68231,100,100,6,0,73,65097,1
0,0,750258,9,9,7,0,69,748432,0
1,0,201286,39,39,2,1,3,199007,1
0,0,307836,152,152,8,0,43,304756,0
0,0,13944,64,64,5,0,0,11467,1
0,0,43791,73,73,6,0,77,40663,1
1,0,100486,56,56,2,1,46,98009,0
0,0,1126783,132,132,5,0,13,1124243,1
0,0,4790,125,125,6,0,19,1644,1
0,0,304,129,129,7,0,80,2,0
0,0,30678,115,115,7,0,42,29548,1
0,0,642289,108,108,6,0,49,639173,0
0,0,40231,111,111,7,0,15,38468,1
0,0,704,15,15,3,0,16,18,1
1,0,701522,71,71,2,1,34,698580,0
0,0,33620,88,88,6,0,67,30504,1
1,0,673825,85,85,2,1,72,670661,0
1,0,782421,65,65,2,1,72,781378,0
0,0,100844,35,35,7,0,70,99663,0
1,0,506465,74,74,2,1,41,504186,1
0,0,559272,84,84,6,0,53,556483,0
0,0,4270,38,38,5,0,83,1799,1
1,0,673601,77,77,2,1,79,670680,0
0,0,429068,86,86,6,0,84,425925,0
0,0,484,140,140,8,0,59,2,1
1,0,7065,70,70,2,1,73,6076,1
0,0,506906,102,102,0,0,86,503742,0
1,0,28960,2,2,2,1,85,27503,1
1,0,1651,96,96,2,1,14,830,1
0,0,302755,62,62,8,0,43,301802,0
0,0,1330,12,12,8,0,64,2,0
1,0,492209,24,24,2,1,81,489726,0
0,0,704396,17,17,8,0,46,703461,0
1,0,7840,69,69,2,1,8,6842,1
0,0,24175,40,40,6,0,18,21059,1
1,0,1482,107,107,2,1,44,1,0
1,0,3560,33,33,2,1,5,861,0
0,0,40333,120,120,6,0,22,37199,1
0,0,6322,47,47,6,0,18,3197,1
1,0,694715,135,135,2,1,34,691713,0
1,0,201983,147,147,2,1,51,197949,0
1,0,232598,155,155,2,1,31,230508,0
0,0,52289,87,87,6,0,9,48939,1
1,0,796646,63,63,2,1,10,794730,0
1,0,762911,104,104,2,1,34,760413,0
1,0,1815,95,95,2,1,52,1,0
0,0,11460,144,144,7,0,70,9091,1
1,0,767496,97,97,2,1,10,766105,0
1,0,341160,156,156,2,1,85,338881,1
0,0,135805,157,157,6,0,28,132644,0
0,0,326955,34,34,6,0,10,323962,0
1,0,2735,81,81,2,1,59,246,1
1,0,4884,53,53,2,1,71,1753,1
0,0,562767,61,61,6,0,56,559651,0
0,0,720169,30,30,6,0,50,717008,0
0,0,11360,93,93,6,0,44,8184,1
0,0,1011,8,8,8,0,38,1,0
0,0,7732,67,67,6,0,37,4595,0
0,0,696,116,116,7,0,79,1,0
1,0,552643,118,118,2,1,28,550361,1
0,0,225838,94,94,6,0,33,222980,0
0,0,5115,58,58,5,0,37,2545,1
0,0,296392,26,26,6,0,51,293633,0
1,0,36371,142,142,2,1,57,34218,1
0,0,220362,117,117,5,0,10,217744,0
1,0,532553,154,154,2,1,6,531252,0
0,0,772874,150,150,6,0,80,769737,0
1,0,638513,75,75,2,1,42,636579,0
1,0,685611,72,72,2,1,30,683131,0
1,0,40751,44,44,2,1,65,38379,1
0,0,5438,139,139,7,0,70,3198,1
0,0,8449,123,123,6,0,74,5315,1
0,0,37772,136,136,6,0,60,34755,1
1,0,11809,41,41,2,1,76,9641,0
1,0,8362,134,134,2,1,88,5834,0
0,0,96112,114,114,6,0,13,92984,1
1,0,6579,68,68,2,1,8,5257,1
1,0,16287,37,37,2,1,12,13156,1
1,0,371763,4,4,9,1,39,371065,1
0,0,3141,92,92,7,0,32,982,1
1,0,5564,42,42,2,1,35,2433,1
0,0,567659,27,27,1,0,18,567123,0
0,0,634208,32,32,8,0,2,633441,0
0,0,34862,90,90,1,0,7,34431,1
1,0,742903,103,103,2,1,75,741965,0
1,0,11203,46,46,2,1,56,8075,1
1,0,12199,145,145,2,1,36,10430,0
1,0,631461,76,76,2,1,42,630235,0
0,0,2165,137,137,7,0,21,1,1
1,0,676357,31,31,2,1,93,675068,0
0,0,46094,78,78,5,0,60,43491,1
1,0,301337,23,23,2,1,4,298548,1
0,0,48145,3,3,4,0,20,47690,1
0,0,11508,109,109,5,0,47,8902,1
0,0,1015710,36,36,6,0,48,1014604,0
