GeneSubclass,GenomicEndPosition,GeneDbId,EncodedProtein,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation,HostTaxon
1,654188,50,3,1,28,650496,0,7
1,1056376,78,3,1,30,1052489,0,7
1,296568,95,3,1,20,292768,1,7
0,68272,3,1,0,3,58754,0,3
1,429433,58,3,1,11,427442,0,7
1,458499,79,3,1,19,454699,1,7
0,66842,1,1,0,1,57327,0,1
1,335949,40,3,1,13,332707,0,7
0,681513,76,2,0,27,680680,0,7
1,12430,54,3,1,51,10808,0,7
1,788786,11,3,1,33,784983,1,7
1,515535,63,3,1,11,511714,0,7
0,13686177,101,1,0,61,13681198,0,8
1,213136,64,3,1,13,209912,0,7
1,558080,81,3,1,19,554382,1,7
0,683957,10,2,0,26,682659,0,7
1,11747,60,3,1,38,8811,1,7
0,13341943,99,2,0,4,13338355,0,6
1,81642,28,3,1,26,72760,1,7
1,142018,86,3,1,57,138758,0,7
0,5300473,98,1,0,4,5299394,0,6
0,15212101,100,2,0,4,15211018,0,6
0,691157,93,1,0,26,690288,0,7
1,259348,91,3,1,14,255518,0,7
1,49886,72,3,1,54,46212,1,7
1,605221,44,3,1,15,603080,0,7
1,4154,14,3,1,39,495,1,7
0,66669,0,1,0,0,58960,0,0
1,1219117,102,3,1,60,1216267,0,8
0,1167562,7,1,0,7,1158722,0,5
0,682808,75,1,0,27,681615,0,7
1,1372594,32,3,1,28,1368890,0,7
1,300213,42,3,1,19,298375,0,7
1,377243,97,3,1,20,373542,1,7
1,45188,12,3,1,18,41949,1,7
1,581064,62,3,1,11,577246,0,7
1,44223,87,3,1,58,37483,0,7
1,602157,19,3,1,17,598276,0,7
1,1448442,37,3,1,32,1444648,0,7
1,469174,16,3,1,9,465341,0,7
1,523896,80,3,1,19,520486,1,7
1,1065895,83,3,1,29,1062773,0,7
1,5940,29,3,1,44,2119,1,7
1,11129,46,3,1,48,7485,1,7
1,469188,88,3,1,10,465982,0,7
1,430849,57,3,1,11,429539,0,7
1,1515,25,3,1,37,1,1,7
0,3249490,5,1,0,6,3247895,1,4
1,605437,61,3,1,11,602729,1,7
1,250445,43,3,1,19,248646,0,7
1,1109524,74,3,1,28,1105571,1,7
1,22025,17,3,1,41,18780,1,7
1,89728,24,3,1,8,86798,1,7
1,1359008,38,3,1,32,1356018,0,7
1,2438,52,3,1,50,6,1,7
1,1560,55,3,1,52,1,0,7
1,796455,94,3,1,21,792637,0,7
1,446032,26,3,1,20,442286,1,7
1,8619,77,3,1,56,6454,1,7
1,243279,49,3,1,20,239581,1,7
1,7843,41,3,1,46,4586,1,7
1,75404,51,3,1,25,71586,1,7
0,8248,8,1,0,59,38,1,7
1,1708705,69,3,1,31,1705583,1,7
1,26933,84,3,1,57,23172,1,7
1,3051,9,3,1,35,1,0,7
1,337509,67,3,1,19,335044,0,7
1,280505,27,3,1,22,278556,1,7
1,65270,53,3,1,34,61929,1,7
1,337613,96,3,1,20,336009,1,7
1,66045,90,3,1,33,62704,1,7
1,37473,47,3,1,49,33883,1,7
1,233680,59,3,1,22,230456,1,7
1,506172,33,3,1,29,503089,1,7
1,507690,35,3,1,16,504439,0,7
1,74860,85,3,1,57,71606,1,7
1,250771,48,3,1,23,246869,1,7
0,680050,92,2,0,26,678353,0,7
1,22348,45,3,1,47,18539,1,7
1,248545,68,3,1,19,245762,0,7
1,643039,70,3,1,15,641519,0,7
1,2692,71,3,1,53,2,0,7
0,1413533,6,1,0,5,1404693,0,4
1,608315,31,3,1,20,604602,1,7
1,43248,34,3,1,12,39526,1,7
0,3247776,4,1,0,6,3246661,1,4
1,247107,65,3,1,13,243913,0,7
1,7274,20,3,1,43,4287,1,7
1,4357,15,3,1,40,527,1,7
1,1671383,23,3,1,32,1667499,1,7
1,10865,73,3,1,55,9594,1,7
1,31420,89,3,1,29,29030,1,7
1,1529406,66,3,1,32,1525576,1,7
1,1287934,36,3,1,32,1284098,1,7
0,68055,2,1,0,2,58540,0,2
0,6687,13,0,0,12,6370,1,7
1,1054897,56,3,1,24,1051832,0,7
1,956510,82,3,1,28,952710,1,7
1,19296,39,3,1,45,16819,0,7
1,444498,22,3,1,11,440737,1,7
1,1690,21,3,1,36,2,0,7
1,587652,30,3,1,20,583996,1,7
1,8539,18,3,1,42,4712,0,7
