GeneClassification,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,92,320234,147,147,0,15,319014,0
0,28,81801,40,40,0,45,80905,1
1,85,15410,226,226,1,38,14340,1
0,59,2162466,66,66,0,19,2161639,0
0,16,749937,95,95,0,14,749176,1
0,54,1098996,239,239,0,18,1097833,1
1,5,432941,203,203,1,14,432381,1
0,57,1077230,227,227,0,15,1076451,0
0,87,33929,169,169,0,2,32910,1
0,59,1422032,55,55,0,19,1421220,0
1,87,652441,52,52,1,8,651695,1
0,42,402463,87,87,0,5,401243,0
0,28,18040,109,109,0,58,16886,0
0,63,394684,22,22,0,14,394031,1
0,51,1153229,240,240,0,18,1151997,0
0,96,750678,156,156,0,18,750031,1
0,23,9906,4,4,0,23,8728,1
0,0,12258,155,155,0,69,11053,1
0,53,2202990,65,65,0,19,2202343,1
0,46,1011398,159,159,0,18,1010715,0
0,53,375897,23,23,0,19,375253,0
0,10,992655,211,211,0,14,991897,1
0,86,4632,138,138,0,32,3406,1
1,83,563168,91,91,1,14,561921,1
1,44,493669,122,122,1,15,492404,1
0,53,749602,56,56,0,19,748862,1
0,28,1832,61,61,0,47,591,0
0,25,217780,244,244,0,5,216641,0
0,51,1088191,238,238,0,18,1087412,1
1,83,779639,96,96,1,14,778437,0
1,38,10709,218,218,1,78,9531,0
0,40,23056,193,193,0,74,22262,0
1,5,667923,94,94,1,14,666610,1
1,8,497406,34,34,1,4,496306,0
0,39,365512,36,36,0,4,364310,1
0,28,9985,151,151,0,66,9303,0
1,2,4174,29,29,1,42,2966,0
0,10,1070767,196,196,0,14,1069991,0
0,56,589228,206,206,0,14,588062,0
0,0,26139,27,27,0,42,25351,1
1,26,182780,42,42,1,12,181743,1
0,49,196658,242,242,0,5,195561,0
0,63,387281,11,11,0,14,386064,0
0,66,1897997,129,129,0,18,1897239,0
0,28,1860,163,163,0,70,1114,1
0,10,581117,205,205,0,14,580287,0
0,72,400728,176,176,0,15,399566,0
0,56,599280,204,204,0,14,598465,1
1,54,745129,162,162,1,9,744176,0
0,97,1428734,54,54,0,19,1428093,0
0,46,1968229,127,127,0,18,1967444,1
1,94,13702,26,26,1,41,12743,0
0,72,1193619,232,232,0,15,1192936,0
0,80,210588,243,243,0,5,209491,0
1,78,17599,79,79,1,51,16553,0
0,10,1057942,134,134,0,14,1056725,0
0,54,663709,106,106,0,18,662936,1
0,100,1471918,183,183,0,17,1470884,0
1,65,884301,141,141,1,14,883339,1
0,28,18090,98,98,0,53,17131,0
0,54,1783506,131,131,0,18,1782673,1
0,72,1194158,233,233,0,15,1193721,0
1,101,5205,99,99,1,54,4201,1
1,39,177073,107,107,1,20,175745,0
0,95,153559,235,235,0,80,152606,0
0,91,4472,216,216,0,76,3321,0
0,73,979496,117,117,0,19,978543,1
0,36,1905082,69,69,0,19,1904309,1
1,1,27009,45,45,1,28,25858,1
0,94,38006,197,197,0,75,37197,0
0,100,1221966,178,178,0,17,1220947,0
0,33,226729,43,43,0,12,226322,1
1,69,76658,39,39,1,45,76494,0
0,97,987733,115,115,0,19,987176,1
1,4,937169,158,158,1,18,936387,1
0,92,416187,123,123,0,15,415021,1
0,53,983808,116,116,0,19,982858,1
1,21,497744,121,121,1,15,496932,1
1,93,3831,170,170,1,73,3070,1
1,67,3587,164,164,1,71,2544,0
0,28,10011,38,38,0,44,9199,1
0,53,1474427,53,53,0,19,1473666,0
0,82,36547,223,223,0,37,35690,0
0,88,531335,174,174,0,1,530982,1
1,44,477748,120,120,1,15,476525,1
1,15,1925877,68,68,1,19,1925107,1
0,36,1564778,74,74,0,19,1564014,1
0,92,1106541,228,228,0,15,1105297,0
0,2,15525,111,111,0,31,14710,1
1,12,2102,113,113,1,59,1101,1
0,47,178084,112,112,0,16,176870,1
0,10,705599,93,93,0,14,704769,0
