GeneClassification,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,74,313057,145,145,0,15,312338,0
0,29,81801,40,40,0,46,80905,1
1,87,15410,226,226,1,39,14340,1
0,62,2162466,65,65,0,20,2161639,0
0,16,749937,94,94,0,14,749176,1
0,54,1088191,237,237,0,19,1087412,1
1,5,432941,203,203,1,14,432381,1
1,22,497744,120,120,1,15,496932,1
0,89,33929,166,166,0,2,32910,1
0,62,1422032,55,55,0,20,1421220,0
1,89,652441,52,52,1,8,651695,1
0,43,402463,86,86,0,5,401243,0
0,29,18040,108,108,0,59,16886,0
0,66,394684,23,23,0,14,394031,1
0,57,1098996,238,238,0,19,1097833,1
0,57,663709,105,105,0,19,662936,1
0,24,9906,4,4,0,24,8728,1
0,0,12258,153,153,0,70,11053,1
0,56,2202990,64,64,0,20,2202343,1
1,4,937169,156,156,1,19,936387,1
1,15,269718,147,147,1,20,269074,1
0,10,946792,6,6,0,14,945539,1
0,88,4632,135,135,0,33,3406,1
1,85,563168,90,90,1,14,561921,1
1,45,477748,119,119,1,15,476525,1
0,56,749602,56,56,0,20,748862,1
0,29,1832,60,60,0,48,591,0
0,26,217780,244,244,0,5,216641,0
0,21,1034038,239,239,0,19,1032938,1
1,85,779639,95,95,1,14,778437,0
1,39,10709,218,218,1,79,9531,0
0,41,23056,192,192,0,75,22262,0
1,5,667923,93,93,1,14,666610,1
1,8,497406,34,34,1,4,496306,0
0,40,365512,36,36,0,4,364310,1
0,29,9985,149,149,0,67,9303,0
1,2,4174,29,29,1,43,2966,0
0,10,1057942,131,131,0,14,1056725,0
0,59,589228,206,206,0,14,588062,0
0,0,26139,27,27,0,43,25351,1
1,27,182780,42,42,1,12,181743,1
0,52,196658,242,242,0,5,195561,0
0,66,387281,11,11,0,14,386064,0
1,4,1887968,127,127,1,19,1886823,0
0,29,1860,160,160,0,71,1114,1
0,10,581117,205,205,0,14,580287,0
0,74,386514,173,173,0,15,385279,0
0,59,599280,204,204,0,14,598465,1
1,57,745129,159,159,1,9,744176,0
0,99,1428734,54,54,0,20,1428093,0
1,14,1921338,125,125,1,19,1920505,1
1,96,13702,26,26,1,42,12743,0
0,74,1173402,230,230,0,15,1172566,0
0,82,210588,243,243,0,5,209491,0
1,80,17599,78,78,1,52,16553,0
0,66,1049347,132,132,0,14,1048619,0
0,30,358168,103,103,0,19,357524,0
1,81,1247221,178,178,1,18,1246121,0
0,10,878597,141,141,0,14,877761,0
0,29,18090,97,97,0,54,17131,0
0,80,1778534,129,129,0,19,1777443,0
0,74,1193619,231,231,0,15,1192936,0
1,102,5205,98,98,1,55,4201,1
1,40,177073,106,106,1,21,175745,0
0,97,153559,234,234,0,81,152606,0
0,93,4472,216,216,0,77,3321,0
0,75,979496,116,116,0,20,978543,1
0,37,1905082,68,68,0,20,1904309,1
1,1,27009,45,45,1,29,25858,1
0,96,38006,197,197,0,76,37197,0
0,70,1147481,175,175,0,18,1146423,1
0,34,226729,43,43,0,12,226322,1
1,71,76658,39,39,1,46,76494,0
0,99,987733,114,114,0,20,987176,1
0,98,914563,155,155,0,19,913814,0
0,74,400728,174,174,0,15,399566,0
0,56,983808,115,115,0,20,982858,1
1,45,493669,121,121,1,15,492404,1
1,95,3831,167,167,1,74,3070,1
1,69,3587,161,161,1,72,2544,0
0,29,10011,38,38,0,45,9199,1
0,56,1474427,53,53,0,20,1473666,0
0,84,36547,223,223,0,38,35690,0
0,90,531335,171,171,0,1,530982,1
0,74,462427,172,172,0,15,461594,0
1,15,1925877,67,67,1,20,1925107,1
0,37,1564778,73,73,0,20,1564014,1
0,60,1098330,232,232,0,15,1097515,0
0,2,15525,110,110,0,32,14710,1
1,12,2102,112,112,1,60,1101,1
0,51,1062126,196,196,0,16,1060936,0
0,10,705599,92,92,0,14,704769,0
0,7,77581,8,8,0,8,76523,1
0,10,837722,210,210,0,14,837087,0
0,46,1677,76,76,0,50,712,1
0,74,272963,214,214,0,15,272211,0
1,18,11639,198,198,1,76,10170,0
0,30,2187940,184,184,0,19,2187290,1
0,101,1471918,181,181,0,18,1470884,0
0,29,2879,133,133,0,63,2091,1
0,61,12102,220,220,0,36,11231,0
1,5,551759,88,88,1,14,550737,1
0,72,12897,5,5,0,25,11857,1
