GENDER,SIBLING_NAME,BIRTH_DATE,DEATH_DATE,GOOGLE_KNOWLEDGE_GRAPH_ID,MIDDLE_NAME,MOTHER_NAME,POSTHUMOUS_TITLE
1,0,31,7,17,1,17,76
0,0,85,36,64,1,17,61
1,0,69,54,31,1,15,3
1,0,28,26,37,1,27,58
0,0,68,84,85,0,17,37
0,0,30,81,48,0,15,47
0,0,83,75,41,0,15,38
1,0,41,82,10,0,2,64
1,0,67,17,47,1,9,54
1,0,0,86,13,0,15,47
1,2,55,18,34,1,3,24
1,0,73,65,39,1,0,4
1,0,46,34,22,1,15,71
1,0,56,38,76,1,8,79
1,0,59,44,2,0,13,26
0,0,70,80,51,0,15,47
0,0,39,78,81,0,7,35
0,0,6,2,71,0,14,66
0,0,14,57,73,1,17,31
1,0,17,62,27,1,23,15
1,0,12,23,6,1,6,75
1,0,80,77,18,0,10,69
0,0,18,12,57,0,1,59
1,0,79,53,19,1,15,73
0,0,43,47,74,0,9,43
0,0,9,64,83,1,6,32
1,0,51,42,35,1,9,17
0,0,66,27,85,0,0,60
0,0,44,35,56,0,25,55
1,0,48,15,33,1,9,68
0,0,4,0,26,0,14,0
0,0,78,45,53,0,17,29
0,0,64,21,66,0,9,44
1,0,40,13,4,1,1,23
1,1,24,41,84,1,22,1
0,0,52,9,42,0,20,47
1,0,49,50,8,1,3,11
1,0,63,79,38,1,18,47
0,0,75,85,63,0,17,47
1,0,37,48,20,1,11,9
1,1,15,73,77,1,4,65
0,0,7,4,1,0,5,25
1,0,2,46,21,1,22,74
0,0,32,6,44,0,4,22
0,0,29,67,80,0,7,18
0,0,5,37,59,1,14,52
0,0,57,29,43,0,15,72
0,0,11,68,49,0,1,41
1,0,38,31,25,1,5,77
1,0,22,22,28,1,15,49
0,0,42,76,62,0,10,80
1,0,35,86,7,1,15,47
0,0,66,59,60,0,13,39
1,0,74,60,75,0,26,5
0,0,19,74,45,0,11,40
0,0,25,56,85,0,24,36
1,0,45,72,30,1,12,14
1,0,53,39,11,1,13,20
1,0,82,19,32,1,17,47
0,0,58,15,68,0,17,53
1,0,47,55,14,1,26,12
0,0,65,52,85,0,17,42
1,0,77,49,12,1,9,8
0,0,20,40,70,0,5,48
1,0,62,70,24,1,8,6
1,0,60,71,29,1,26,2
0,0,71,28,54,0,13,70
1,0,3,1,15,1,14,50
1,0,61,69,5,1,14,10
0,0,54,24,69,0,25,45
1,0,13,43,78,1,7,63
1,0,27,10,23,1,11,78
1,0,23,5,16,1,2,19
1,1,16,14,79,1,2,16
1,0,36,30,3,1,10,27
0,0,32,20,40,0,3,46
0,0,34,25,72,0,21,57
0,0,42,8,61,0,17,56
0,0,81,83,65,0,0,33
0,0,33,66,52,0,8,47
0,0,50,63,46,1,26,34
1,0,8,51,0,1,11,7
1,0,76,61,9,1,10,13
0,0,84,33,50,0,15,30
0,0,10,32,55,0,19,51
1,0,1,58,82,1,16,67
0,0,72,16,67,0,9,62
1,0,21,11,36,0,15,28
0,0,26,3,58,0,26,21
