GENDER,SIBLING_NAME,BIRTH_DATE,DEATH_DATE,GOOGLE_KNOWLEDGE_GRAPH_ID,MIDDLE_NAME,MOTHER_NAME,POSTHUMOUS_TITLE
1,0,31,7,17,1,17,75
0,0,86,36,64,1,17,60
1,0,70,53,31,1,15,3
1,0,28,25,37,1,27,56
0,0,69,83,85,0,17,37
0,0,30,80,50,0,15,47
0,0,76,84,63,0,17,47
1,0,41,81,10,0,2,63
1,0,68,16,48,1,9,53
1,0,0,85,13,0,15,47
1,2,55,17,34,1,3,24
1,0,74,64,39,1,0,4
1,0,46,34,22,1,15,70
1,0,56,37,76,1,8,78
1,0,59,43,2,0,13,26
0,0,66,79,49,0,10,47
0,0,39,77,81,0,7,35
0,0,5,2,71,0,14,65
0,0,13,56,73,1,17,31
1,0,16,61,27,1,23,15
1,0,11,22,6,1,6,74
1,0,81,76,18,0,10,68
0,0,17,11,59,0,1,57
1,0,80,52,19,1,15,72
0,0,43,46,74,0,9,43
0,0,8,63,83,1,6,32
1,0,51,41,35,1,9,17
0,0,67,26,85,0,0,58
0,0,44,35,58,0,25,54
1,0,48,14,33,1,9,67
0,0,4,0,26,0,14,0
0,0,79,44,55,0,17,29
0,0,64,20,66,0,9,44
1,0,40,12,4,1,1,23
1,1,23,40,84,1,22,1
0,0,52,8,43,0,20,47
1,0,49,49,8,1,3,11
1,0,63,78,38,1,18,47
0,0,71,79,53,0,15,47
1,0,37,47,20,1,11,9
1,1,14,72,77,1,4,64
0,0,6,4,1,0,5,25
1,0,2,45,21,1,22,73
0,0,32,6,45,0,4,22
0,0,29,66,80,0,7,18
0,0,27,29,40,0,21,59
0,0,57,28,44,0,15,71
0,0,10,67,51,0,1,41
1,0,38,31,25,1,5,76
1,0,21,21,28,1,15,49
0,0,42,75,62,0,10,79
1,0,35,85,7,1,15,47
0,0,84,74,42,0,15,38
1,0,75,59,75,0,26,5
0,0,18,73,46,0,11,40
0,0,24,55,85,0,24,36
1,0,45,71,30,1,12,14
1,0,53,38,11,1,13,20
1,0,83,18,32,1,17,47
0,0,58,14,68,0,17,52
1,0,47,54,14,1,26,12
0,0,67,58,61,0,13,39
1,0,78,48,12,1,9,8
0,0,19,39,70,0,5,48
1,0,62,69,24,1,8,6
1,0,60,70,29,1,26,2
0,0,72,27,56,0,13,69
1,0,3,1,15,1,14,50
1,0,61,68,5,1,14,10
0,0,54,23,69,0,25,45
1,0,12,42,78,1,7,62
1,0,26,9,23,1,11,77
1,0,22,5,16,1,2,19
1,1,15,13,79,1,2,16
1,0,36,30,3,1,10,27
0,0,32,19,41,0,3,46
0,0,34,24,72,0,21,55
0,0,65,51,85,0,17,42
0,0,82,82,65,0,0,33
0,0,33,65,54,0,8,47
0,0,50,62,47,1,26,34
1,0,7,50,0,1,11,7
1,0,77,60,9,1,10,13
0,0,85,33,52,0,15,30
0,0,9,32,57,0,19,51
1,0,1,57,82,1,16,66
0,0,73,15,67,0,9,61
1,0,20,10,36,0,15,28
0,0,25,3,60,0,26,21
