GeneInstanceType,GeneDbId,GeneLabel,ChromosomeLocation,GeneSubclass,EncodedProtein,GenomicEndPosition,GenomicStartPosition,StrandOrientation
0,118,118,12,0,39,12460992,12457699,0
0,171,171,12,0,38,21664027,21662360,1
1,127,127,12,1,41,14716347,14714348,1
1,183,183,12,1,22,24261916,24259394,0
0,144,144,12,0,38,16959828,16958119,1
0,176,176,12,0,23,22507853,22506750,0
0,87,87,12,0,20,5808507,5806811,1
1,76,76,12,1,22,4686426,4684330,0
0,157,157,12,0,38,19111241,19109871,1
0,57,57,12,0,38,578294,576495,0
0,29,29,1,0,43,7321944,7320766,1
0,83,83,12,0,39,5564839,5563799,0
0,137,137,12,0,20,16126477,16125630,0
0,136,136,12,0,19,16125431,16124496,0
0,89,89,12,0,24,6496823,6495699,1
0,178,178,12,0,39,22866651,22865183,1
0,186,186,10,0,23,517377,516034,0
0,175,175,12,0,38,22420594,22418891,0
0,90,90,12,0,20,6623857,6622859,0
0,187,187,11,0,20,404271,403456,0
0,59,59,12,0,23,901193,900303,0
0,21,21,1,0,43,4478317,4476602,1
1,91,91,12,1,26,6731177,6730012,0
0,100,100,12,0,19,8345450,8343849,0
0,63,63,12,0,39,1190069,1189272,0
1,3,3,2,1,34,166610,159343,0
0,45,45,1,0,4,12080076,12076498,1
0,96,96,12,0,23,7308392,7307190,1
1,114,114,12,1,21,11814846,11812601,0
0,122,122,12,0,38,14246569,14244689,0
0,53,53,1,0,5,15526762,15525344,1
0,109,109,12,0,38,10367781,10366297,1
0,158,158,12,0,19,19353997,19353143,1
0,112,112,12,0,20,11228364,11227465,1
0,22,22,1,0,3,4821949,4818629,0
0,11,11,7,0,19,802447,797690,1
0,26,26,1,0,2,6404545,6402818,0
0,20,20,1,0,5,3890743,3888761,1
0,33,33,1,0,44,7536063,7534078,1
1,75,75,12,1,32,4347332,4345470,0
0,95,95,12,0,19,7085743,7084628,1
0,126,126,12,0,19,14417657,14416290,0
0,41,41,1,0,6,10471813,10470053,1
0,146,146,12,0,38,17169188,17167599,1
0,147,147,12,0,38,17204565,17202847,1
1,60,60,12,1,25,954065,950709,1
0,32,32,1,0,11,7485958,7483058,0
0,80,80,12,0,19,5310760,5309435,1
0,115,115,12,0,38,11930294,11928846,1
0,62,62,12,0,20,1163943,1162260,1
0,111,111,12,0,20,11141122,11139777,0
0,18,18,1,0,12,3552202,3549812,0
0,123,123,12,0,38,14297622,14294152,1
0,139,139,12,0,35,16271105,16270171,1
0,156,156,12,0,19,19098062,19092804,1
0,8,8,3,0,18,1488889,1488146,1
0,1,1,0,0,18,720767,720270,1
0,61,61,12,0,20,1138017,1136944,0
0,36,36,1,0,10,8446783,8444390,0
0,79,79,12,0,20,4986283,4984864,1
0,92,92,12,0,19,6830368,6828929,0
0,113,113,12,0,20,11411332,11410333,0
0,133,133,12,0,19,15699505,15698438,1
0,71,71,12,0,23,3320883,3319447,0
0,67,67,12,0,31,1981630,1980224,1
0,130,130,12,0,19,15368259,15366826,0
0,124,124,12,0,37,14309948,14308893,0
0,77,77,12,0,19,4787700,4786735,1
0,27,27,1,0,1,7223642,7222040,1
0,110,110,12,0,38,10863636,10862464,0
0,49,49,1,0,9,13113318,13110727,0
0,16,16,1,0,6,1537359,1535937,0
0,94,94,12,0,20,6917763,6916226,1
0,121,121,12,0,19,14082326,14081394,1
0,105,105,12,0,20,9633706,9632528,0
0,24,24,1,0,0,5758988,5757861,1
0,9,9,6,0,18,81654,80512,1
0,181,181,12,0,38,23853903,23852545,1
0,145,145,12,0,19,16962662,16961430,1
1,4,4,2,1,34,174089,167799,1
0,19,19,1,0,43,3888303,3887290,1
0,116,116,12,0,20,12055523,12054483,1
1,2,2,2,1,34,99081,91365,1
0,98,98,12,0,19,7438734,7437391,1
0,23,23,1,0,17,4822884,4821965,0
0,132,132,12,0,19,15575248,15573908,0
1,50,50,1,1,30,13184258,13181388,1
0,108,108,12,0,20,9950434,9949362,1
0,101,101,12,0,23,8353309,8351207,1
0,168,168,12,0,23,21338975,21337707,1
1,140,140,12,1,40,16290323,16287284,1
0,54,54,12,0,20,39504,38457,0
0,184,184,12,0,19,24325727,24324600,1
0,52,52,1,0,0,15525233,15523344,0
1,35,35,1,1,30,8123260,8119900,0
0,173,173,12,0,20,22034406,22033199,0
0,31,31,1,0,0,7470439,7468958,0
1,99,99,12,1,25,8082833,8078484,1
0,17,17,1,0,7,1555909,1553879,1
0,152,152,12,0,20,18805214,18803756,0
0,135,135,12,0,38,16044124,16042352,0
0,65,65,12,0,20,1384983,1383800,0
0,30,30,1,0,5,7409936,7408131,1
0,155,155,12,0,19,19092299,19091385,1
0,37,37,1,0,16,8477276,8475756,0
0,74,74,12,0,23,4054701,4053424,1
0,141,141,12,0,20,16306157,16305157,1
0,34,34,1,0,43,7726763,7725846,1
0,117,117,12,0,20,12245091,12243976,0
0,162,162,12,0,19,20537413,20536571,0
0,6,6,4,0,2,3991758,3988690,0
0,84,84,12,0,23,5631591,5630353,0
0,43,43,1,0,0,11528056,11526539,1
0,106,106,12,0,20,9713721,9711766,1
0,169,169,12,0,19,21494170,21492995,0
0,143,143,12,0,39,16917457,16914834,0
0,174,174,12,0,39,22370663,22368995,0
0,39,39,1,0,0,9818594,9817575,1
0,129,129,12,0,42,15205645,15204587,1
0,64,64,12,0,43,1377494,1376007,1
0,25,25,1,0,44,6206204,6205003,1
1,5,5,2,1,34,196430,190759,0
0,88,88,12,0,19,6407978,6406782,1
1,72,72,12,1,45,3668916,3665455,0
0,66,66,12,0,38,1619516,1618005,0
0,166,166,12,0,39,20921047,20919837,0
0,179,179,12,0,20,23094018,23092635,0
1,70,70,12,1,41,2395872,2393881,0
1,7,7,5,1,34,5133342,5130638,1
0,12,12,8,0,20,1681418,1679283,0
0,48,48,1,0,2,13088563,13085495,0
1,159,159,12,1,21,19533804,19532201,0
1,104,104,12,1,27,9534947,9531795,0
0,10,10,9,0,20,1115867,1114074,1
0,131,131,12,0,20,15572469,15571309,1
0,56,56,12,0,38,189059,186996,1
0,163,163,12,0,19,20629260,20624929,0
1,107,107,12,1,21,9897110,9895189,0
0,165,165,12,0,20,20644984,20643740,0
0,172,172,12,0,39,21910490,21909174,0
0,51,51,1,0,14,14737741,14736827,1
0,44,44,1,0,0,12043902,12042832,0
0,86,86,12,0,38,5694837,5693386,0
0,40,40,1,0,3,10166666,10162488,1
0,153,153,12,0,20,18902845,18901746,1
0,138,138,12,0,38,16194865,16193285,1
0,154,154,12,0,19,19068634,19067516,1
0,150,150,12,0,19,17510816,17509830,1
0,182,182,12,0,19,24166126,24164795,1
1,164,164,12,1,25,20643501,20641411,1
0,134,134,12,0,38,15718387,15717122,1
0,47,47,1,0,13,13085487,13081270,0
1,38,38,1,1,30,9281160,9279771,1
1,69,69,12,1,32,2196289,2194207,1
0,15,15,1,0,43,1535813,1533903,0
1,46,46,1,1,30,12991286,12990102,0
0,161,161,12,0,19,20186152,20185019,0
0,128,128,12,0,38,14784791,14783577,1
0,180,180,12,0,19,23555821,23554982,1
0,148,148,12,0,31,17302256,17300595,0
0,151,151,12,0,20,17931183,17930112,0
0,102,102,12,0,20,8501731,8500823,1
1,28,28,1,1,15,7252507,7251456,0
0,125,125,12,0,37,14313028,14311819,0
1,177,177,12,1,21,22703905,22702368,1
0,0,0,0,0,18,690524,690027,1
0,42,42,1,0,8,11526257,11525184,1
0,119,119,12,0,20,13564907,13563621,0
0,103,103,12,0,19,9395484,9394522,1
1,120,120,12,1,28,13800591,13799374,1
0,82,82,12,0,38,5535594,5533789,1
0,78,78,12,0,20,4961093,4960051,0
0,93,93,12,0,20,6835055,6834118,1
0,68,68,12,0,19,2148612,2147431,0
