SportType,StageLabel,StageOrder,ProCyclingStatsRaceId,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,GeneralClassificationLeader,StageDescription,EndLocation
1,22,2.0,210080.0,3,10,2,9,13,17,19,13,4,20
1,2,0.0,173373.0,14,11,8,0,0,1,23,5,10,14
1,4,2.0,173375.0,2,9,16,0,2,3,5,5,10,17
1,16,,181431.0,13,4,20,7,14,27,8,14,3,18
1,3,1.0,173374.0,14,6,17,0,1,2,4,5,10,4
1,10,2.0,181883.0,21,6,22,3,7,12,11,7,8,10
1,6,4.0,173377.0,24,8,7,0,24,5,7,5,10,21
1,17,5.0,181430.0,23,7,20,6,24,10,15,14,11,18
1,25,1.0,256611.0,7,7,20,14,18,21,23,14,12,7
1,1,,177341.0,14,1,8,1,5,0,0,5,0,21
1,23,1.0,247208.0,17,7,21,10,17,20,23,4,7,19
1,12,,181338.0,12,2,15,7,16,27,2,11,2,13
1,9,1.0,181882.0,20,8,10,3,6,11,10,7,8,25
0,7,0.0,,25,11,18,2,4,6,23,12,4,22
1,28,1.0,279131.0,8,6,3,17,22,25,22,2,4,23
1,19,2.0,,4,10,23,8,9,14,16,15,4,1
1,14,,180920.0,5,3,0,7,24,27,3,0,4,6
1,0,1.0,248213.0,22,8,1,11,24,19,23,1,4,9
1,27,3.0,270409.0,19,10,19,15,20,24,21,9,4,12
1,15,3.0,180917.0,9,10,24,5,8,8,14,16,4,24
1,26,2.0,270408.0,1,7,12,15,19,23,20,9,4,2
1,21,1.0,210079.0,3,10,5,9,12,16,23,3,4,5
1,24,,256777.0,10,0,13,13,21,22,18,10,5,16
1,8,,181886.0,20,1,10,7,11,27,1,7,1,11
1,20,3.0,,0,10,23,8,10,15,17,15,4,0
1,5,3.0,173376.0,18,6,14,0,3,4,6,5,10,21
1,18,,181185.0,6,5,11,7,15,7,9,8,4,3
1,13,4.0,181337.0,11,8,6,4,24,9,13,11,9,13
1,11,4.0,181885.0,18,10,4,3,24,13,12,7,8,11
1,30,1.0,250966.0,16,6,25,12,25,18,23,17,6,8
1,29,1.0,290097.0,15,7,9,16,23,26,23,6,4,15
