Strand_Orientation,Gene_Description,Genomic_Start_Position,Gene_Label,Encoded_Protein,Gene_Db_Id,Gene_Classification,Orthologous_Gene,Genomic_End_Position
1,0,1037092,370,4,370,0,167,1037760
0,0,17649,404,3,404,1,155,18293
0,0,691,126,4,126,0,0,1236
0,0,54438,361,4,361,0,99,55025
0,0,1457246,90,4,90,0,95,1457890
1,0,486679,206,4,206,0,123,487260
0,0,1994529,223,4,223,0,149,1995197
0,0,8128,388,4,388,0,89,9057
0,0,27985,132,3,132,1,163,28680
0,0,621803,28,4,28,0,95,622513
1,0,806492,156,4,156,0,115,807166
0,0,111971,401,1,401,1,36,112468
1,0,37731,289,4,289,0,125,38417
0,0,6638,268,4,268,0,41,7294
1,0,162521,9,4,9,0,141,163066
0,0,1942577,10,4,10,0,56,1943209
0,0,734867,97,4,97,0,95,735451
1,0,1356881,314,4,314,0,146,1357417
1,0,1480762,93,4,93,0,73,1481322
1,0,35642,73,4,73,0,61,36247
0,0,1186465,349,4,349,0,167,1187163
0,0,120498,36,2,36,0,105,120884
1,1,1893637,111,4,111,0,28,1894275
0,0,438233,354,4,354,0,21,438865
0,0,308044,371,4,371,0,26,308712
0,0,1032920,303,4,303,0,166,1033564
0,0,1578312,120,4,120,0,17,1578872
0,0,76545,62,4,62,0,129,77237
1,0,10975,266,4,266,0,41,11667
0,0,496893,127,4,127,0,112,497483
1,0,1707370,30,4,30,0,67,1707996
1,0,6162,380,4,380,0,88,6677
1,0,277438,228,4,228,0,156,278070
0,0,1685914,112,4,112,0,95,1686468
0,0,476973,211,4,211,0,111,477620
0,0,564760,383,2,383,0,78,565167
1,0,3223,128,4,128,0,41,3882
0,0,1685527,117,0,117,0,159,1685667
0,0,4066,235,4,235,0,125,4704
1,0,4736,353,4,353,0,133,5356
1,0,376393,57,4,57,0,150,376974
0,0,767290,276,4,276,0,48,767988
1,0,426186,141,4,141,0,127,426818
0,0,6641,55,4,55,0,41,7249
0,0,264339,265,4,265,0,5,265007
0,0,27344,46,4,46,0,125,28027
1,0,1117975,323,4,323,0,152,1118634
1,0,30158,74,4,74,0,64,30799
1,0,159101,68,4,68,0,97,159847
0,0,694383,311,4,311,0,67,694973
0,0,1609563,115,4,115,0,73,1610144
0,0,487330,173,4,173,0,150,487905
1,0,355831,430,3,430,1,136,356421
1,0,1920904,108,4,108,0,56,1921473
1,0,10110,40,2,40,0,92,10499
0,1,1738602,339,4,339,0,95,1739252
0,0,514617,212,4,212,0,62,515441
1,0,1109041,320,4,320,0,95,1109679
0,0,347313,19,3,19,1,9,347837
0,0,250097,327,4,327,0,156,250738
1,0,4241,8,4,8,0,1,4939
0,0,569783,76,4,76,0,113,570400
0,0,543658,150,1,150,1,111,544317
0,0,31979,269,4,269,0,125,32545
1,0,18480,381,3,381,1,31,19103
1,0,8412,263,4,263,0,74,8984
1,0,598996,239,4,239,0,6,599763
0,0,430509,13,4,13,0,132,430625
1,0,1142287,409,4,409,0,48,1142859
0,0,338926,231,4,231,0,80,339516
1,0,1412725,215,4,215,0,13,1413348
1,0,1065931,405,4,405,0,66,1066542
0,0,7151,346,2,346,0,148,7534
1,0,5874,308,4,308,0,150,6518
1,0,25487,310,4,310,0,31,26110
1,0,503911,428,3,428,1,145,504309
1,0,610288,368,4,368,0,167,610947
0,0,1934724,222,4,222,0,121,1935320
0,0,216122,326,4,326,0,143,216763
1,0,587969,161,3,161,1,107,588625
1,0,411981,286,4,286,0,44,412598
1,0,462885,102,3,102,1,77,463493
1,0,13402,394,4,394,0,153,14001
0,0,275592,140,4,140,0,79,276224
1,0,601643,324,4,324,0,91,602338
1,0,1489,389,2,389,0,86,1845
0,0,314181,123,4,123,0,25,314714
0,0,1463646,89,4,89,0,95,1464254
1,0,1099440,407,4,407,0,100,1100102
0,0,444042,33,4,33,0,109,444695
0,0,41594,386,4,386,0,149,42175
0,0,750,130,2,130,0,74,1079
0,0,382086,59,4,59,0,156,382637
1,0,34388,307,4,307,0,119,35038
0,0,409331,254,4,254,0,23,410050
1,0,39399,351,4,351,0,87,40043
1,0,640880,83,4,83,0,53,641578
1,0,319437,423,4,423,0,96,320021
0,0,69732,304,4,304,0,157,70385
0,0,2228,384,4,384,0,147,2893
1,0,35462,21,4,21,0,52,36160
1,0,627354,188,3,188,1,62,628319
0,0,978390,281,1,281,1,116,978860
0,0,287506,178,4,178,0,98,288480
0,0,331098,157,4,157,0,132,331967
0,0,467418,366,4,366,0,162,467996
0,0,1344239,203,4,203,0,122,1344856
0,1,339536,413,4,413,0,97,340144
0,0,217234,170,4,170,0,21,218124
1,0,10641,52,4,52,0,74,11303
1,0,11959,202,4,202,0,93,12594
1,0,789061,155,4,155,0,57,789660
1,0,854569,25,4,25,0,168,855201
1,0,262,6,4,6,0,32,873
0,0,12349,344,4,344,0,51,12963
1,0,301183,284,4,284,0,31,301818
1,0,3,11,5,11,0,70,281
0,0,578253,77,4,77,0,113,578960
0,0,1664528,31,4,31,0,150,1665163
1,0,537880,149,4,149,0,116,538452
0,0,277617,250,4,250,0,45,278450
0,0,472107,260,4,260,0,132,473006
1,0,10142,169,4,169,0,129,10738
0,0,14972,124,1,124,1,53,15631
1,0,2130250,105,4,105,0,95,2130876
0,0,750414,205,4,205,0,130,750998
1,0,497083,300,4,300,0,41,497850
1,0,652923,84,4,84,0,53,653543
1,0,698387,98,4,98,0,95,698962
1,0,350453,414,2,414,0,97,350824
1,0,583626,136,4,136,0,6,584282
0,0,425384,145,2,145,0,46,425782
0,0,1182499,329,4,329,0,38,1183104
0,0,160181,403,4,403,0,49,160801
1,0,5495,95,4,95,0,125,6106
0,0,392783,287,4,287,0,10,393310
1,0,513441,299,4,299,0,41,514088
1,0,666332,5,4,5,0,6,667099
0,0,243556,294,4,294,0,118,244449
0,0,222562,295,4,295,0,23,223254
0,0,259935,180,4,180,0,98,260483
0,0,1069351,198,4,198,0,56,1069989
1,0,197730,44,4,44,0,6,198335
