Strand_Orientation,Gene_Description,Genomic_Start_Position,Gene_Label,Encoded_Protein,Gene_Db_Id,Gene_Classification,Orthologous_Gene,Genomic_End_Position
1,0,1037092,370,4,370,0,170,1037760
0,0,17649,404,3,404,1,158,18293
0,0,691,126,4,126,0,0,1236
0,0,54438,360,4,360,0,100,55025
0,0,1457246,90,4,90,0,96,1457890
1,0,486679,205,4,205,0,125,487260
0,0,1994529,222,4,222,0,151,1995197
0,0,8128,388,4,388,0,90,9057
0,0,3962,134,4,134,0,131,4555
0,0,621803,28,4,28,0,96,622513
1,0,806492,155,4,155,0,117,807166
0,0,111971,401,1,401,1,36,112468
0,0,4217,342,4,342,0,140,4870
0,0,1954,269,4,269,0,131,2682
1,0,162521,9,4,9,0,143,163066
0,0,1942577,10,4,10,0,57,1943209
0,0,734867,96,4,96,0,96,735451
1,0,1356881,313,4,313,0,148,1357417
1,0,1480762,93,4,93,0,74,1481322
1,0,35642,73,4,73,0,62,36247
0,0,1186465,348,4,348,0,170,1187163
0,0,120498,36,2,36,0,107,120884
1,1,1893637,111,4,111,0,28,1894275
0,0,438233,353,4,353,0,21,438865
0,0,308044,371,4,371,0,26,308712
0,0,1032920,302,4,302,0,169,1033564
0,0,1578312,120,4,120,0,17,1578872
0,0,84681,62,4,62,0,75,85370
0,0,16820,266,4,266,0,41,17407
0,0,496893,127,4,127,0,114,497483
1,0,1707370,30,4,30,0,68,1707996
1,0,6162,380,4,380,0,89,6677
1,0,277438,227,4,227,0,159,278070
0,0,1685914,112,4,112,0,96,1686468
0,0,476973,210,4,210,0,113,477620
0,0,564760,383,2,383,0,79,565167
0,0,9749,128,4,128,0,41,10321
0,0,1685527,117,0,117,0,162,1685667
0,0,6979,235,4,235,0,41,7629
0,0,1004,357,4,357,0,104,1645
1,0,376393,57,4,57,0,152,376974
0,0,767290,276,4,276,0,48,767988
1,0,426186,140,4,140,0,129,426818
0,0,6641,55,4,55,0,41,7249
0,0,264339,264,4,264,0,5,265007
0,0,27344,46,4,46,0,127,28027
1,0,1117975,322,4,322,0,154,1118634
1,0,30158,74,4,74,0,65,30799
1,0,159101,68,4,68,0,98,159847
0,0,694383,310,4,310,0,68,694973
0,0,1609563,115,4,115,0,74,1610144
0,0,487330,172,4,172,0,152,487905
1,0,355831,430,3,430,1,138,356421
1,0,1920904,108,4,108,0,57,1921473
1,0,10110,40,2,40,0,93,10499
0,1,1738602,338,4,338,0,96,1739252
0,0,514617,211,4,211,0,63,515441
1,0,1109041,319,4,319,0,96,1109679
0,0,347313,19,3,19,1,9,347837
0,0,250097,326,4,326,0,159,250738
1,0,4241,8,4,8,0,1,4939
0,0,569783,76,4,76,0,115,570400
0,0,543658,149,1,149,1,113,544317
0,0,51491,270,4,270,0,131,52129
1,0,18480,381,3,381,1,31,19103
0,0,4128,263,4,263,0,37,4829
1,0,598996,238,4,238,0,6,599763
0,0,430509,13,4,13,0,134,430625
1,0,1142287,409,4,409,0,48,1142859
0,0,338926,230,4,230,0,81,339516
1,0,1412725,214,4,214,0,13,1413348
