Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position,Strand_Orientation
1,7608,42,1,6745,1
1,391707,128,1,391090,1
1,23420,85,1,20511,1
0,346408,210,0,346178,1
1,216862,129,1,214952,0
1,100170,26,1,98553,1
1,453362,136,1,452610,0
1,557,94,1,3,1
0,12665,70,0,11931,1
0,346850,209,0,346512,1
1,890682,195,1,889150,0
0,1130987,150,0,1130442,0
1,2216,41,1,1884,0
1,56787,226,1,55507,1
0,45867,21,0,45670,1
1,929,178,1,3,0
1,25397,155,1,23602,1
1,36817,153,1,35931,1
1,578507,190,1,577500,0
1,30441,201,1,27628,1
1,1839347,135,1,1836461,0
0,71748,34,0,71398,1
0,586872,183,0,586129,0
1,1122061,148,1,1121249,0
1,752571,47,1,750136,0
1,33312,81,1,32212,1
1,17807,29,1,16818,1
1,17424,194,1,14611,1
1,119855,185,1,118959,1
1,498493,237,1,497942,0
1,57738,227,1,56893,1
0,870832,53,0,869711,0
1,12423,131,1,10753,1
1,3521,179,1,564,0
1,46358,95,1,44298,1
1,120508,119,1,119957,1
1,351059,65,1,348930,0
1,4441,71,1,1115,1
0,218,158,0,3,0
1,615828,189,1,612868,0
1,835,4,1,1,0
1,71222,132,1,69540,1
1,101201,25,1,100433,1
1,76293,27,1,74227,1
1,17384,127,1,15111,1
1,395,206,1,3,1
1,1444050,22,1,1442287,0
1,122795,35,1,121053,0
1,64517,125,1,64071,1
0,747484,172,0,746714,0
1,58454,117,1,55821,1
1,10805,110,1,10074,0
1,805101,146,1,802591,0
0,4265,67,0,3411,0
1,8105,60,1,5802,1
1,42976,231,1,42014,1
0,157631,188,0,157230,0
1,7838,219,1,7741,1
1,794,8,1,3,0
0,1231,13,0,899,1
1,74182,14,1,73355,1
1,2332647,204,1,2330257,0
1,114401,64,1,112584,1
1,41471,160,1,39177,1
0,1415811,19,0,1415230,0
1,6985,84,1,4031,1
1,74451,232,1,72187,1
1,1129891,149,1,1128836,0
1,535,6,1,1,0
1,11717,180,1,11061,0
1,1338938,198,1,1337487,0
0,36096,30,0,35452,1
1,56420,161,1,55923,1
1,20561,123,1,20007,1
1,2400,171,1,211,0
1,3058,142,1,647,0
1,33980,169,1,31590,1
1,358301,176,1,355485,0
0,202126,78,0,201683,0
1,83691,202,1,83233,1
1,1034156,75,1,1031220,0
1,393196,83,1,390821,1
1,368350,50,1,367493,0
1,66037,98,1,63011,1
1,877,16,1,2,0
1,1381,107,1,2,0
1,1153652,151,1,1152030,0
1,45746,31,1,45168,1
1,80177,233,1,78453,1
1,35665,154,1,33647,1
1,2035,133,1,1445,0
1,921959,66,1,919047,0
0,282,121,0,1,1
1,903359,164,1,902475,0
1,3364,175,1,1112,0
1,8634,61,1,6310,0
1,6051,114,1,3256,0
1,223303,159,1,221369,0
1,147,10,1,1,0
1,706956,36,1,704473,0
1,15156,24,1,14362,1
1,944659,165,1,941918,1
1,478396,139,1,477242,0
1,46181,187,1,45609,1
1,47107,234,1,46339,1
1,1050263,162,1,1049748,0
1,1991,182,1,321,1
1,7580,89,1,6150,1
1,317768,197,1,315381,0
0,587282,69,0,586959,0
1,10942,205,1,10619,1
1,929,17,1,492,0
1,6341,62,1,3546,0
1,50252,214,1,48096,1
1,751195,193,1,748829,0
0,2270,59,0,1968,1
1,629366,212,1,627348,0
1,585603,192,1,583600,0
1,2735,220,1,1362,1
1,4117,228,1,1346,1
1,6226,11,1,4295,0
1,481120,112,1,478592,0
1,215,5,1,3,0
1,2208,147,1,1,1
1,857583,113,1,854629,0
1,4959,104,1,2632,0
1,38673,93,1,38134,1
1,2184398,88,1,2181870,1
1,821170,103,1,818471,0
1,640889,126,1,638082,0
1,699100,73,1,696140,0
0,2029693,143,0,2028950,0
1,4564,45,1,2810,1
1,1582,12,1,692,1
1,3052,57,1,605,0
1,513917,238,1,513297,0
1,6017,224,1,3066,0
1,4965,130,1,2173,1
1,46075,235,1,44094,1
1,2706,91,1,1,1
1,89160,186,1,86623,1
1,475584,100,1,473026,0
1,620331,167,1,618505,0
1,6087,15,1,4936,1
1,1639600,203,1,1637255,0
1,1686,2,1,1,1
1,10351,181,1,7736,1
1,1399795,23,1,1397420,0
1,651190,199,1,650348,0
0,17833,32,0,17345,1
1,612,72,1,103,1
1,32383,207,1,29822,0
1,11788,97,1,10025,1
1,182518,43,1,180932,1
1,18217,122,1,15659,0
1,88109,223,1,87465,0
1,540826,37,1,537914,0
1,5666,174,1,3972,0
1,267665,229,1,267153,0
1,28634,145,1,28311,1
1,1121147,218,1,1120731,0
1,583,163,1,2,0
1,2783,38,1,909,1
1,67398,225,1,66466,1
0,453819,90,0,453466,0
1,11981,108,1,9216,0
1,935665,196,1,933350,0
1,9109,156,1,6119,1
1,228,18,1,1,0
0,2248,20,0,1520,1
1,578251,168,1,576644,0
1,3080,55,1,735,1
1,45115,208,1,42281,0
1,2190,102,1,1,1
1,922,9,1,412,0
1,543960,140,1,542011,0
1,663276,137,1,662509,0
1,783875,68,1,783721,0
1,24991,118,1,22313,0
0,1238,217,0,288,1
1,4197,152,1,3526,1
0,1066,0,0,947,1
1,1161359,96,1,1159086,0
1,73875,215,1,71692,1
1,8168,49,1,5343,0
1,1842055,213,1,1840004,0
1,40883,51,1,38052,1
1,9729,92,1,7402,1
1,17064,79,1,15238,0
1,521580,39,1,519241,0
1,207218,124,1,204852,1
1,640440,120,1,637990,0
1,957,173,1,103,1
1,504842,74,1,502038,0
1,45868,116,1,44981,1
1,18211,54,1,15392,1
1,963,77,1,103,1
1,772241,48,1,769332,0
0,1411,1,0,1097,0
1,24472,191,1,23342,1
1,35958,40,1,35374,1
1,34273,7,1,33176,1
1,617,56,1,1,0
1,521339,138,1,518895,0
1,392192,109,1,389835,0
1,28437,222,1,25624,1
1,4194,221,1,3232,0
1,16367,33,1,13620,1
1,13228,200,1,10472,1
1,1874,58,1,3,1
1,51751,111,1,49106,0
0,581031,239,0,580762,0
1,184333,76,1,183608,0
1,382722,105,1,380155,0
1,9773,230,1,7086,0
1,10829,82,1,8487,1
1,281858,157,1,279111,0
1,326018,106,1,323649,0
1,112160,87,1,109194,0
1,563,44,1,3,1
1,8610,80,1,7165,0
1,8014,86,1,5234,1
1,1020701,166,1,1018377,0
1,23344,170,1,21104,0
1,57748,52,1,55331,1
1,7904,101,1,5580,1
0,2011553,3,0,2010699,0
1,26773,115,1,26201,1
1,2033316,144,1,2030554,0
1,15743,211,1,15195,1
1,822273,216,1,821002,0
1,16756,28,1,15296,0
1,88412,99,1,86619,1
1,7310,236,1,4494,0
1,250640,177,1,247890,0
1,360854,46,1,358083,1
1,215357,63,1,214062,1
1,254233,184,1,251879,1
1,26957,141,1,26184,0
1,856711,134,1,855554,0
