Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position,Strand_Orientation
1,7608,41,1,6745,1
1,326018,102,1,323649,0
1,476915,37,1,476025,0
0,346408,204,0,346178,1
1,216862,123,1,214952,0
1,80177,230,1,78453,1
1,8014,84,1,5234,1
1,557,91,1,3,1
1,74182,14,1,73355,1
0,346850,203,0,346512,1
1,921959,64,1,919047,0
1,1129891,145,1,1128836,0
1,2216,40,1,1884,0
1,56787,222,1,55507,1
1,612,70,1,103,1
1,929,174,1,3,0
1,9109,152,1,6119,1
1,35665,150,1,33647,1
1,223303,155,1,221369,0
1,30441,195,1,27628,1
1,1839347,129,1,1836461,0
0,71748,32,0,71398,1
1,122795,35,1,121053,0
1,1121147,213,1,1120731,0
1,216652,229,1,216302,1
1,53404,239,1,53066,1
1,20561,118,1,20007,1
1,215357,61,1,214062,1
1,543960,135,1,542011,0
1,23503,234,1,21764,1
1,57738,223,1,56893,1
1,857583,109,1,854629,0
1,615828,186,1,612868,0
1,3521,175,1,564,0
1,640889,121,1,638082,0
1,119855,181,1,118959,1
1,351059,63,1,348930,0
1,4441,69,1,1115,1
0,218,154,0,3,0
1,578507,187,1,577500,0
1,835,4,1,1,0
1,12423,125,1,10753,1
1,100170,26,1,98553,1
1,76293,27,1,74227,1
1,17384,122,1,15111,1
1,395,200,1,3,1
1,1444050,22,1,1442287,0
1,229154,238,1,227562,0
1,64517,120,1,64071,1
1,10942,199,1,10619,1
1,58454,112,1,55821,1
1,10805,106,1,10074,0
1,706956,36,1,704473,0
0,4265,65,0,3411,0
1,8105,58,1,5802,1
1,1034156,73,1,1031220,0
0,157631,184,0,157230,0
1,7838,214,1,7741,1
1,794,8,1,3,0
0,1231,13,0,899,1
1,51751,107,1,49106,0
1,2332647,198,1,2330257,0
1,114401,62,1,112584,1
1,41471,156,1,39177,1
0,1415811,19,0,1415230,0
1,6985,82,1,4031,1
1,46358,92,1,44298,1
1,1122061,144,1,1121249,0
1,535,6,1,1,0
1,11717,176,1,11061,0
1,1338938,193,1,1337487,0
1,34648,29,1,31775,1
1,56420,157,1,55923,1
1,42976,227,1,42014,1
1,2400,166,1,211,0
1,3058,137,1,647,0
1,33980,164,1,31590,1
1,358301,172,1,355485,0
0,202126,76,0,201683,0
1,83691,196,1,83233,1
1,33312,79,1,32212,1
1,393196,81,1,390821,1
1,368350,49,1,367493,0
1,23148,138,1,20869,1
1,877,16,1,2,0
1,1381,103,1,2,0
0,1130987,146,0,1130442,0
1,33975,34,1,32362,1
1,47107,231,1,46339,1
1,25397,151,1,23602,1
1,2035,127,1,1445,0
1,254233,180,1,251879,1
0,282,116,0,1,1
1,903359,160,1,902475,0
1,3364,170,1,1112,0
1,8634,59,1,6310,0
1,6051,110,1,3256,0
1,88109,218,1,87465,0
1,147,10,1,1,0
1,36817,149,1,35931,1
1,15156,24,1,14362,1
1,944659,161,1,941918,1
1,513917,236,1,513297,0
1,24472,188,1,23342,1
1,46075,232,1,44094,1
1,1050263,158,1,1049748,0
1,1991,178,1,321,1
1,7580,87,1,6150,1
1,317768,192,1,315381,0
0,581031,237,0,580762,0
1,783875,67,1,783721,0
1,929,17,1,492,0
1,6341,60,1,3546,0
1,28634,141,1,28311,1
1,392192,105,1,389835,0
0,2270,57,0,1968,1
1,629366,207,1,627348,0
1,609376,206,1,606950,0
1,2735,215,1,1362,1
1,4117,224,1,1346,1
1,6226,11,1,4295,0
1,481120,108,1,478592,0
1,215,5,1,3,0
1,2208,143,1,1,1
1,15743,205,1,15195,1
1,4959,100,1,2632,0
1,38673,90,1,38134,1
1,2184398,86,1,2181870,1
1,781276,167,1,779186,0
1,46181,183,1,45609,1
1,703894,113,1,701207,0
0,2029693,139,0,2028950,0
1,4564,44,1,2810,1
1,1582,12,1,692,1
1,3052,55,1,605,0
1,498493,235,1,497942,0
1,6017,220,1,3066,0
1,4965,124,1,2173,1
1,585603,189,1,583600,0
1,2706,88,1,1,1
1,89160,182,1,86623,1
1,88412,95,1,86619,1
1,101201,25,1,100433,1
1,6087,15,1,4936,1
1,1639600,197,1,1637255,0
1,1686,2,1,1,1
1,10351,177,1,7736,1
1,1399795,23,1,1397420,0
1,699100,71,1,696140,0
0,17833,30,0,17345,1
1,1153652,147,1,1152030,0
1,32383,201,1,29822,0
1,69602,83,1,68706,1
1,71222,126,1,69540,1
1,18217,117,1,15659,0
1,57820,33,1,56951,0
1,73875,210,1,71692,1
1,5666,169,1,3972,0
1,267665,225,1,267153,0
1,578251,163,1,576644,0
1,475584,96,1,473026,0
1,583,159,1,2,0
1,2783,38,1,909,1
1,67398,221,1,66466,1
1,453362,130,1,452610,0
1,11981,104,1,9216,0
1,915785,191,1,913926,0
1,772241,47,1,769332,0
1,228,18,1,1,0
0,2248,20,0,1520,1
1,74451,228,1,72187,1
1,3080,53,1,735,1
1,45115,202,1,42281,0
1,2190,98,1,1,1
1,922,9,1,412,0
1,521339,133,1,518895,0
1,612431,131,1,611934,0
1,750468,66,1,747616,0
1,24991,114,1,22313,0
0,1238,212,0,288,1
1,4197,148,1,3526,1
0,1066,0,0,947,1
1,1161359,93,1,1159086,0
1,63967,209,1,63425,1
1,8168,48,1,5343,0
1,1842055,208,1,1840004,0
1,40883,50,1,38052,1
1,9729,89,1,7402,1
1,17064,77,1,15238,0
1,521580,39,1,519241,0
1,814312,219,1,811961,0
1,34273,7,1,33176,1
1,957,168,1,103,1
1,504842,72,1,502038,0
1,26773,111,1,26201,1
1,856711,128,1,855554,0
1,112160,85,1,109194,0
1,752571,46,1,750136,0
0,1411,1,0,1097,0
1,630925,171,1,630173,0
0,795045,190,0,794215,0
0,587282,68,0,586959,0
1,617,54,1,1,0
1,478396,134,1,477242,0
1,822273,211,1,821002,0
1,28437,217,1,25624,1
1,4194,216,1,3232,0
1,16367,31,1,13620,1
1,13228,194,1,10472,1
1,1874,56,1,3,1
1,640440,115,1,637990,0
1,963,75,1,103,1
1,184333,74,1,183608,0
1,382722,101,1,380155,0
1,9773,226,1,7086,0
1,10829,80,1,8487,1
1,281858,153,1,279111,0
1,23155,185,1,22973,1
1,663276,132,1,662509,0
1,563,43,1,3,1
1,8610,78,1,7165,0
1,250640,173,1,247890,0
1,1020701,162,1,1018377,0
1,23344,165,1,21104,0
1,57748,51,1,55331,1
1,7904,97,1,5580,1
0,2011553,3,0,2010699,0
0,45867,21,0,45670,1
1,2033316,140,1,2030554,0
1,821170,99,1,818471,0
1,805101,142,1,802591,0
1,16756,28,1,15296,0
1,66037,94,1,63011,1
1,7310,233,1,4494,0
0,586872,179,0,586129,0
1,360854,45,1,358083,1
1,182518,42,1,180932,1
1,207218,119,1,204852,1
1,26957,136,1,26184,0
0,870832,52,0,869711,0
