Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position
1,0,38827,226,226,35924
0,0,4679,184,184,1893
1,0,9869,53,53,8244
0,0,825842,310,310,823350
0,0,502030,130,130,499289
1,0,79193,77,77,76656
0,0,2449,0,0,11
1,0,7010,291,291,4233
1,0,66235,248,248,64469
1,0,21822,317,317,18838
1,0,3014,94,94,228
1,0,77950,17,17,74987
1,0,510295,141,141,507728
0,0,847503,311,311,845194
0,0,6673,233,233,3815
1,0,181574,314,314,180063
0,0,625252,229,229,622190
1,0,981807,277,277,979324
1,0,16715,187,187,14439
1,0,2940,213,213,73
0,0,8383,220,220,7271
1,0,17724,293,293,14986
0,0,13435,271,271,10745
1,0,86361,189,189,83876
0,0,225780,78,78,223900
0,0,578138,99,99,576360
0,0,504140,267,267,500865
0,0,636457,214,214,635763
0,0,847195,164,164,845501
0,0,492362,27,27,490971
0,0,236472,224,224,233641
0,0,779582,204,204,776703
0,0,7188,124,124,4384
1,0,8831,110,110,6234
0,0,650247,101,101,648161
0,0,984,304,304,31
1,0,1094,23,23,159
0,0,24358,272,272,21590
1,0,1225,52,52,1
0,0,628999,143,143,626735
1,0,13990,115,115,11384
1,0,28068,64,64,25282
1,0,3158,255,255,408
0,0,2351295,264,264,2348338
0,0,9939,56,56,8926
1,0,65081,83,83,62292
1,0,9052,247,247,7148
0,2,805554,313,313,804478
0,0,782600,205,205,781197
0,0,3790,211,211,806
0,0,1573917,167,167,1571158
0,0,1995400,175,175,1993454
0,0,794113,243,243,793295
1,0,644271,97,97,641242
1,0,56433,249,249,54619
0,0,654938,253,253,652152
0,0,1032018,49,49,1029001
0,0,1140600,197,197,1138639
0,0,411506,58,58,408474
1,0,924785,237,237,922281
0,0,1204,126,126,2
1,0,8397,15,15,5578
0,0,764760,203,203,762982
1,0,976,20,20,2
1,0,587182,273,273,584897
0,0,3258,40,40,436
1,0,6116,57,57,4224
0,0,606712,238,238,603989
1,0,21218,242,242,18921
1,0,2501,82,82,102
1,0,7457,215,215,4911
0,0,490870,45,45,489493
1,0,4777,18,18,2027
1,0,26225,207,207,24447
1,0,22430,44,44,19944
1,0,15107,263,263,12237
1,0,41742,307,307,39727
0,0,663320,259,259,660522
1,0,58458,114,114,55432
0,0,486237,24,24,483109
0,0,353345,138,138,350952
1,0,16574,223,223,14088
0,0,3713,283,283,2106
1,0,44770,25,25,42977
0,0,3597,235,235,1834
0,0,5794,135,135,3014
0,1,655728,169,169,653962
1,0,33262,308,308,31331
0,0,791878,121,121,790079
0,0,760085,244,244,757590
0,0,1852491,174,174,1847980
0,0,130785,104,104,128263
1,0,122539,191,191,120197
0,0,594892,227,227,591674
0,0,571445,199,199,567813
0,0,690966,180,180,687994
0,0,9553,113,113,7784
0,0,582823,21,21,581135
1,0,67475,296,296,65139
1,0,25743,231,231,24748
1,0,71114,196,196,69705
0,0,103187,323,323,101616
0,0,702008,181,181,700188
0,0,585311,228,228,582390
0,0,2350211,168,168,2347587
1,0,491613,133,133,488857
1,0,12191,232,232,9909
1,0,1182,91,91,1
1,0,59561,140,140,57681
1,0,14595,65,65,12280
0,0,9360,256,256,6577
0,0,1434052,155,155,1432280
1,0,29749,162,162,26915
0,0,430057,186,186,427406
0,0,14455,89,89,11690
1,0,30562,278,278,28739
0,0,4524,241,241,2574
1,0,4216,132,132,1460
0,0,19758,185,185,17038
1,0,47207,80,80,45534
1,0,36437,102,102,35517
1,0,5595,68,68,2761
0,0,912033,72,72,909235
0,0,2693,280,280,396
1,0,4036,63,63,1289
1,0,93761,71,71,90201
0,0,11733,73,73,9154
0,0,706189,14,14,704129
0,0,120500,322,322,118605
1,0,26060,260,260,23298
0,0,351197,218,218,348939
1,0,8589,29,29,6541
0,0,1385359,154,154,1383590
0,0,688837,87,87,685982
1,0,54516,93,93,53479
1,0,1739,12,12,3
0,0,201879,299,299,200095
0,0,1320804,151,151,1318300
0,0,628364,100,100,625434
0,0,3779,183,183,1517
1,0,64637,150,150,62859
0,0,4799,270,270,2103
0,0,7313,236,236,4734
1,0,19476,160,160,17815
0,0,7957,142,142,5381
0,0,829858,119,119,827087
0,0,2071578,165,165,2068987
0,0,411543,245,245,408877
0,0,848494,163,163,847454
1,0,8756,145,145,5919
1,0,169188,306,306,166855
0,0,16396,294,294,13598
0,0,492103,129,129,489575
1,0,14953,302,302,12005
0,0,427483,287,287,425420
0,0,570499,252,252,567725
1,0,3857,103,103,1095
1,0,68621,192,192,67503
0,0,245943,61,61,244298
1,0,556405,240,240,554000
0,0,9141,221,221,8410
0,0,873816,172,172,871123
0,0,14712,222,222,11650
0,0,2360044,13,13,2358530
1,0,11256,254,254,8914
0,0,7825,90,90,5795
0,0,1137976,136,136,1133828
1,0,96498,209,209,94816
1,0,83774,188,188,82602
0,0,1981,297,297,2
0,0,483389,320,320,481422
1,0,85945,309,309,83153
0,0,21702,59,59,18811
1,0,22871,4,4,21810
1,0,5339,51,51,2904
0,0,728090,36,36,725151
1,0,3210,22,22,616
0,0,258722,219,219,256827
1,0,10587,182,182,8119
1,0,145152,315,315,142906
0,0,572075,300,300,569139
0,0,2028848,179,179,2027736
1,0,33122,281,281,30594
0,0,690828,274,274,688522
1,0,45706,261,261,43370
0,0,588116,3,3,586977
1,0,4613,117,117,1626
1,0,12865,289,289,9965
1,0,4342,81,81,1385
0,0,15683,257,257,12888
0,0,378832,38,38,376718
1,0,25602,134,134,22921
0,0,563158,321,321,560651
0,0,467624,171,171,464685
0,0,2010044,11,11,2009265
