GENE_SUBCLASS,GENOMIC_END_POSITION,GENE_DB_ID,ENCODED_PROTEIN,GENE_TYPE,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION
0,1786847,66,0,0,0,1785821,1
0,2123033,225,0,0,9,2121981,0
0,154819,176,0,0,6,154022,1
1,1719528,63,1,1,0,1718592,1
0,545737,18,0,0,0,544797,1
0,727451,27,0,0,0,726416,0
0,1764239,163,0,0,4,1763508,0
0,2175621,227,0,0,9,2174909,0
0,2631052,245,0,0,12,2630098,0
1,1421232,51,1,1,0,1420252,0
0,13907,142,0,0,2,12933,1
0,3185796,109,0,0,0,3184809,0
0,1211877,137,0,0,1,1210906,1
1,2741232,209,1,1,7,2740189,0
0,3350446,112,0,0,0,3349469,0
0,69437,173,0,0,6,68407,1
0,2236648,79,0,0,0,2235660,0
1,2958958,256,1,1,12,2958174,0
0,3374873,113,0,0,0,3373889,0
1,2005679,75,1,1,0,2004696,1
0,845231,33,0,0,0,844259,0
0,117913,233,0,0,10,116867,1
0,132449,263,0,0,13,131407,1
0,1287410,149,0,0,2,1286397,0
1,621314,22,1,1,0,620361,0
0,3087645,107,0,0,0,3086711,0
0,1317363,140,0,0,1,1316438,0
0,1775441,65,0,0,0,1774454,1
1,2604343,243,1,1,12,2603401,0
0,434763,14,0,0,0,433749,0
0,240684,6,0,0,0,239723,0
0,83058,232,0,0,10,82100,1
0,2663503,207,0,0,7,2662569,0
0,2708277,92,0,0,0,2707301,1
0,841681,32,0,0,0,840713,0
0,694956,25,0,0,0,693924,0
1,2923780,98,1,1,0,2922814,1
1,183321,157,1,1,4,182628,1
0,1701321,62,0,0,0,1700384,1
0,42295,172,0,0,6,41246,1
0,312759,8,0,0,0,311723,0
0,69433,219,0,0,9,68481,1
0,20656,230,0,0,10,19677,1
0,2269235,81,0,0,0,2268255,0
0,1771461,164,0,0,4,1770454,0
0,1123510,44,0,0,0,1122552,1
0,2571118,241,0,0,12,2570141,0
0,2987289,103,0,0,0,2986294,1
1,175684,5,1,1,0,174773,0
0,90623,190,0,0,7,89650,1
1,155111,217,1,1,8,154099,1
0,3591099,120,0,0,0,3590238,1
0,3943402,132,0,0,0,3942518,1
0,1925586,71,0,0,0,1924600,1
0,2700655,208,0,0,7,2699685,0
0,566514,19,0,0,0,565550,1
0,173724,193,0,0,7,172733,1
0,2991514,257,0,0,12,2990543,0
0,1253998,146,0,0,2,1253021,0
0,605384,20,0,0,0,604369,1
0,220934,195,0,0,7,219956,1
0,2664333,89,0,0,0,2663373,1
0,1989967,74,0,0,0,1988968,1
0,2642245,206,0,0,7,2641489,0
0,2811023,94,0,0,0,2810056,1
0,2825953,95,0,0,0,2825009,1
0,2818375,250,0,0,12,2817354,0
0,1962233,73,0,0,0,1961243,1
0,705383,26,0,0,0,704423,0
0,1036988,40,0,0,0,1036017,1
0,2929889,254,0,0,12,2928926,0
0,1951701,72,0,0,0,1950744,1
1,613465,21,1,1,0,612696,1
0,1234677,138,0,0,1,1233707,1
0,3554822,118,0,0,0,3554085,1
0,22128,171,0,0,6,21118,1
0,2580660,84,0,0,0,2579676,1
1,2680575,90,1,1,0,2679626,1
0,1261944,147,0,0,2,1260960,0
1,2687685,91,1,1,0,2686888,1
1,2218428,229,1,1,9,2217492,0
0,98100,262,0,0,13,97104,1
0,194080,158,0,0,4,193107,1
0,2083278,224,0,0,9,2082312,0
0,34889,151,0,0,3,33931,1
0,89815,220,0,0,9,88823,0
0,3675676,123,0,0,0,3674736,1
0,1043987,41,0,0,0,1043027,1
0,2590362,242,0,0,12,2589354,0
0,2630816,205,0,0,7,2629838,0
1,311627,161,1,1,4,310667,1
0,3178788,108,0,0,0,3177802,0
0,2346965,199,0,0,7,2346009,0
0,127076,192,0,0,7,126066,1
0,3244723,111,0,0,0,3243964,0
1,320709,198,1,1,7,319707,0
1,250517,237,1,1,10,249557,1
1,221928,177,1,1,6,221294,1
0,278997,159,0,0,4,278392,1
1,3129,141,1,1,2,2111,1
1,292637,160,1,1,4,291670,1
0,1276401,148,0,0,2,1275562,0
1,530848,17,1,1,0,529877,1
0,63052,3,0,0,0,62038,0
0,3192903,110,0,0,0,3191963,1
0,2052986,223,0,0,9,2051981,0
0,2885211,252,0,0,12,2884260,0
0,3411054,114,0,0,0,3410011,0
0,204979,266,0,0,13,203989,1
1,62075,135,1,1,1,61062,1
0,3615342,121,0,0,0,3614358,1
0,2137083,78,0,0,0,2136116,0
0,829945,31,0,0,0,828981,0
0,2310802,82,0,0,0,2309816,0
1,1609442,58,1,1,0,1608554,0
0,3070241,106,0,0,0,3069280,0
0,80570,189,0,0,7,79583,1
1,1975350,222,1,1,9,1974370,0
0,3781213,126,0,0,0,3780167,1
0,1987656,180,0,0,6,1986653,0
0,243795,236,0,0,10,242828,1
0,1227129,48,0,0,0,1226153,0
1,2191993,228,1,1,9,2191163,0
0,1896974,70,0,0,0,1895961,1
1,146994,175,1,1,6,146054,1
0,2569200,83,0,0,0,2568416,1
0,2026638,181,0,0,6,2025643,0
0,2012514,76,0,0,0,2011537,1
0,143681,152,0,0,3,142743,1
0,350270,10,0,0,0,349232,0
0,961008,37,0,0,0,960057,0
0,818515,30,0,0,0,817520,0
0,1798060,166,0,0,4,1797042,0
0,74070,136,0,0,1,73103,1
1,2500826,202,1,1,7,2499858,0
0,3747742,125,0,0,0,3746758,1
0,96817,221,0,0,9,95832,0
0,1493581,54,0,0,0,1492608,0
0,2790671,93,0,0,0,2789740,0
0,164600,264,0,0,13,163581,1
0,81446,174,0,0,6,80444,1
0,2363219,200,0,0,7,2362256,0
0,3501883,117,0,0,0,3500926,1
0,1169323,46,0,0,0,1168314,1
0,2609560,87,0,0,0,2608581,1
1,37712,1,1,1,0,36728,0
0,2599688,203,0,0,7,2598686,0
0,3907034,131,0,0,0,3906026,1
0,756430,28,0,0,0,755452,0
1,2620539,244,1,1,12,2619563,0
0,1379,134,0,0,1,408,1
1,1661637,61,1,1,0,1660898,1
0,2922898,253,0,0,12,2921940,0
0,29762,0,0,0,0,28779,0
1,825304,169,1,1,5,824320,0
1,3565904,119,1,1,0,3564858,1
1,1894910,178,1,1,6,1894237,0
0,2931247,99,0,0,0,2930282,1
0,56587,188,0,0,7,55870,1
1,3832545,128,1,1,0,3831499,1
0,10066,218,0,0,9,9119,1
0,2768159,211,0,0,7,2767187,0
0,2970973,102,0,0,0,2969987,1
0,1819402,167,0,0,4,1818421,0
0,2886495,96,0,0,0,2885569,0
0,1029803,39,2,0,0,1028849,1
0,2799553,213,0,0,7,2798511,0
0,1831592,67,0,0,0,1830638,1
0,1202243,144,0,0,2,1201265,0
0,1323924,49,0,0,0,1322970,0
0,2950391,255,0,0,12,2949454,0
1,1571655,57,1,1,0,1570786,1
0,325126,9,0,0,0,324116,0
1,2866118,251,1,1,12,2865319,0
0,232090,196,0,0,7,231104,1
1,1884205,168,1,1,4,1883183,0
0,797603,29,0,0,0,796557,0
1,3864794,129,1,1,0,3863936,1
0,61311,231,0,0,10,60333,1
0,130190,234,0,0,10,129258,1
0,101259,4,0,0,0,100271,0
0,3485524,116,0,0,0,3484511,1
0,854400,34,0,0,0,853408,0
1,474134,16,1,1,0,473342,1
0,93901,156,0,0,4,93026,1
1,2164937,226,1,1,9,2163912,0
1,2960312,101,1,1,0,2959559,1
0,2718036,248,0,0,12,2717006,0
0,3958204,133,0,0,0,3957431,1
0,1842055,68,0,0,0,1841258,1
0,3896577,130,0,0,0,3895570,1
0,3626724,122,0,0,0,3625683,1
0,264759,7,0,0,0,263742,0
0,1863193,69,0,0,0,1862233,1
0,418380,13,0,0,0,417494,0
0,1314686,150,0,0,2,1313668,0
0,1158170,45,0,0,0,1157129,1
1,116363,191,1,1,7,115392,1
1,1090312,42,3,1,0,1089324,0
0,47733,215,0,0,8,46712,1
1,1302731,139,1,1,1,1301798,0
0,2491047,240,0,0,12,2490060,0
0,2611171,204,0,0,7,2610116,0
0,2751961,210,0,0,7,2751003,0
1,1944091,179,1,1,6,1943137,0
0,65837,260,0,0,13,64781,1
1,19593,238,1,1,11,18641,1
1,2075234,183,1,1,6,2074416,0
1,914773,35,1,1,0,913902,0
0,257930,197,0,0,7,256958,1
0,82197,155,0,0,4,81176,1
0,1206640,47,0,0,0,1205634,0
0,59985,216,0,0,8,58996,1
0,35674,186,0,0,7,34737,1
0,315605,267,0,0,13,314638,1
0,3008310,104,0,0,0,3007265,1
0,1632520,59,0,0,0,1631515,0
0,52191,2,0,0,0,51200,0
0,1435342,52,0,0,0,1434369,0
0,2247622,80,0,0,0,2246622,0
0,2402964,201,0,0,7,2401983,0
0,937139,36,0,0,0,936183,0
1,407514,12,1,1,0,406664,0
0,2647975,88,0,0,0,2647001,1
0,1550036,56,0,0,0,1549070,1
1,462656,15,1,1,0,461872,0
0,2659219,246,0,0,12,2658195,0
0,361388,11,0,0,0,360375,0
