Languages,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,ProCyclingStatsCyclistId,CyclistName,CyclistDescription,MemoireDuCyclismeCyclistId,BirthPlace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId,SportCountry
2,5,16313.0,3333.0,3,140752.0,3,0,19461.0,5,44513.0,74.0,2,126409.0,13,3,18746.0,150.0,9,181.0,3,0
7,1,56070.0,20777.0,2,179769.0,2,1,,4,86568.0,71.0,11,133261.0,7,2,79781.0,18575.0,2,180.0,10,3
7,3,65688.0,24926.0,1,198937.0,1,2,,13,95844.0,60.0,12,,1,1,100412.0,58275.0,0,175.0,10,1
1,12,61775.0,23299.0,5,164709.0,5,9,,11,89223.0,68.0,9,,12,5,72207.0,25726.0,5,186.0,2,3
6,11,56041.0,20719.0,11,174582.0,11,8,66232.0,10,88889.0,65.0,3,135863.0,10,11,72449.0,18655.0,4,177.0,9,3
4,8,14372.0,56.0,7,140610.0,7,5,18135.0,2,14262.0,63.0,0,,11,7,5274.0,27.0,9,174.0,4,2
0,13,49272.0,17881.0,10,140294.0,10,10,55349.0,1,76092.0,56.0,5,,2,10,38092.0,4863.0,9,169.0,8,5
6,2,69634.0,26526.0,12,194619.0,12,7,,3,149727.0,66.0,13,146565.0,8,12,115790.0,45992.0,6,176.0,10,4
4,4,12980.0,1999.0,0,140438.0,0,4,17159.0,8,26925.0,53.0,1,,9,0,11870.0,452.0,9,165.0,5,2
3,0,46381.0,18610.0,4,137427.0,4,3,56596.0,9,71557.0,62.0,7,133837.0,0,4,63999.0,12474.0,1,173.0,0,3
5,7,27794.0,12923.0,6,140821.0,6,6,28843.0,0,58528.0,65.0,6,120895.0,3,6,36053.0,2961.0,8,176.0,6,3
2,6,47965.0,17988.0,13,138125.0,13,0,,12,70962.0,74.0,8,,6,13,64279.0,8377.0,7,1.85,10,3
7,9,61866.0,23334.0,8,185156.0,8,2,,7,97634.0,65.0,10,133265.0,5,8,100717.0,35077.0,3,170.0,1,1
0,10,43388.0,14319.0,9,140293.0,9,11,54517.0,6,68367.0,63.0,4,,4,9,58588.0,2278.0,9,173.0,7,3
