GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,12460992,118,118,12,38,8,12457699,0,4
0,21664027,171,171,12,37,12,21662360,1,4
1,14716347,127,127,12,40,13,14714348,1,4
1,24261916,183,183,12,21,17,24259394,0,4
0,16959828,144,144,12,37,5,16958119,1,4
0,22507853,176,176,12,22,5,22506750,0,4
0,5808507,87,87,12,19,11,5806811,1,4
1,4686426,76,76,12,21,13,4684330,0,4
0,19111241,157,157,12,37,12,19109871,1,4
0,578294,57,57,12,37,8,576495,0,4
0,7409936,29,29,1,6,16,7408131,1,3
0,5564839,83,83,12,38,11,5563799,0,4
0,16126477,137,137,12,19,11,16125630,0,4
0,16125431,136,136,12,18,8,16124496,0,4
0,6496823,89,89,12,23,11,6495699,1,4
0,22866651,178,178,12,38,5,22865183,1,4
0,517377,186,186,10,22,22,516034,0,4
0,22420594,175,175,12,37,5,22418891,0,4
0,6623857,90,90,12,19,8,6622859,0,4
0,404271,187,187,11,19,25,403456,0,4
0,901193,59,59,12,22,11,900303,0,4
1,4678403,21,21,1,3,19,4674539,0,3
1,6731177,91,91,12,25,13,6730012,0,4
0,8345450,100,100,12,18,11,8343849,0,4
0,1190069,63,63,12,38,11,1189272,0,4
1,166610,3,3,2,33,10,159343,0,1
0,12080076,45,45,1,5,23,12076498,1,3
0,7308392,96,96,12,22,8,7307190,1,4
1,11814846,114,114,12,20,13,11812601,0,4
0,14246569,122,122,12,37,11,14244689,0,4
0,15526762,53,53,1,6,7,15525344,1,3
0,10367781,109,109,12,37,8,10366297,1,4
0,19353997,158,158,12,18,12,19353143,1,4
0,11228364,112,112,12,19,8,11227465,1,4
0,4822884,22,22,1,16,23,4821965,0,3
0,802447,11,11,7,18,18,797690,1,2
0,7223642,26,26,1,1,23,7222040,1,3
0,4478317,20,20,1,42,7,4476602,1,3
0,7726763,33,33,1,42,7,7725846,1,3
1,4347332,75,75,12,31,17,4345470,0,4
0,7085743,95,95,12,18,11,7084628,1,4
0,14417657,126,126,12,18,11,14416290,0,4
0,10473550,41,41,1,2,23,10471814,1,3
0,17169188,146,146,12,37,5,17167599,1,4
0,17204565,147,147,12,37,5,17202847,1,4
1,954065,60,60,12,24,17,950709,1,4
0,7536063,32,32,1,43,23,7534078,1,3
0,5310760,80,80,12,18,8,5309435,1,4
0,11930294,115,115,12,37,8,11928846,1,4
