EntityType,GenomicEndPosition,GeneDbId,EncodedProtein,ChromosomeId,GenomicStartPosition,StrandOrientation
0,373963,26,21,8,372953,1
0,257891,48,20,8,256881,1
0,235050,54,21,9,234100,1
0,213667,37,16,13,212129,0
0,587198,70,14,3,585768,1
0,2377,104,10,24,1157,1
0,1381990,68,3,18,1381346,1
0,318674,65,21,9,317781,1
0,340298,28,21,8,339360,0
1,3259,102,2,35,2075,1
1,2882,67,2,23,2106,0
1,441837,113,2,2,440959,1
0,426250,88,21,8,425120,0
0,575815,95,21,8,574721,1
0,14514,80,21,32,13402,1
0,762518,22,3,18,761364,0
1,217615,120,2,6,216422,0
0,553985,23,16,3,552546,0
0,2612,2,1,20,1824,0
1,669822,43,2,17,668569,1
1,220225,38,2,13,218687,0
0,86161,13,0,27,85631,1
1,539819,17,2,11,538632,1
0,1253659,44,3,18,1252076,1
0,705562,21,3,18,704282,0
0,272650,49,21,8,271751,1
1,117411,119,2,0,116032,0
1,283947,39,2,13,282400,0
0,319749,111,3,17,318496,0
0,368482,27,21,8,367493,1
0,502004,91,21,8,500910,1
0,549818,100,14,8,548385,1
0,523271,16,6,11,522144,1
0,626457,19,3,17,625132,0
0,307709,76,21,8,306750,0
1,267266,50,2,8,266289,1
0,747400,62,3,17,746270,1
0,496221,90,21,8,495283,1
0,29669,79,20,32,28731,0
1,20974,81,2,33,19538,1
0,617521,98,21,8,616619,1
0,1080003,106,7,17,1078741,1
0,1798125,75,3,18,1796725,0
1,427442,58,2,12,425919,0
0,431585,89,21,8,430644,0
1,2899,109,2,37,1952,0
1,1905561,47,2,17,1904098,1
1,64367,66,2,11,62844,1
0,263994,7,10,14,262717,0
1,924009,56,2,14,922486,0
0,288343,117,21,9,287549,1
0,514203,114,1,2,514066,0
0,722553,61,3,17,721447,1
1,1706820,4,23,17,1705558,1
0,212824,55,21,9,211883,1
0,444750,87,21,8,443839,1
0,493306,84,16,13,491759,0
0,245389,40,1,13,244757,0
0,437122,86,20,8,436220,0
0,1855873,25,21,18,1854422,1
0,518865,115,11,2,517981,0
0,544003,97,21,8,543026,1
1,286679,57,2,12,285567,0
0,28060,82,20,33,27086,1
1,714,41,2,22,1,1
0,456889,101,5,14,455630,1
1,14110,51,2,30,13145,1
0,21643,52,21,31,20600,0
0,1556126,73,14,16,1554660,1
0,622717,36,12,2,621833,0
0,496985,116,8,4,495984,1
0,16755,12,4,21,15559,1
0,17420,32,4,29,16842,0
0,284733,112,22,2,283762,0
0,218013,31,10,7,216889,0
0,489099,94,21,8,488107,1
1,400752,59,2,12,399232,0
0,1562,18,20,28,393,1
0,514924,64,0,2,514307,0
0,19265,77,21,32,18156,1
0,1056372,105,9,17,1055425,1
0,67859,14,3,1,66546,0
0,514925,15,6,11,513729,1
0,315559,118,0,9,315128,1
0,2003523,74,21,17,2002453,0
0,229688,53,20,9,228501,1
0,1862763,24,3,18,1861267,1
1,604409,96,2,8,603339,1
0,2058209,6,24,18,2056686,1
0,541977,108,10,10,540886,1
0,25674,103,1,36,24613,0
0,449733,1,1,13,448939,0
0,579257,42,20,9,578298,1
0,1593162,45,13,16,1591861,0
0,507159,92,21,8,506107,1
0,437723,34,21,9,436782,1
0,1564652,0,1,16,1564452,1
0,625575,99,21,8,624448,1
0,1263503,72,17,16,1262121,0
0,220328,29,0,8,219990,1
0,418436,33,21,9,417618,0
0,3154,83,21,34,2129,0
0,48657,10,5,25,47974,1
0,481887,93,16,8,480445,1
0,24337,78,19,32,23213,0
1,546194,71,2,0,544968,1
0,273888,85,21,9,272725,1
0,9331,11,15,26,7841,0
0,1679690,5,3,17,1678407,0
0,976612,63,4,17,975470,0
0,1505678,20,21,18,1504257,0
0,190441,9,21,15,189542,0
1,463276,60,2,12,461756,0
1,381686,69,2,19,380409,1
0,8433,110,21,37,7429,0
0,212508,30,21,8,211570,1
1,347997,35,2,12,346477,0
0,1973004,46,21,17,1972075,1
0,197165,8,7,5,196203,1
0,1698039,3,16,16,1696570,1
0,1127958,107,18,17,1127086,1
