Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position
0,15360565,26,26,0,15358853
1,12513680,23,23,1,12512236
1,2887522,5,5,0,2884196
1,7460551,12,12,0,7459967
1,2385948,3,3,0,2384263
0,1224915,2,2,1,1223366
1,18569916,32,32,0,18567811
1,9603600,20,20,3,9602386
0,20691680,37,37,0,20687577
0,20084058,36,36,0,20081842
0,22917396,41,41,0,22916293
1,7156671,10,10,0,7153471
0,3388596,6,6,0,3386035
0,7442496,11,11,3,7441054
1,8721067,18,18,1,8720480
1,13088041,24,24,1,13087050
0,22919345,42,42,1,22917489
0,21160683,38,38,1,21158294
0,8892434,19,19,0,8890575
1,5683900,8,8,0,5682041
0,14601803,25,25,0,14599311
0,21202044,39,39,3,21201277
1,16695976,28,28,0,16693409
1,9862316,22,22,3,9860879
1,17428676,31,31,3,17427897
0,767777,0,0,2,765565
1,8493706,15,15,1,8492307
1,996955,1,1,0,994757
1,19407046,34,34,0,19403750
1,17427877,30,30,0,17426891
1,15535592,27,27,0,15533634
1,8720335,17,17,1,8719457
1,19880381,35,35,0,19879143
0,4764197,7,7,0,4763523
1,8719393,16,16,1,8718089
0,8100373,13,13,0,8099708
1,24181479,43,43,1,24178167
1,8285550,14,14,3,8284912
0,2743380,4,4,3,2741554
0,18876950,33,33,1,18876013
1,6803015,9,9,0,6802419
1,9660409,21,21,4,9659774
1,21851320,40,40,0,21850049
1,16883348,29,29,1,16882523
