Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position
1,3114645,5,5,2,3113716
0,11338656,19,19,3,11337604
1,2584883,3,3,2,2583168
1,15222966,26,26,0,15221143
1,2484598,2,2,2,2482946
1,16536814,29,29,2,16535087
1,10739420,17,17,3,10738391
0,19198058,34,34,2,19196265
0,15208834,25,25,5,15207657
1,21652250,38,38,2,21651465
0,7265620,10,10,2,7263896
1,3408436,6,6,2,3406694
1,8102835,11,11,5,8101324
1,13536464,23,23,2,13535010
0,16035426,28,28,3,16034275
0,11110825,18,18,2,11109716
0,5858117,8,8,3,5857149
1,109749,41,41,2,108094
1,19719069,36,36,2,19717789
0,11827525,20,20,2,11825876
1,13602436,24,24,2,13600727
1,16940003,31,31,2,16938267
0,12475698,22,22,2,12473968
1,19493479,35,35,5,19491830
0,729313,0,0,2,727583
1,9500152,14,14,2,9498311
1,2078700,1,1,1,2077966
1,17697736,32,32,2,17696702
0,15966851,27,27,2,15965034
0,10151192,16,16,2,10149456
0,21644712,37,37,3,21643691
0,4856229,7,7,5,4855079
1,10013846,15,15,6,10011450
0,8727146,12,12,2,8725272
0,24170195,40,40,2,24168318
0,9262006,13,13,2,9260762
0,2789368,4,4,4,2788047
1,18084214,33,33,2,18082439
0,7182424,9,9,5,7181951
0,12085133,21,21,3,12083649
1,23930113,39,39,3,23929616
1,16543225,30,30,2,16541663
