Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Genomic_Start_Position
1,13483838,100,100,7,0,13482798
1,10815148,84,84,7,1,10814110
0,6955492,54,54,2,0,6953756
1,8380600,65,65,7,1,8379902
1,9240256,75,75,2,4,9238329
0,9377132,78,78,7,4,9376461
0,3221626,27,27,7,4,3220494
1,2102690,15,15,7,10,2100093
0,20755404,143,143,1,1,20753741
1,12160930,92,92,2,7,12160046
0,2680808,19,19,2,15,2679423
0,1401408,10,10,7,0,1400647
0,20867515,144,144,1,0,20866022
1,9200825,74,74,7,4,9199485
0,6638754,53,53,8,3,6637225
0,6441604,52,52,7,1,6440312
1,15741,0,0,7,17,14537
0,18526135,133,133,1,0,18525296
0,5430215,43,43,7,21,5429553
0,9310089,76,76,7,1,9309220
1,17383110,123,123,1,4,17381675
1,23649517,155,155,1,1,23648664
1,6362947,51,51,2,4,6361372
1,12665749,96,96,7,0,12664313
0,20333137,141,141,1,0,20331131
1,2737107,20,20,2,4,2736457
0,981427,6,6,7,4,980799
0,3054496,24,24,6,3,3053067
0,2642795,18,18,7,15,2641014
0,3511059,31,31,7,4,3509868
0,14412758,108,108,2,22,14411913
1,23514561,154,154,1,0,23513521
0,15376311,113,113,7,17,15375121
0,4838125,39,39,7,8,4836803
0,12246771,93,93,7,1,12245099
0,18735986,134,134,1,14,18734498
1,7567593,59,59,2,0,7566580
0,3453161,30,30,7,0,3451287
1,18766836,135,135,3,1,18765534
1,7857029,61,61,7,0,7856016
0,13282465,99,99,7,24,13280789
0,2579015,16,16,7,10,2576673
0,14839696,111,111,7,1,14837926
0,11412405,86,86,7,1,11411355
0,13967339,105,105,7,15,13965975
1,34835,165,165,0,18,33567
1,7776355,60,60,7,0,7775540
1,4299137,34,34,9,3,4297472
1,13580138,101,101,7,1,13578653
0,11497432,88,88,7,1,11496159
0,8750931,70,70,2,0,8750116
0,8422594,66,66,9,2,8420066
0,14931220,112,112,7,0,14928527
0,3097194,25,25,2,0,3096508
1,12488986,94,94,7,1,12486822
1,6016720,47,47,7,1,6015477
1,1662089,13,13,7,4,1659698
0,14479105,110,110,7,1,14478302
1,11473094,87,87,2,0,11472201
1,2912105,22,22,7,0,2911437
0,938369,5,5,7,1,937674
0,24218799,160,160,1,0,24217882
1,18429380,131,131,3,1,18428231
0,421354,1,1,7,10,418907
1,2597044,17,17,7,13,2596686
1,22342311,151,151,1,0,22341328
1,23902858,158,158,1,1,23901544
1,15398283,114,114,7,0,15396637
1,42748,167,167,5,13,41047
1,2862968,21,21,7,4,2861630
0,11737964,91,91,2,1,11736173
1,16416071,119,119,2,19,16413631
1,23866829,157,157,1,1,23865703
0,16025845,118,118,2,7,16025135
1,11600931,89,89,7,1,11599714
0,563875,4,4,9,5,561461
0,6088421,48,48,7,0,6085950
0,13013122,98,98,2,0,13011857
1,16835079,120,120,1,20,16833925
1,19131431,137,137,3,10,19128978
1,6835,163,163,0,13,4667
1,21425326,148,148,1,0,21423191
0,17573162,126,126,1,0,17572161
0,6956172,55,55,2,1,6955569
0,17736253,128,128,3,1,17735340
0,6283351,50,50,7,1,6282458
1,4102721,33,33,7,11,4101290
0,14476110,109,109,8,2,14473687
1,3312359,29,29,2,0,3311109
1,12849258,97,97,7,1,12848426
0,2003214,14,14,2,4,2002366
1,17401205,124,124,8,12,17399302
1,16920482,121,121,1,17,16919435
1,8297673,63,63,7,1,8296462
1,3235158,28,28,7,1,3233849
0,19651669,139,139,3,0,19648997
1,4365383,35,35,7,21,4363173
