StrandOrientation,GenomicEndPosition,GeneDbId,EncodedProtein,GenomicStartPosition
0,155219,154,7,154221
0,434666,127,2,433053
0,1524263,35,16,1522857
0,919364,84,12,918156
0,10687,110,17,9590
1,1108489,109,25,1107152
0,33930,48,17,32737
0,340376,72,1,339975
0,566165,33,20,564966
0,6500,30,2,5433
1,496522,94,2,495068
0,447552,1,0,446896
1,1494962,36,5,1493559
0,405983,7,1,405798
1,726501,38,10,725125
1,1117420,108,12,1116176
0,617159,56,25,615924
0,1404649,105,12,1403372
0,3182,21,2,2247
0,553803,91,2,552229
1,1359,81,0,532
0,492874,55,2,492284
0,512575,152,21,511070
1,831522,12,17,830434
0,7259,6,0,6249
0,452810,95,2,452175
1,68405,136,19,67296
1,1047742,141,19,1046660
1,526360,149,25,525035
1,1898756,44,19,1897875
0,1944921,122,0,1944244
1,2480,73,19,1071
1,437973,96,0,437293
1,209311,49,4,208193
1,1587887,120,10,1586445
0,1867030,43,2,1865636
0,15753,10,19,14641
0,580857,34,25,579490
1,10644,93,2,9307
0,367224,148,0,366097
1,1267766,60,12,1266495
1,1506761,116,24,1505442
1,626028,39,17,624868
0,290343,71,23,289018
0,1172370,107,12,1171051
1,411413,89,2,410007
0,42426,100,17,41221
1,532332,150,25,531106
1,1789020,70,2,1787623
1,523945,113,25,522770
1,601068,112,17,599905
0,151073,138,19,149964
0,1733432,126,23,1732098
1,924253,85,2,923378
1,1651899,45,17,1651012
0,228042,114,17,226948
0,432268,5,19,431189
0,1002291,87,17,1001194
0,1751668,125,5,1750310
0,211061,153,5,209817
0,18783,26,2,17596
0,65502,29,2,63997
1,754771,52,26,753767
0,2018230,119,17,2016848
0,207419,57,0,207000
1,598434,74,0,597786
1,1248251,61,15,1246854
1,559992,90,25,558766
1,231983,82,8,230514
0,423600,145,19,422017
1,9275,46,2,7716
1,2090497,20,5,2089121
0,472615,51,9,471425
0,412929,50,25,411703
0,1933792,4,1,1933010
1,1778404,124,27,1777100
0,1093548,134,18,1092211
0,1741983,15,11,1740772
0,437003,64,1,436320
1,155993,111,22,154689
1,146779,92,6,145715
0,379854,78,2,379126
0,1015761,63,2,1014583
0,1277102,65,24,1275858
0,308539,80,15,307640
1,52782,135,2,51379
0,852,47,2,1
1,233697,2,0,233434
0,1601313,68,20,1599847
1,2053277,19,27,2051877
1,597683,128,2,596868
0,23787,25,2,22417
0,494627,40,23,493452
1,1622991,121,0,1622125
1,169772,31,2,168840
0,1413484,11,25,1412150
0,54854,27,0,53844
0,2157389,42,10,2156019
1,6378,58,17,4900
0,439354,101,17,437786
0,1072628,132,27,1071504
1,211328,151,19,209856
0,59441,99,19,58461
1,1804221,69,2,1803316
1,1547471,117,21,1546002
0,1143832,133,2,1142492
0,6733,24,2,6122
0,12244,28,17,11150
0,1499180,115,21,1497708
0,67849,98,19,66767
0,340851,8,0,340480
0,298468,77,17,296987
0,586,0,1,2
0,1398991,106,16,1398122
1,458510,16,0,457881
0,899374,75,3,898190
0,13267,22,0,11954
0,1459767,37,2,1458433
1,7956,32,22,6742
0,162444,139,27,161326
0,484137,79,17,482659
0,262696,59,2,261617
0,1683736,13,17,1682645
0,497535,155,0,496600
0,114367,137,2,112967
0,799780,140,0,799199
0,417432,102,2,415855
0,1420721,67,25,1419405
1,318880,147,17,317777
0,799094,54,1,798498
1,8841,17,19,7366
0,37052,129,26,35940
1,1361937,104,17,1361035
1,174865,131,12,173582
1,485,3,1,3
1,27971,83,6,26910
0,403184,97,23,402012
1,85134,88,14,83866
0,1951553,123,16,1950669
0,1386264,103,2,1384861
1,2074708,18,2,2073437
1,1071422,143,2,1070148
0,987463,86,0,986558
0,383794,23,19,382214
0,1365596,66,27,1364481
0,936561,76,0,935551
0,1026521,62,19,1025604
1,24760,144,17,23234
1,304330,146,19,303281
1,17944,130,17,16457
0,813285,53,2,812281
0,1672453,14,5,1671053
0,349644,9,23,348280
1,1558841,118,0,1557681
0,6048,41,11,4708
1,1065367,142,13,1064159
