Languages,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,MemoireDuCyclismeCyclistId,BirthPlace,UciRiderId,NativeName,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,RaceParticipation,CitizenshipCountry,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
7,8,55710.0,21145.0,8,20655.0,132339,69005.0,6,86863,3,70.0,11,135862.0,6,9,9,6,71405,16687,185,4,7
2,11,58495.0,22516.0,3,,168779,,14,86813,5,72.0,12,,5,4,5,8,78350,16783,181,9,9
2,6,19255.0,3891.0,4,508772.0,140196,19127.0,3,32532,0,71.0,2,113194.0,10,5,6,8,11292,716,183,2,9
8,3,52673.0,19070.0,2,13561.0,137769,,2,79921,5,,9,,2,3,8,7,71836,7639,178,9,4
8,12,39842.0,12843.0,9,1311517.0,140292,52504.0,10,67388,4,58.0,4,141955.0,8,10,0,1,57418,2276,166,5,1
4,4,17747.0,1992.0,5,35988.0,140399,20484.0,11,31056,5,63.0,0,,13,6,7,3,11476,486,175,1,3
3,1,,22906.0,1,,179072,,0,91626,5,71.0,10,,1,2,5,2,92937,22272,190,9,2
6,2,,24316.0,0,,181239,,13,97280,9,67.0,13,146238.0,14,0,5,5,104872,37281,186,9,6
1,5,16313.0,3333.0,6,134950.0,140752,19461.0,8,44513,1,74.0,1,126409.0,12,7,8,0,18746,150,181,3,0
5,9,,13313.0,10,,138189,,12,439866,5,70.0,8,,0,1,5,4,87421,8551,171,9,5
7,10,56041.0,20719.0,12,127549.0,174582,66232.0,9,88889,7,65.0,3,135863.0,9,12,2,6,72449,18655,177,8,4
1,5,16313.0,3333.0,6,134950.0,140752,19461.0,8,44513,1,74.0,1,126409.0,12,7,8,0,18746,150,181,3,0
7,8,55710.0,21145.0,8,20655.0,132339,69005.0,6,86863,3,70.0,11,135862.0,6,9,9,6,71405,16687,185,4,7
8,12,39842.0,12843.0,9,1311517.0,140292,52504.0,10,67388,4,58.0,4,141955.0,8,10,0,1,57418,2276,166,5,1
7,0,69634.0,26526.0,14,5000.0,194619,,5,149727,8,66.0,14,146565.0,7,14,4,6,115790,45992,176,9,7
0,14,49272.0,17881.0,11,13864.0,140294,55349.0,4,76092,6,56.0,6,,4,11,8,7,38092,4863,169,7,8
8,3,52673.0,19070.0,2,13561.0,137769,,2,79921,5,,9,,2,3,8,7,71836,7639,178,9,4
7,0,69634.0,26526.0,14,5000.0,194619,,5,149727,8,66.0,14,146565.0,7,14,4,6,115790,45992,176,9,7
3,13,41886.0,13566.0,13,128269.0,140495,46784.0,1,64917,5,65.0,7,133840.0,3,13,1,2,53957,2275,184,6,4
7,7,39897.0,12748.0,7,1741.0,138849,52489.0,7,64864,2,67.0,5,146564.0,11,8,3,6,54755,3050,173,0,7
