Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,493953,86,86,2,17,493609
0,9446,81,81,2,3,7647
0,5255,73,73,3,34,2763
0,287968,35,35,0,42,286817
1,2113129,4,4,2,1,2112008
1,339503,95,95,2,17,338613
0,571876,57,57,2,38,570902
0,446968,56,56,2,1,445976
0,747945,58,58,3,40,745645
0,415,77,77,3,18,74
0,34900,83,83,2,44,34403
1,1568049,33,33,3,23,1567459
0,806760,70,70,2,37,805210
1,752839,23,23,2,1,752246
1,1050401,91,91,2,7,1050087
1,434997,7,7,0,19,434554
0,796791,67,67,2,39,795304
1,57693,63,63,2,12,56791
1,1786875,47,47,2,27,1786159
0,776048,25,25,2,46,775092
0,155295,89,89,2,14,154171
0,14817,15,15,4,18,14209
0,74492,20,20,2,39,73803
1,1037381,92,92,2,27,1036476
0,1751697,6,6,1,7,1751281
0,318778,36,36,2,6,318386
1,1078009,0,0,2,17,1077569
0,994934,12,12,2,11,993237
0,524283,28,28,2,30,523744
0,1575106,48,48,2,27,1574483
0,810033,66,66,2,11,808633
1,1226536,43,43,2,1,1225625
0,292232,49,49,0,8,291777
1,520133,87,87,2,17,519183
1,579,45,45,4,18,1
0,1605890,79,79,2,7,1605162
1,1285729,42,42,2,1,1284860
0,767190,26,26,2,37,766081
1,624101,24,24,2,29,623469
1,6256,13,13,3,18,4343
1,3678,41,41,2,32,1996
0,415202,8,8,0,20,414870
0,456990,38,38,2,20,456034
1,26464,54,54,2,17,24623
0,43740,64,64,0,5,43105
0,556441,27,27,0,28,555500
0,310242,37,37,2,17,309811
0,409340,94,94,0,10,408633
1,14261,88,88,3,2,11517
1,69017,90,90,5,35,68592
1,1643722,31,31,2,41,1642802
1,84542,19,19,2,4,84111
1,2665,11,11,3,18,1541
1,1180888,78,78,2,33,1179752
0,309976,52,52,3,17,309383
1,598,60,60,4,18,2
0,876723,51,51,0,42,875551
1,1445532,21,21,2,41,1444765
1,829655,3,3,2,7,828978
1,1493,82,82,2,24,471
1,1115404,69,69,2,1,1114712
1,2418,10,10,2,25,715
1,447558,85,85,2,21,447142
0,1735953,72,72,0,36,1735636
0,1067748,80,80,2,17,1067248
1,2026309,9,9,0,23,2025506
1,483,18,18,2,4,1
0,1735532,71,71,3,26,1734645
1,647282,5,5,2,41,646296
0,787501,68,68,2,11,786539
1,18905,62,62,3,18,17574
0,703062,65,65,2,7,702091
0,1021876,55,55,2,7,1021316
1,3924,61,61,2,15,2239
0,302448,34,34,2,17,301999
0,796821,75,75,2,46,795886
1,15756,44,44,2,37,14755
0,232541,29,29,2,35,231249
0,459577,76,76,3,16,458618
1,75990,1,1,2,31,74263
0,156954,97,97,2,22,155782
1,389254,84,84,2,0,388238
0,12112,17,17,0,18,11726
1,3821,14,14,3,18,1521
0,1680779,32,32,2,1,1680060
1,11816,46,46,3,18,9516
1,571767,74,74,2,41,570709
1,1658775,30,30,2,26,1658077
0,1430208,22,22,2,1,1429318
0,1217,96,96,2,22,24
1,145136,59,59,2,7,143469
1,828817,2,2,0,43,828224
0,408301,93,93,2,1,407363
0,1000,40,40,2,9,2
0,457660,39,39,0,13,457121
1,2307,50,50,2,2,1621
0,322283,53,53,2,45,321357
0,11716,16,16,0,18,11321
