CyclingDiscipline,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,CyclistDescription,MemoireDuCyclismeCyclistId,TwitterUsername,BirthPlace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
2,34,86654.0,29568,11,13,,235390,13,1,,10,33,148689,,29,,19,18,154976,88703.0,184.0,20,8
2,2,69634.0,26526,24,28,5000.0,194619,28,18,,14,13,149727,66.0,34,146565.0,23,27,115790,45992.0,176.0,20,10
2,26,41886.0,13566,20,25,128269.0,140495,25,10,46784.0,27,4,64917,65.0,10,133840.0,1,25,53957,2275.0,184.0,11,8
2,33,51513.0,17627,29,32,69964.0,135523,33,9,56613.0,18,11,78566,60.0,15,133843.0,2,32,60103,6104.0,183.0,15,6
2,5,22930.0,7279,9,10,11722.0,140229,10,14,1523.0,23,0,58181,57.0,3,,5,10,30554,2741.0,170.0,13,7
2,30,41885.0,13080,25,29,142323.0,140628,29,10,54334.0,15,14,64737,65.0,7,,22,28,58535,860.0,180.0,8,6
2,13,52116.0,19994,10,12,21760.0,132360,12,7,62863.0,6,20,75170,55.0,24,142859.0,15,12,67513,10990.0,173.0,20,8
3,27,56666.0,18975,1,0,32176.0,133024,0,2,64111.0,0,5,70590,58.0,19,133999.0,31,0,65132,20147.0,172.0,19,12
2,17,69190.0,25740,13,15,,196424,16,3,,17,12,112082,,31,,29,14,115868,38195.0,175.0,20,3
2,12,11026.0,85,0,5,,140368,5,11,15734.0,10,22,11859,,0,,17,5,6132,63.0,,7,6
2,26,41886.0,13566,20,25,128269.0,140495,25,10,46784.0,27,4,64917,65.0,10,133840.0,1,25,53957,2275.0,184.0,11,8
2,33,51513.0,17627,29,32,69964.0,135523,33,9,56613.0,18,11,78566,60.0,15,133843.0,2,32,60103,6104.0,183.0,15,6
3,7,49095.0,18487,0,7,,137599,7,23,65045.0,10,24,65648,58.0,13,132351.0,24,7,45553,9451.0,173.0,2,0
2,11,22917.0,6177,6,4,25109.0,140232,4,14,2003.0,3,23,45643,65.0,4,134607.0,6,4,20659,1006.0,179.0,12,7
2,6,47903.0,17632,3,1,2988.0,137714,1,9,,12,32,68792,67.0,11,,21,1,61490,16566.0,190.0,20,6
2,18,65180.0,23357,14,17,11187.0,135597,18,9,,7,19,100349,60.0,16,,3,16,94232,17182.0,176.0,20,8
1,0,46381.0,18610,2,16,77168.0,137427,17,8,56596.0,19,26,71557,62.0,18,133837.0,0,15,63999,12474.0,173.0,1,8
2,31,62708.0,24758,27,31,9311.0,176726,31,9,,8,3,91637,,30,,12,30,89011,37379.0,178.0,20,8
