Weight_Kg,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Description,Birth_Place,Uci_Rider_Id,Birth_Date,Sports_Team,Last_Name,First_Name,Citizenship_Country,Cycling_Archives_Cyclist_Id,Cyclist_Label,First_Cycling_Rider_Id,Height_Cm,Freebase_Id,Sport_Country
7,10,,26392.0,9,,193131,0,10,148275,15,1,7,10,0,89152,10,45363,176,11,0
8,11,55710.0,21145.0,11,20655.0,132339,11,7,86863,13,13,5,12,7,71405,12,16687,185,6,8
0,17,56666.0,18975.0,0,32176.0,133024,2,3,70590,9,12,17,0,9,65132,0,20147,172,10,10
6,7,39941.0,10070.0,6,,140615,13,12,33579,4,10,4,7,8,14215,7,872,177,7,9
10,5,16313.0,3333.0,7,134950.0,140752,0,9,44513,2,4,13,8,0,18746,8,150,181,4,0
5,1,69634.0,26526.0,17,5000.0,194619,10,6,149727,16,9,8,17,7,115790,17,45992,176,11,8
8,12,,13313.0,13,,138189,8,16,439866,8,14,0,3,5,87421,3,8551,171,11,6
2,14,57472.0,21342.0,15,317302.0,178184,4,5,91656,10,2,6,15,2,66785,15,23097,170,11,2
5,8,52110.0,19577.0,10,,150271,1,13,75262,11,4,16,11,0,65915,11,9073,183,1,5
4,16,41886.0,13566.0,16,128269.0,140495,6,2,64917,7,5,2,16,3,53957,16,2275,184,9,5
1,0,16289.0,5.0,1,470645.0,140924,12,11,14575,0,8,12,1,8,7005,1,38,177,5,9
9,6,19255.0,3891.0,4,508772.0,140196,14,4,32532,3,7,10,5,9,11292,5,716,183,3,10
5,8,52110.0,19577.0,10,,150271,1,13,75262,11,4,16,11,0,65915,11,9073,183,1,5
3,4,17747.0,1992.0,5,35988.0,140399,7,15,31056,1,10,14,6,4,11476,6,486,175,2,4
0,15,39842.0,12843.0,12,1311517.0,140292,3,14,67388,5,3,9,13,1,57418,13,2276,166,8,1
0,17,56666.0,18975.0,0,32176.0,133024,2,3,70590,9,12,17,0,9,65132,0,20147,172,10,10
6,3,,24316.0,2,,181239,9,17,97280,14,6,15,2,6,104872,2,37281,186,11,7
2,13,83295.0,28377.0,14,84000.0,212377,0,0,587366,17,11,3,14,0,141854,14,84019,171,11,0
10,5,16313.0,3333.0,7,134950.0,140752,0,9,44513,2,4,13,8,0,18746,8,150,181,4,0
6,9,39897.0,12748.0,8,1741.0,138849,15,8,64864,6,9,11,9,7,54755,9,3050,173,0,8
8,11,55710.0,21145.0,11,20655.0,132339,11,7,86863,13,13,5,12,7,71405,12,16687,185,6,8
9,2,,22906.0,3,,179072,5,1,91626,12,0,1,4,3,92937,4,22272,190,11,3
6,7,39941.0,10070.0,6,,140615,13,12,33579,4,10,4,7,8,14215,7,872,177,7,9
0,15,39842.0,12843.0,12,1311517.0,140292,3,14,67388,5,3,9,13,1,57418,13,2276,166,8,1
