PROFESSION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_DESCRIPTION,NATIONALITY,BIRTHPLACE,UCI_RIDER_ID,LANGUAGES,WEIGHT_KG,BIRTH_DATE,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,FREEBASE_ID,SPORT_COUNTRY
0,8,13721,119.0,6,140200,9,9,0,14971.0,0,59.0,4,9,6,4579,246,169,2,8
0,4,11153,759.0,3,140281,9,9,6,30888.0,9,59.0,6,7,3,12917,335,173,6,4
0,13,15225,2437.0,12,140630,10,8,13,30369.0,8,68.0,11,14,12,13510,147,176,4,7
0,12,3654,938.0,13,140346,10,10,3,28364.0,1,58.5,3,1,13,2587,299,177,5,4
0,11,30026,7147.0,9,140611,0,0,5,57601.0,1,62.0,8,8,9,32008,563,172,12,4
0,10,56041,20719.0,8,174582,7,8,14,88889.0,8,65.0,13,10,8,72449,18655,177,13,4
0,0,10227,3360.0,14,140843,2,3,1,28586.0,3,75.0,9,5,14,18086,95,185,3,1
0,5,4508,26.0,4,140669,4,5,12,,4,61.0,1,3,4,8259,177,174,8,3
0,3,73687,27198.0,2,205784,3,4,2,98207.0,5,65.0,14,11,2,120019,69890,186,14,2
0,2,8480,25.0,1,140544,1,3,8,12826.0,3,63.0,0,4,1,9121,39,183,9,1
0,9,16497,599.0,7,140525,10,1,4,25274.0,5,69.0,7,13,7,7415,151,186,1,0
0,6,10637,27.0,5,140854,6,7,10,12426.0,7,65.0,2,6,5,5873,37,180,11,6
0,7,20041,6807.0,10,140781,5,6,11,32596.0,6,67.0,12,0,10,21225,114,182,7,5
0,14,4504,2045.0,11,140359,10,2,7,30789.0,2,67.0,10,2,11,14361,105,180,0,4
0,1,16289,5.0,0,140924,8,9,9,14575.0,5,61.0,5,12,0,7005,38,177,10,8
