PROFESSION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_DESCRIPTION,NATIONALITY,BIRTHPLACE,UCI_RIDER_ID,LANGUAGES,WEIGHT_KG,BIRTH_DATE,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,FREEBASE_ID,SPORT_COUNTRY
1,13,26009.0,12193.0,11,140797,15,9,20,54603,7,78.0,2,15,11,30229,784.0,184.0,3,6
1,10,55639.0,20535.0,3,160352,11,6,3,89125,4,,8,9,3,73388,14791.0,181.0,6,4
1,6,60850.0,,6,184787,7,3,5,94843,5,62.0,5,1,5,83533,,164.0,6,2
1,8,68345.0,25600.0,0,186245,14,8,11,94362,6,,15,13,0,90733,37264.0,183.0,6,6
1,4,72512.0,30035.0,2,208540,2,11,2,238213,1,,18,17,2,136662,76709.0,188.0,6,6
1,13,26009.0,12193.0,11,140797,15,9,20,54603,7,78.0,2,15,11,30229,784.0,184.0,3,6
1,19,27348.0,16688.0,20,139704,5,7,17,62555,5,74.0,3,18,20,35630,,180.0,0,5
1,2,47589.0,20960.0,17,158017,16,10,18,74994,5,83.0,9,8,17,65329,16724.0,193.0,1,7
1,1,14093.0,5098.0,15,140811,12,6,7,46139,4,67.0,1,11,15,20001,1579.0,180.0,5,4
1,3,82827.0,30643.0,9,217465,4,7,14,227110,5,,19,7,9,151350,97547.0,184.0,6,6
1,5,,25026.0,16,198985,3,2,12,109855,8,54.0,14,6,16,109700,58639.0,163.0,6,1
0,9,47965.0,17988.0,18,138125,1,1,19,70962,0,74.0,4,10,18,64279,8377.0,1.85,6,6
1,20,86654.0,29568.0,5,235390,0,0,15,148689,5,,12,13,7,154976,88703.0,184.0,6,6
1,14,83295.0,28377.0,12,212377,1,1,0,587366,5,62.0,17,2,12,141854,84019.0,171.0,6,0
1,17,11585.0,1994.0,19,140778,13,6,13,28378,4,65.0,0,12,19,13069,133.0,181.0,4,4
1,18,,32766.0,14,262232,8,4,4,685146,2,,20,5,14,155297,126678.0,177.0,6,6
1,16,57472.0,21342.0,13,178184,6,3,8,91656,5,62.0,6,13,13,66785,23097.0,170.0,6,2
1,7,56436.0,20917.0,10,156570,9,5,10,77380,3,78.0,10,0,10,71706,9746.0,180.0,6,3
1,0,65826.0,25081.0,4,196961,10,5,16,92315,3,73.0,13,16,4,107521,47830.0,187.0,6,3
1,11,71992.0,26637.0,7,201838,0,0,9,111683,5,76.0,16,4,6,125323,61988.0,176.0,6,6
1,12,56208.0,20847.0,8,155529,10,5,6,87226,3,80.0,11,14,8,72934,18260.0,192.0,6,3
1,15,51744.0,19238.0,1,138396,4,7,1,72932,5,70.0,7,3,1,66031,7720.0,177.0,2,5
