GeneType,OrthologId,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
1,99,7608,40,90,6745,5,1
1,116,326018,101,22,323649,5,0
1,15,476915,36,3,476025,5,0
0,52,346408,204,61,346178,4,1
1,141,216862,123,55,214952,5,0
1,141,80177,230,13,78453,5,1
1,93,8014,83,10,5234,5,1
1,63,557,90,106,3,5,1
1,74,74182,14,21,73355,5,1
0,86,346850,203,61,346512,2,1
1,79,921959,63,35,919047,5,0
1,8,1129891,145,42,1128836,5,0
1,11,2216,39,89,1884,5,0
1,77,56787,222,64,55507,5,1
1,123,612,69,43,103,5,1
1,136,929,174,129,3,5,0
1,121,9109,152,27,6119,5,1
1,121,35665,150,27,33647,5,1
1,35,223303,155,24,221369,5,0
1,88,30441,195,132,27628,5,1
1,76,1839347,129,53,1836461,5,0
0,26,71748,31,52,71398,0,1
1,66,122795,34,8,121053,5,0
1,8,1121147,213,42,1120731,5,0
1,132,216652,229,26,216302,5,1
1,73,53404,239,37,53066,5,1
1,15,20561,118,40,20007,5,1
1,7,215357,60,25,214062,5,1
1,106,543960,135,6,542011,5,0
1,89,23503,234,5,21764,5,1
1,59,57738,223,64,56893,5,1
1,87,857583,108,32,854629,5,0
1,35,615828,186,24,612868,5,0
1,23,3521,175,85,564,5,0
1,115,640889,121,14,638082,5,0
1,12,119855,181,7,118959,5,1
1,104,351059,62,58,348930,5,0
1,137,4441,68,51,1115,5,1
0,47,218,154,123,3,1,0
1,64,578507,187,24,577500,5,0
1,103,835,4,88,1,5,0
1,61,12423,125,25,10753,5,1
1,141,100170,25,13,98553,5,1
1,20,76293,26,59,74227,5,1
1,62,17384,122,115,15111,5,1
1,15,395,200,86,3,5,1
0,96,1415811,19,46,1415230,1,0
1,133,229154,238,7,227562,5,0
1,24,64517,120,59,64071,5,1
1,9,10942,199,30,10619,5,1
1,72,45868,111,45,44981,5,1
1,138,10805,105,112,10074,5,0
1,121,706956,35,27,704473,5,0
0,129,4265,64,100,3411,2,0
1,99,8105,57,97,5802,5,1
1,18,1034156,72,38,1031220,5,0
0,37,157631,184,50,157230,2,0
1,21,7838,214,135,7741,5,1
1,46,794,8,66,3,5,0
0,101,1231,13,73,899,1,1
1,74,51751,106,21,49106,5,0
1,92,2332647,198,54,2330257,5,0
1,73,114401,61,60,112584,5,1
1,92,41471,156,54,39177,5,1
1,21,1399795,22,46,1397420,5,0
1,61,6985,81,103,4031,5,1
1,30,46358,91,15,44298,5,1
1,110,1122061,144,42,1121249,5,0
1,15,535,6,65,1,5,0
1,123,11717,176,130,11061,5,0
1,109,629366,207,46,627348,5,0
1,130,34648,28,37,31775,5,1
1,1,56420,157,54,55923,5,1
1,134,42976,227,39,42014,5,1
1,33,2400,166,126,211,5,0
1,42,3058,137,120,647,5,0
1,76,33980,164,53,31590,5,1
1,56,358301,172,57,355485,5,0
0,111,202126,75,58,201683,2,0
1,59,83691,196,2,83233,5,1
1,128,33312,78,38,32212,5,1
1,126,393196,80,48,390821,5,1
1,85,368350,48,57,367493,5,0
1,7,23148,138,41,20869,5,1
1,38,877,16,76,2,5,0
1,40,1381,102,110,2,5,0
0,94,1130987,146,42,1130442,1,0
1,132,33975,33,26,32362,5,1
1,84,47107,231,13,46339,5,1
1,120,25397,151,27,23602,5,1
1,6,2035,127,118,1445,5,0
1,79,254233,180,35,251879,5,1
0,50,282,116,84,1,2,1
1,76,903359,160,53,902475,5,0
1,46,3364,170,128,1112,5,0
1,3,8634,58,98,6310,5,0
1,45,6051,109,83,3256,5,0
1,64,88109,218,24,87465,5,0
