gender,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,instagram_username,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,memoire_du_cyclisme_cyclist_id,twitter_username,birthplace,uci_rider_id,profession,weight_kg,birth_date,olympedia_people_id,last_name,first_name,cycling_archives_cyclist_id,first_cycling_rider_id,events_participated,height_cm,freebase_id,cycling_discipline
0,10,47066.0,16881.0,0,19,41605.0,140633.0,47478.0,2,32,59614.0,1,,15,,4,19,32178.0,2530.0,14,175.0,19,3
0,12,19255.0,3891.0,0,8,508772.0,140196.0,19127.0,4,6,32532.0,2,71.0,8,113194.0,29,8,11292.0,716.0,12,183.0,4,5
0,32,70304.0,26482.0,12,13,,196333.0,,5,3,107840.0,1,63.0,28,146032.0,1,12,108403.0,50303.0,10,178.0,25,3
0,15,19558.0,3828.0,10,9,65423.0,140870.0,5609.0,18,11,34012.0,1,69.0,6,113255.0,10,9,21215.0,264.0,2,182.0,7,2
0,8,22663.0,5789.0,7,5,1529344.0,140869.0,12014.0,15,25,43936.0,1,69.0,7,126950.0,9,5,22017.0,713.0,3,186.0,6,3
0,7,11009.0,5139.0,6,4,188233.0,140904.0,15722.0,1,12,55131.0,1,65.0,9,135241.0,20,4,27924.0,581.0,1,183.0,5,0
0,1,3262.0,387.0,1,2,1397142.0,137456.0,2513.0,11,20,518429.0,1,62.0,2,111578.0,5,2,1567.0,3.0,13,176.0,16,3
0,13,3505.0,620.0,0,33,,131895.0,,17,31,,1,64.0,0,,6,33,1804.0,121.0,14,175.0,11,3
0,23,56041.0,20719.0,18,24,127549.0,174582.0,66232.0,26,29,88889.0,1,65.0,13,135863.0,27,24,72449.0,18655.0,6,177.0,23,4
0,33,,13274.0,16,21,11887.0,140884.0,54534.0,22,30,54576.0,1,67.0,12,125029.0,28,20,15712.0,1008.0,1,180.0,15,3
0,25,30026.0,7147.0,21,26,140921.0,140611.0,42655.0,25,18,57601.0,1,62.0,5,132499.0,26,26,32008.0,563.0,14,172.0,12,3
0,5,47686.0,17534.0,11,10,8603.0,140333.0,45660.0,19,23,59773.0,1,72.0,16,142502.0,13,23,37589.0,2325.0,13,183.0,21,0
0,21,58116.0,22910.0,20,27,15237.0,170625.0,,24,9,99713.0,1,78.0,26,142862.0,23,27,81488.0,27111.0,4,186.0,25,3
0,17,65227.0,26509.0,0,15,,194909.0,,5,1,111440.0,1,57.0,29,146670.0,14,15,99609.0,46163.0,9,173.0,25,3
0,11,58052.0,21800.0,0,20,,161334.0,,5,7,89154.0,1,,22,,3,14,,20581.0,10,,25,3
0,1,3262.0,387.0,1,2,1397142.0,137456.0,2513.0,11,20,518429.0,1,62.0,2,111578.0,5,2,1567.0,3.0,13,176.0,16,3
0,12,19255.0,3891.0,0,8,508772.0,140196.0,19127.0,4,6,32532.0,2,71.0,8,113194.0,29,8,11292.0,716.0,12,183.0,4,5
0,28,56672.0,22018.0,0,29,52940.0,168758.0,,27,14,86735.0,1,,25,143136.0,12,29,74063.0,16639.0,14,183.0,1,5
0,16,69190.0,25740.0,13,12,,196424.0,,9,13,112082.0,1,,27,,31,11,115868.0,38195.0,10,175.0,25,3
0,0,7764.0,1237.0,8,6,41367.0,140800.0,6404.0,16,15,29164.0,1,70.0,4,120395.0,15,6,10911.0,706.0,13,183.0,10,3
0,9,55719.0,22020.0,5,7,2473.0,164213.0,,13,5,86617.0,1,,23,,2,7,77514.0,26504.0,10,183.0,3,0
0,30,19478.0,7838.0,0,31,63706.0,140805.0,5661.0,28,10,44337.0,1,69.0,10,125021.0,11,31,19062.0,918.0,0,180.0,8,3
0,29,66570.0,27708.0,23,30,,202331.0,,8,19,109775.0,1,58.0,31,143137.0,24,30,119805.0,65025.0,10,170.0,25,1
0,3,16289.0,5.0,4,3,470645.0,140924.0,19443.0,12,24,14575.0,1,61.0,1,103634.0,30,3,7005.0,38.0,13,177.0,9,3
0,2,46381.0,18610.0,3,14,77168.0,137427.0,56596.0,10,28,71557.0,1,62.0,19,133837.0,0,13,63999.0,12474.0,5,173.0,0,1
0,31,11585.0,1994.0,24,32,569371.0,140778.0,16105.0,29,21,28378.0,1,65.0,3,111576.0,22,32,13069.0,133.0,14,181.0,18,3
