PROFESSION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_DESCRIPTION,BIRTH_PLACE,UCI_RIDER_ID,LANGUAGES,WEIGHT_KG,BIRTH_DATE,LAST_NAME,FIRST_NAME,RACE_PARTICIPATION,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,FREEBASE_ID,SPORT_COUNTRY
0,7,44733.0,16677.0,20,140118.0,8,7,73892.0,5,69.0,19,5,20,2,64982.0,2324.0,185.0,20,5
0,14,17807.0,18.0,11,140538.0,12,5,11287.0,3,77.0,0,20,10,7,8156.0,17.0,190.0,11,3
0,0,46381.0,18610.0,12,137427.0,10,18,71557.0,2,62.0,21,1,11,3,63999.0,12474.0,173.0,1,6
0,2,11009.0,5139.0,1,140904.0,9,6,55131.0,5,65.0,10,13,1,0,27924.0,581.0,183.0,7,5
0,1,13279.0,243.0,9,140771.0,20,2,13747.0,5,80.0,2,16,9,8,4340.0,89.0,186.0,4,6
0,6,18417.0,449.0,5,140547.0,20,19,14324.0,6,67.0,1,21,5,8,6643.0,48.0,183.0,10,12
1,12,23014.0,7606.0,2,140501.0,4,16,45633.0,1,68.0,12,19,2,8,20340.0,828.0,179.0,6,11
0,8,6679.0,2086.0,0,140786.0,11,15,22143.0,3,82.0,5,6,0,8,9414.0,377.0,184.0,17,3
1,17,2747.0,3448.0,16,140768.0,3,3,32923.0,1,70.0,7,3,15,8,16824.0,14.0,175.0,14,6
0,19,26009.0,12193.0,18,140797.0,16,22,54603.0,8,78.0,16,18,18,0,30229.0,784.0,184.0,13,6
1,3,10770.0,7089.0,3,140301.0,1,11,45955.0,1,70.0,14,12,3,8,16714.0,767.0,181.0,3,0
0,5,,18239.0,4,137576.0,2,0,67201.0,1,,22,9,4,4,66614.0,6410.0,188.0,0,0
0,4,2453.0,73.0,7,140846.0,17,20,15924.0,5,81.0,3,15,7,8,703.0,12.0,186.0,12,10
0,13,,16162.0,10,133060.0,5,8,354803.0,5,,8,0,17,7,32558.0,5595.0,,22,6
1,16,38094.0,13229.0,15,140659.0,18,1,59962.0,1,72.0,17,17,14,1,32681.0,2313.0,185.0,9,11
0,20,2216.0,4658.0,14,140060.0,6,10,32722.0,0,62.0,13,10,13,8,19084.0,2349.0,178.0,19,6
0,18,57445.0,21387.0,21,127751.0,0,12,88568.0,5,,15,11,21,5,77244.0,16909.0,,2,6
0,10,47066.0,16881.0,17,140633.0,19,21,59614.0,2,,18,2,16,8,32178.0,2530.0,175.0,18,2
0,9,6978.0,4377.0,6,140865.0,14,17,198213.0,5,76.0,11,7,6,6,18964.0,31.0,181.0,5,7
0,11,20041.0,6807.0,19,140781.0,15,13,32596.0,7,67.0,9,4,19,7,21225.0,114.0,182.0,8,8
0,21,17431.0,358.0,8,140926.0,20,14,29268.0,9,76.0,4,15,8,8,9328.0,550.0,180.0,15,9
0,15,43329.0,17902.0,13,131925.0,7,4,68833.0,5,,20,8,12,9,39987.0,6100.0,180.0,21,1
0,22,11585.0,1994.0,22,140778.0,13,9,28378.0,4,65.0,6,14,22,8,13069.0,133.0,181.0,16,4
