PROFESSION,PROFILE_IMAGE,BIRTH_DATE,CYCLE_BASE_CYCLIST_ID,SPORT_TYPE,CQ_RANKING_MALE_CYCLIST_ID,LAST_NAME,FIRST_NAME,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,COMMONS_CATEGORY,TEAM_AFFILIATION,PRO_CYCLING_STATS_CYCLIST_ID,BIRTH_PLACE,UCI_RIDER_ID,FREEBASE_ID,CYCLING_ARCHIVES_CYCLIST_ID,SPORT_COUNTRY
1,13,2,26009.0,2,12193.0,15,11,784.0,184.0,11,4,140797,20,54603,3,30229,6
1,10,8,55639.0,3,20535.0,9,3,14791.0,181.0,3,16,160352,3,89125,6,73388,4
1,6,5,60850.0,3,,1,5,,164.0,6,2,184787,5,94843,6,83533,2
1,8,15,68345.0,3,25600.0,13,0,37264.0,183.0,0,0,186245,11,94362,6,90733,6
1,4,18,72512.0,3,30035.0,17,2,76709.0,188.0,2,12,208540,2,238213,6,136662,6
1,13,2,26009.0,2,12193.0,15,11,784.0,184.0,11,4,140797,20,54603,3,30229,6
1,19,3,27348.0,0,16688.0,18,20,,180.0,20,5,139704,17,62555,0,35630,5
1,2,9,47589.0,4,20960.0,8,17,16724.0,193.0,17,3,158017,18,74994,1,65329,7
1,1,1,14093.0,3,5098.0,11,15,1579.0,180.0,15,19,140811,7,46139,5,20001,4
1,3,19,82827.0,3,30643.0,7,9,97547.0,184.0,9,17,217465,14,227110,6,151350,6
1,5,14,,3,25026.0,6,16,58639.0,163.0,16,8,198985,12,109855,6,109700,1
0,9,4,47965.0,1,17988.0,10,18,8377.0,1.85,18,10,138125,19,70962,6,64279,6
1,20,12,86654.0,3,29568.0,13,7,88703.0,184.0,5,9,235390,15,148689,6,154976,6
1,14,17,83295.0,3,28377.0,2,12,84019.0,171.0,12,13,212377,0,587366,6,141854,0
1,17,0,11585.0,3,1994.0,12,19,133.0,181.0,19,1,140778,13,28378,4,13069,4
1,18,20,,3,32766.0,5,14,126678.0,177.0,14,6,262232,4,685146,6,155297,6
1,16,6,57472.0,3,21342.0,13,13,23097.0,170.0,13,2,178184,8,91656,6,66785,2
1,7,10,56436.0,3,20917.0,0,10,9746.0,180.0,10,11,156570,10,77380,6,71706,3
1,0,13,65826.0,4,25081.0,16,4,47830.0,187.0,4,15,196961,16,92315,6,107521,3
1,11,16,71992.0,3,26637.0,4,6,61988.0,176.0,7,14,201838,9,111683,6,125323,6
1,12,11,56208.0,4,20847.0,14,8,18260.0,192.0,8,7,155529,6,87226,6,72934,3
1,15,7,51744.0,0,19238.0,3,1,7720.0,177.0,1,18,138396,1,72932,2,66031,5
