PROFESSION,PROFILE_IMAGE,BIRTH_DATE,CYCLE_BASE_CYCLIST_ID,SPORT_TYPE,CQ_RANKING_MALE_CYCLIST_ID,LAST_NAME,FIRST_NAME,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,COMMONS_CATEGORY,TEAM_AFFILIATION,PRO_CYCLING_STATS_CYCLIST_ID,BIRTH_PLACE,UCI_RIDER_ID,FREEBASE_ID,CYCLING_ARCHIVES_CYCLIST_ID,SPORT_COUNTRY
0,6,10,,2,32232.0,4,2,120025.0,,5,6,242618,6,292109,9,168366.0,5
0,2,0,,0,5245.0,2,6,8866.0,,6,2,136965,8,27613,4,14270.0,5
0,9,8,54395.0,1,20730.0,6,8,18258.0,187.0,8,0,168961,3,75859,2,74709.0,1
0,0,2,30806.0,0,9313.0,4,1,1295.0,,1,4,140812,2,65644,6,26503.0,5
0,5,5,45582.0,0,16175.0,0,4,6257.0,182.0,4,4,136352,1,72403,8,63954.0,2
0,6,9,,0,,3,5,127131.0,,5,1,246092,7,620766,9,,5
1,3,3,39287.0,3,13240.0,5,3,1310.0,178.0,2,3,140835,4,55029,5,21075.0,4
0,8,7,48923.0,2,18053.0,1,7,6255.0,175.0,7,7,134493,5,78076,3,68830.0,3
0,7,6,,0,18756.0,4,5,14933.0,182.0,3,4,129401,1,78641,0,73101.0,2
0,4,1,,2,10294.0,4,0,,175.0,0,5,140825,0,63923,7,30464.0,5
0,1,4,,0,13311.0,4,5,6584.0,172.0,9,4,136289,0,64979,1,59421.0,0
