Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
1,13580138,100,2,0,13578653
0,10821920,84,2,0,10820229
0,6956172,54,2,0,6955569
0,8422594,65,3,1,8420066
0,9310089,75,2,0,9309220
1,10429864,78,5,0,10428729
0,3221626,27,5,0,3220494
1,2102690,15,11,0,2100093
0,20867515,143,1,0,20866022
0,12246771,92,2,0,12245099
0,2680808,19,16,0,2679423
0,1401408,10,1,0,1400647
1,20915947,144,1,0,20914958
1,9221896,74,5,0,9220525
1,6842720,53,5,0,6840311
0,6638754,52,4,1,6637225
1,15741,0,18,0,14537
0,18735986,133,15,0,18734498
0,5430215,43,23,0,5429553
0,9311660,76,1,0,9310200
1,17401205,123,13,1,17399302
1,23649517,155,2,0,23648664
0,6441604,51,2,0,6440312
1,12849258,96,2,0,12848426
0,20479303,141,6,1,20477665
1,2737107,20,5,0,2736457
0,981427,6,5,0,980799
0,3054496,24,4,1,3053067
0,2642795,18,16,0,2641014
0,3511059,31,5,0,3509868
0,14451589,108,1,0,14449142
1,23514561,154,1,0,23513521
1,15398283,113,1,0,15396637
0,4838125,39,9,0,4836803
1,12488986,93,2,0,12486822
1,18766836,134,2,0,18765534
1,7776355,59,1,0,7775540
0,3453161,30,1,0,3451287
0,18932862,135,2,0,18931125
0,8066513,61,5,0,8065765
1,13391838,99,5,0,13390600
0,2579015,16,11,0,2576673
0,14931220,111,1,0,14928527
1,11473094,86,1,0,11472201
1,13980614,105,2,0,13979644
1,34835,165,19,0,33567
1,7857029,60,1,0,7856016
1,4299137,34,4,1,4297472
0,13813861,101,1,0,13812362
1,11600931,88,2,0,11599714
1,8836279,70,7,1,8834339
1,8643477,66,5,0,8642485
0,14939089,112,5,0,14937890
0,3097194,25,1,0,3096508
1,12567288,94,2,0,12566661
1,6016720,47,2,0,6015477
1,1662089,13,5,0,1659698
0,14766244,110,20,0,14765282
0,11497432,87,2,0,11496159
1,2912105,22,1,0,2911437
0,938369,5,2,0,937674
0,24218799,160,1,0,24217882
0,18449802,131,2,0,18448896
0,421354,1,11,0,418907
1,2597044,17,14,0,2596686
1,22586503,151,8,0,22583996
1,23902858,158,2,0,23901544
1,15431493,114,10,0,15429022
1,42748,167,14,0,41047
1,2862968,21,5,0,2861630
1,12160930,91,8,0,12160046
1,16835079,119,22,0,16833925
1,23866829,157,2,0,23865703
1,16416071,118,21,0,16413631
1,11654127,89,8,0,11653435
0,563875,4,6,1,561461
1,6170322,48,2,0,6168823
0,13282465,98,25,0,13280789
1,16920482,120,18,0,16919435
1,19133424,137,1,0,19132048
1,6835,163,14,0,4667
0,21703774,148,2,0,21701900
1,17627223,126,2,0,17625592
1,7009171,55,2,0,7008393
1,18038313,128,2,0,18037247
1,6362947,50,5,0,6361372
1,4102721,33,12,0,4101290
0,14479105,109,2,0,14478302
1,3312359,29,1,0,3311109
0,13013122,97,1,0,13011857
0,2003214,14,5,0,2002366
0,17542792,124,2,0,17541345
1,17122877,121,5,0,17120601
1,8306625,63,5,0,8305246
1,3235158,28,2,0,3233849
1,20286216,139,5,0,20285100
1,4365383,35,23,0,4363173
1,9200825,73,5,0,9199485
0,17643761,127,2,0,17642746
0,3802426,32,13,1,3800009
1,15463044,115,0,1,15461240
1,40361,166,17,1,37650
1,10634319,81,1,0,10632709
1,5210452,41,24,0,5209340
1,14201412,106,22,0,14200354
1,21840929,149,1,0,21839502
1,18150907,129,5,0,18149782
0,23311866,153,2,0,23310921
1,4622430,37,23,0,4620634
1,8297673,62,2,0,8296462
0,3049161,23,24,0,3048399
0,424362,2,22,0,423166
0,11412405,85,2,0,11411355
0,8987276,71,4,1,8985246
1,8380600,64,2,0,8379902
0,21107478,146,2,0,21106076
1,22342311,150,1,0,22341328
0,8750931,69,1,0,8750116
0,448516,3,16,0,445739
1,1005104,7,2,0,1003707
1,5764705,46,2,0,5763288
0,20600592,142,1,0,20599396
0,13967339,104,16,0,13965975
0,1044324,9,5,0,1043726
0,18233087,130,1,0,18230676
0,7252202,57,5,0,7251567
1,21033305,145,1,0,21032577
0,14264630,107,5,0,14263463
0,19361160,138,2,0,19359904
0,22800650,152,1,0,22799643
0,6283351,49,2,0,6282458
1,5212347,42,1,0,5211163
1,10815148,83,2,0,10814110
0,4756236,38,5,0,4754812
1,19131431,136,11,0,19128978
0,24324304,161,2,0,24323249
0,18526135,132,1,0,18525296
0,5646569,45,1,0,5645517
1,4431456,36,26,0,4430512
0,8706530,68,3,1,8704372
1,1565906,12,5,0,1564519
0,5596435,44,2,0,5595701
0,17573162,125,1,0,17572161
1,24075061,159,2,0,24073248
0,13816694,102,16,0,13815414
0,3098509,26,1,0,3097631
1,17383110,122,5,0,17381675
0,23718778,156,2,0,23717642
1,9294,164,14,0,6891
1,4910787,40,5,0,4909550
1,15945723,116,2,0,15943858
0,13953853,103,1,0,13952477
0,16025845,117,8,0,16025135
1,10517795,80,2,0,10516812
0,9369143,77,5,0,9368165
0,11737964,90,2,0,11736173
0,8662629,67,1,0,8661322
0,7507311,58,4,1,7506176
1,12665749,95,1,0,12664313
1,24717108,162,2,0,24715475
1,1471242,11,2,0,1469688
1,21368024,147,2,0,21366772
1,7207112,56,1,0,7205454
0,10790484,82,1,0,10789222
1,1005618,8,2,0,1005001
1,9120663,72,1,0,9118189
0,20333137,140,1,0,20331131
0,10514318,79,1,0,10512900
