Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
1,520756,28,3,0,519809
0,434643,30,3,0,432829
1,11438889,14,7,0,11438077
0,15089831,18,3,0,15088605
1,5649719,8,3,0,5648142
0,2775423,6,3,0,2774086
1,1447996,2,7,0,1447043
1,22979736,24,3,0,22978261
1,1833747,4,3,0,1832821
0,559806,32,5,1,558834
0,2646920,5,8,0,2645877
0,12197203,17,6,0,12196105
1,10381344,13,3,0,10380256
0,73871,0,0,0,73416
0,11705435,16,7,0,11704542
1,23628449,25,4,0,23628117
1,1120997,29,3,0,1120479
1,3138110,34,3,0,3137298
1,16157563,19,4,0,16156159
0,3848398,1,2,0,3847910
1,21906493,23,4,0,21905750
1,7139860,10,3,0,7138967
1,8559,27,3,0,7741
1,16867243,20,3,0,16866602
1,7636842,11,2,0,7635970
1,18311896,21,2,0,18311003
0,2858803,33,3,0,2858432
1,7635530,12,3,0,7634784
1,2780894,7,4,0,2779937
1,24599377,26,1,0,24599018
0,6549201,9,3,0,6548746
0,1966177,31,3,0,1965272
1,1579373,3,2,0,1578207
1,11546763,15,3,0,11545570
1,21347370,22,3,0,21345970
