GENDER,POSTHUMOUS_TITLE,GOOGLE_KNOWLEDGE_GRAPH_ID,FIRST_NAME,MOTHER_NAME,DEATH_DATE,SIBLING_NAME,FAMILY_SURNAME,FULL_NAME,BIRTH_DATE
1,75,17,3,17,7,0,0,31,31
0,29,53,4,17,44,0,1,13,79
1,3,31,3,15,53,0,0,38,69
1,59,37,3,27,27,0,0,33,28
0,79,62,4,10,75,0,1,76,42
0,48,42,4,3,80,0,1,71,46
0,39,41,4,15,74,0,1,75,84
1,64,10,4,2,82,0,1,47,41
1,56,47,3,9,17,0,0,17,67
1,48,13,4,15,86,0,1,1,0
1,24,34,3,3,18,2,0,27,55
1,4,39,3,0,64,0,0,58,73
1,71,22,3,15,34,0,0,41,45
1,78,76,3,8,36,0,0,30,56
1,26,2,4,13,43,0,1,43,59
0,48,51,4,15,79,0,1,11,70
0,36,81,4,7,77,0,1,77,39
0,66,71,4,14,2,0,1,83,6
0,31,73,4,17,56,0,0,62,14
1,15,27,3,23,61,0,0,46,17
1,74,6,3,6,24,0,0,42,12
1,69,18,4,10,76,0,1,16,81
0,60,57,4,1,12,0,1,84,18
1,72,19,3,15,52,0,0,28,80
0,44,74,4,9,46,0,1,82,43
0,32,83,6,6,63,0,0,15,9
1,17,35,3,9,41,0,0,52,51
0,61,85,4,0,28,0,1,8,66
0,46,69,4,25,25,0,1,6,54
1,68,33,3,9,15,0,0,20,48
0,0,26,4,14,0,0,1,60,4
0,42,49,4,1,67,0,1,9,11
0,70,54,4,13,29,0,1,64,71
1,23,4,3,1,13,0,0,49,40
1,1,84,3,22,39,1,0,48,24
0,48,52,4,8,65,0,1,72,33
1,11,8,3,3,49,0,0,36,49
1,48,38,3,18,78,0,0,45,63
0,48,63,4,17,85,0,1,61,75
1,9,20,3,11,47,0,0,22,37
1,65,77,3,4,72,1,0,44,15
0,25,1,4,5,4,0,1,66,7
1,73,21,3,22,45,0,0,32,2
0,22,44,4,4,6,0,1,73,32
0,18,80,4,7,66,0,1,85,29
0,54,59,1,14,35,0,0,12,5
0,55,68,4,17,15,0,1,63,58
0,47,40,4,3,21,0,1,69,32
1,76,25,3,5,31,0,0,26,38
1,50,28,3,15,23,0,0,53,22
0,48,43,4,20,9,0,1,4,52
1,48,7,3,15,86,0,0,23,35
0,40,60,4,13,58,0,1,65,66
1,5,75,4,26,59,0,1,24,74
0,41,45,4,11,73,0,1,87,19
0,37,85,4,24,55,0,1,5,25
1,14,30,3,12,71,0,0,50,44
1,20,11,3,13,37,0,0,35,53
1,48,32,3,17,20,0,0,34,83
0,45,65,4,9,22,0,1,80,64
1,12,14,3,26,54,0,0,21,47
0,43,85,4,17,51,0,1,70,65
1,8,12,3,9,48,0,0,37,78
0,49,70,4,5,38,0,1,86,20
1,6,24,3,8,69,0,0,57,62
1,2,29,3,26,70,0,0,55,60
0,62,66,4,9,16,0,1,0,72
1,52,15,3,14,1,0,0,25,3
1,10,5,3,14,68,0,0,54,61
0,51,67,4,9,19,0,1,68,57
1,63,78,3,7,42,0,0,40,13
1,77,23,0,11,10,0,0,19,27
1,19,16,3,2,5,0,0,51,23
1,16,79,3,2,14,1,0,17,16
1,27,3,3,10,30,0,0,29,36
0,33,64,4,0,83,0,1,78,82
0,58,72,4,21,26,0,1,2,34
0,57,61,4,17,8,0,1,81,42
0,38,85,4,17,84,0,1,7,68
0,48,48,4,15,81,0,1,67,30
0,34,46,2,26,62,0,0,14,50
1,7,0,3,11,50,0,0,39,8
1,13,9,3,10,60,0,0,18,76
0,30,50,4,15,33,0,1,74,85
0,53,56,4,19,32,0,1,79,10
1,67,82,5,16,57,0,0,59,1
0,35,55,4,13,40,0,1,10,77
1,28,36,4,15,11,0,1,56,21
0,21,58,4,26,3,0,1,3,26
