Time_Zone,Official_Website,Geo_Lod_Id,Neighboring_Cities,Latitude,Commons_Category,City_Name,Geo_Names_Id,Ci_Nii_Research_Id,Geo_Nlp_Id_Obsolete,Naver_Encyclopedia_Id,Electoral_District,Un_Locode,Population,Open_Corporates_Id,Dantai_Code,Longitude,Whos_On_First_Id,World_Cat_Identities_Id_Superseded,Main_Category,Babel_Net_Id,Gns_Unique_Feature_Id,Native_Name,Name_In_Kana,Locator_Map_Image,City_Image,Open_Street_Map_Relation_Id,Establishment_Date,Japan_Search_Name_Id,Google_News_Topics_Id,City_Type,Area_Sq_Km,Ndl_Authority_Id,Nacsis_Cat_Author_Id,Music_Brainz_Area_Id,Prefecture,I_Naturalist_Place_Id,City_Flag_Image,Previous_Name,Viaf_Id,Google_Maps_Customer_Id,Freebase_Id,Corporate_Number,City_Description,Adjacent_Water_Body
1,16,4,9,31.6019444444,20,20,1855476.0,1.140282266760589e+18,20,1286801.0,8,10,50518.0,10,452041.0,131.37875,890531773.0,5,20,4,-238671.0,8,17,19,0,3992247.0,18,10,4,0,536.11,392871.0,7,22,7,34319.0,20,14,252350731.0,8.25803251251507e+18,3,6000020452041.0,5,3
1,5,1,7,31.7195,18,18,1856775.0,1.1400007917542555e+18,12,1274713.0,8,15,160392.0,9,452025.0,131.0616944444,102031529.0,1,18,16,-236875.0,14,25,18,13,3992201.0,14,17,1,0,653.31,359836.0,9,18,7,100928.0,18,13,125528973.0,1.3255528523864392e+19,27,6000020452025.0,6,2
1,23,17,2,31.9056944444,21,21,9036723.0,1.1400007918828133e+18,4,1299071.0,2,16,20093.0,11,463922.0,130.4556388889,,15,21,12,,0,12,21,21,3959620.0,9,0,12,3,303.9,1167208.0,11,12,8,34079.0,21,11,258279025.0,4.385173153206208e+18,12,6000020463922.0,11,2
1,4,18,4,31.4166388889,16,15,7383994.0,,6,,2,16,32503.0,0,462209.0,130.3233888889,890521005.0,0,15,17,10692291.0,2,24,16,14,,13,3,18,0,283.59,,17,3,3,34071.0,16,5,171423888.0,,25,3000020462209.0,2,0
1,0,25,11,31.5945,17,17,7384007.0,,0,1299594.0,0,16,404.0,2,463035.0,130.5607222222,1108743317.0,4,17,11,10692316.0,0,20,17,12,3962377.0,1,0,11,4,31.4,314925.0,17,17,4,34073.0,17,13,252329050.0,1.131406143548958e+19,11,1000020463035.0,13,2
1,8,21,4,31.7282222222,0,0,1865650.0,1.1400007918274511e+18,15,,3,1,76610.0,4,462250.0,130.6278055556,,19,0,17,-225051.0,0,0,0,2,3959624.0,19,6,14,0,231.25,1231311.0,15,21,3,34048.0,0,3,3.161464626070277e+20,1.6808250634346613e+19,14,2000020462250.0,2,1
1,3,22,13,31.4645,11,11,1895695.0,1.1408452168141345e+18,24,1286798.0,8,16,16744.0,7,452076.0,131.2283888889,890523083.0,9,11,5,-235240.0,1,8,11,9,3990180.0,6,1,5,0,294.96,392860.0,8,11,7,34312.0,11,13,254135813.0,1.5077765336884308e+19,5,4000020452076.0,5,3
1,15,3,4,31.3782777778,14,14,7383993.0,,9,,1,16,33115.0,0,462233.0,130.4416666667,890533891.0,21,14,17,10692290.0,3,23,12,11,,16,4,18,0,357.91,,17,20,3,100890.0,14,6,7.807154801962355e+21,,18,3000020462233.0,2,0
1,25,5,0,32.1992777778,19,19,7384008.0,1.1400007916277285e+18,7,1299591.0,3,16,9654.0,5,464040.0,130.1769166667,890525063.0,17,19,13,10692317.0,0,16,20,17,3975516.0,15,0,13,3,116.18,369736.0,6,13,1,34074.0,19,0,259916062.0,1.4510021683616831e+19,13,2000020464040.0,9,2
1,12,2,12,31.5968055556,5,5,1860823.0,1.1408452165084376e+18,16,1054207.0,0,6,593754.0,0,462012.0,130.5571388889,102031675.0,0,5,0,-231558.0,17,5,6,18,3962762.0,0,20,0,1,547050000.0,285571.0,2,7,3,34060.0,6,20,259893432.0,1.1159072897754749e+19,20,1000020462012.0,1,1
1,2,19,7,31.9967222222,9,9,1859175.0,,1,,8,16,43114.0,8,452050.0,130.9725833333,102032293.0,8,9,17,-233813.0,5,10,9,4,3990410.0,15,7,18,0,563.09,287831.0,17,1,7,34310.0,9,19,253809271.0,1.4708765288760463e+18,4,5000020452050.0,5,2
1,1,23,12,32.0145277778,1,1,1865401.0,1.1400007917352407e+18,8,1286831.0,3,2,19009.0,0,462063.0,130.1926666667,890519367.0,7,1,8,-225376.0,15,1,1,3,3959622.0,5,18,8,0,134.0,369695.0,12,13,3,34049.0,1,10,252938502.0,1.1265969044670497e+19,9,8000020462063.0,3,2
1,14,14,2,32.2118611111,13,13,1857206.0,1.1405637417579843e+18,23,2695568.0,6,8,23155.0,13,432059.0,130.40875,102031541.0,6,13,3,-236343.0,11,21,14,10,3995580.0,3,14,2,0,163.29,291124.0,4,4,6,34181.0,13,8,252619791.0,1.359956004358226e+19,2,7000020432059.0,4,2
0,21,26,10,31.56,6,6,1860825.0,1.1400007917770619e+18,13,1054208.0,5,0,1586435.0,0,460001.0,130.5580555556,85672861.0,0,6,1,-231556.0,18,4,5,19,1842186.0,20,21,9,2,9132.42,258078.0,0,0,2,13079.0,5,15,259297768.0,1.020960972148276e+19,0,8000020460001.0,7,2
0,22,24,5,32.7897222222,10,10,1858419.0,1.1408452165410903e+18,11,1066035.0,7,16,1732644.0,12,430005.0,130.7413888889,85672703.0,0,10,2,-234759.0,12,9,10,16,1842185.0,20,15,10,2,7404.14,256732.0,1,16,2,10920.0,10,9,136049754.0,1.7444575724434158e+19,1,7000020430005.0,7,0
1,7,16,12,31.741,8,8,7383992.0,1.1408452165988882e+18,17,1286805.0,3,16,123812.0,18,462187.0,130.7632222222,102032239.0,10,8,14,10692289.0,16,7,8,8,3978596.0,13,19,15,0,603.18,1022856.0,16,6,3,34067.0,8,7,254848025.0,6.226598287465884e+17,15,8000020462187.0,0,1
1,9,12,4,31.6337222222,2,2,1862569.0,,10,,2,4,46671.0,0,462161.0,130.4024444444,1276201857.0,20,2,17,-229240.0,0,18,2,15,,11,11,18,0,253.01,,17,19,3,34054.0,2,1,7.614709515952508e+19,,24,9000020462161.0,2,0
1,24,10,6,31.2173333333,15,16,7384006.0,,14,,4,16,6292.0,14,464911.0,130.7682222222,,0,16,17,10692315.0,0,22,15,20,,10,0,18,3,213.57,,17,8,5,100896.0,15,12,,,22,7000020464911.0,10,3
0,21,26,10,31.56,6,6,1860825.0,1.1400007917770619e+18,13,1054208.0,5,0,1586435.0,0,460001.0,130.5580555556,85672861.0,0,6,1,-231556.0,18,4,5,19,1842186.0,20,21,9,2,9132.42,258078.0,0,0,2,13079.0,5,15,259297768.0,1.020960972148276e+19,0,8000020460001.0,7,2
1,17,11,4,31.8134722222,22,22,1852736.0,,3,,2,12,91875.0,0,462152.0,130.3039722222,102031399.0,14,22,17,-242700.0,13,11,22,22,,8,16,18,0,682.92,1232779.0,17,15,3,34080.0,22,16,257694197.0,,6,1000020462152.0,3,0
1,12,2,12,31.5968055556,5,5,1860823.0,1.1408452165084376e+18,16,1054207.0,0,6,593754.0,0,462012.0,130.5571388889,102031675.0,0,5,0,-231558.0,17,5,6,18,3962762.0,0,20,0,1,547050000.0,285571.0,2,7,3,34060.0,6,20,259893432.0,1.1159072897754749e+19,20,1000020462012.0,1,1
1,18,15,7,31.6536388889,24,24,7383996.0,1.1400007917597162e+18,26,1287819.0,4,16,32849.0,17,462179.0,131.0193611111,890524131.0,22,24,10,10692293.0,9,14,24,24,3969264.0,12,12,17,0,390.11,,14,10,3,34083.0,24,18,9.464152684039825e+21,1.6072282831108125e+19,26,8000020462179.0,2,2
1,27,13,2,31.9516666667,27,27,7384013.0,,18,,3,16,9265.0,3,464520.0,130.7210555556,,18,27,17,10692323.0,0,26,27,17,,9,0,18,3,144.29,1238975.0,17,13,0,100899.0,27,21,260377379.0,,23,1000020464520.0,8,2
1,10,27,4,31.2527777778,3,3,1862010.0,,27,,1,3,38571.0,0,462101.0,130.6330555556,890519323.0,11,3,17,-229984.0,7,3,3,25,3962393.0,14,9,18,0,148.84,369701.0,17,23,3,34056.0,3,2,256561577.0,7.402036106778339e+18,17,3000020462101.0,2,0
1,6,0,14,31.4771666667,23,23,1852587.0,,21,,4,11,29267.0,6,462217.0,131.0998888889,890519235.0,13,23,17,-242923.0,6,13,23,23,,14,8,18,0,290.28,1164553.0,17,9,3,34082.0,23,17,257676984.0,,19,3000020462217.0,2,4
1,20,6,15,31.3782222222,7,7,1860112.0,1.1400007917385581e+18,5,1286835.0,4,7,100880.0,15,462039.0,130.8522222222,102031653.0,16,7,6,10692288.0,19,6,7,7,3962763.0,14,22,6,0,448.15,369710.0,10,14,3,34063.0,7,4,258727015.0,1.4144263793967716e+19,7,8000020462039.0,2,1
1,19,9,4,31.4927777778,25,25,1850589.0,1.1405637418014831e+18,22,1286837.0,4,13,13688.0,1,462144.0,130.7009444444,102031329.0,2,25,9,-245586.0,4,15,25,6,3964352.0,7,5,3,0,162.03,369730.0,13,13,3,34084.0,25,13,251163141.0,1.1060899609165804e+18,10,1000020462144.0,2,1
1,11,7,3,32.0570277778,4,4,7383991.0,,25,,3,5,24131.0,0,462241.0,130.6129166667,890524127.0,12,4,17,10692287.0,0,2,4,5,,17,2,18,0,392.56,1145308.0,17,5,3,,4,22,256711251.0,,21,3000020462241.0,2,2
1,13,20,8,31.2729166667,12,12,1857712.0,1.1405637416362365e+18,19,1286840.0,2,9,19817.0,16,462047.0,130.2969166667,890519297.0,3,12,7,-235663.0,10,19,13,1,3978207.0,4,13,7,0,74.78,290465.0,3,2,3,34068.0,12,13,251734860.0,,8,8000020462047.0,2,0
1,26,8,1,27.3922777778,26,26,1848987.0,1.140563741718165e+18,2,,1,14,6233.0,19,465330.0,128.6554722222,,0,26,15,-247767.0,0,27,26,26,3982792.0,2,0,16,3,40.39,369767.0,5,13,9,34089.0,26,13,153673610.0,5.755717100508878e+18,16,8000020465330.0,12,2
