Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Memoire_Du_Cyclisme_Cyclist_Id,Birth_Place,Uci_Rider_Id,Weight_Kg,Birth_Date,Sports_Team,Olympedia_People_Id,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Freebase_Id
1,14,43388.0,14319.0,15,67673.0,140293.0,54517.0,9,68367.0,63.0,6,2,9,15,58588.0,2278.0,12,173.0,10
1,0,46381.0,18610.0,10,77168.0,137427.0,56596.0,16,71557.0,62.0,9,14,5,10,63999.0,12474.0,4,173.0,0
1,1,16289.0,5.0,0,470645.0,140924.0,19443.0,8,14575.0,61.0,0,10,0,0,7005.0,38.0,11,177.0,6
1,8,65688.0,24926.0,6,465450.0,198937.0,,18,95844.0,60.0,18,7,9,6,100412.0,58275.0,3,175.0,14
1,16,8783.0,4443.0,18,77385.0,140517.0,14122.0,11,44439.0,64.0,4,15,7,18,19060.0,730.0,2,178.0,7
1,6,22663.0,5789.0,4,1529344.0,140869.0,12014.0,10,43936.0,69.0,3,8,3,4,22017.0,713.0,1,186.0,5
0,12,48143.0,21971.0,12,205449.0,168754.0,,6,79462.0,,16,0,8,12,64280.0,16672.0,9,184.0,13
1,7,56436.0,20917.0,17,5649.0,156570.0,67199.0,5,77380.0,78.0,12,13,9,17,71706.0,9746.0,9,180.0,14
1,10,16313.0,3333.0,8,134950.0,140752.0,19461.0,7,44513.0,74.0,2,5,2,8,18746.0,150.0,12,181.0,3
1,9,12980.0,1999.0,5,1980.0,140438.0,17159.0,13,26925.0,53.0,1,16,9,5,11870.0,452.0,12,165.0,4
1,18,60759.0,22794.0,7,37069.0,168760.0,,1,86857.0,61.0,15,11,9,7,81087.0,1527.0,8,177.0,14
1,11,57262.0,24720.0,9,21652.0,185273.0,,14,90375.0,69.0,14,9,9,9,67001.0,10916.0,6,1.71,14
1,17,61775.0,23299.0,11,23252.0,164709.0,,17,89223.0,68.0,11,12,9,11,72207.0,25726.0,7,186.0,2
1,4,62259.0,24110.0,2,1447.0,181212.0,,0,250807.0,,17,6,9,2,94988.0,27301.0,9,184.0,14
1,15,38259.0,13066.0,13,26443.0,140384.0,45665.0,3,62919.0,72.0,7,15,9,13,39964.0,2211.0,10,178.0,9
1,2,22932.0,7530.0,3,6335.0,140231.0,28025.0,15,46940.0,63.0,5,3,9,3,37173.0,3224.0,11,170.0,12
1,3,56664.0,20678.0,16,20194.0,132382.0,,4,72234.0,73.0,10,1,6,16,66001.0,,13,1.81,8
1,13,61866.0,23334.0,14,160840.0,185156.0,,12,97634.0,65.0,13,2,4,14,100717.0,35077.0,5,170.0,1
1,5,43344.0,16653.0,1,63128.0,140818.0,45469.0,2,64670.0,78.0,8,4,1,1,52068.0,2337.0,0,181.0,11
