Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Genomic_Start_Position,Gene_Category,Strand_Orientation
0,13580138,101,101,6,2,13578653,0,1
0,10821920,85,85,2,2,10820229,0,0
0,6956172,55,55,2,2,6955569,0,0
1,8422594,66,66,8,3,8420066,1,0
0,9310089,76,76,6,2,9309220,0,0
0,10429864,79,79,6,5,10428729,0,1
0,3235158,28,28,6,2,3233849,0,1
0,2141514,16,16,2,11,2139061,0,0
0,20867515,144,144,1,1,20866022,0,0
0,12246771,93,93,6,2,12245099,0,0
0,2728681,20,20,6,23,2727125,0,1
0,1471242,11,11,6,2,1469688,0,1
0,20915947,145,145,1,1,20914958,0,1
0,9221896,75,75,6,5,9220525,0,1
0,6842720,54,54,6,5,6840311,0,1
1,6638754,53,53,7,4,6637225,1,0
0,421354,1,1,6,11,418907,0,0
0,18735986,134,134,1,15,18734498,0,0
0,5596435,44,44,6,2,5595701,0,0
0,9311660,77,77,6,1,9310200,0,0
1,17401205,124,124,7,13,17399302,1,1
0,23649517,156,156,1,2,23648664,0,1
0,6441604,52,52,6,2,6440312,0,0
0,12849258,97,97,6,2,12848426,0,1
1,20479303,142,142,8,6,20477665,1,0
0,2862968,21,21,6,5,2861630,0,1
0,1005104,7,7,2,2,1003707,0,1
0,3097194,25,25,2,1,3096508,0,0
0,2680808,19,19,2,16,2679423,0,0
1,3802426,32,32,7,13,3800009,1,0
0,14451589,109,109,2,1,14449142,0,0
0,23514561,155,155,1,1,23513521,0,1
0,15398283,114,114,6,1,15396637,0,1
0,4910787,40,40,6,5,4909550,0,1
0,12488986,94,94,6,2,12486822,0,1
0,18766836,135,135,3,2,18765534,0,1
0,7776355,60,60,6,1,7775540,0,1
0,3511059,31,31,6,5,3509868,0,0
0,18932862,136,136,1,2,18931125,0,0
0,8066513,62,62,2,5,8065765,0,0
0,13391838,100,100,2,5,13390600,0,1
0,2597044,17,17,6,14,2596686,0,1
0,14931220,112,112,6,1,14928527,0,0
0,11473094,87,87,2,1,11472201,0,1
0,13980614,106,106,6,2,13979644,0,1
0,34835,166,166,0,19,33567,0,1
0,7857029,61,61,6,1,7856016,0,1
0,4365383,35,35,6,24,4363173,0,1
0,13813861,102,102,2,1,13812362,0,0
0,11600931,89,89,6,2,11599714,0,1
1,8836279,71,71,8,7,8834339,1,1
0,8643477,67,67,6,5,8642485,0,1
0,14939089,113,113,6,5,14937890,0,0
0,3098509,26,26,6,1,3097631,0,0
0,12567288,95,95,6,2,12566661,0,1
0,6088421,48,48,6,1,6085950,0,0
0,2003214,14,14,2,5,2002366,0,0
0,14766244,111,111,2,20,14765282,0,0
0,11497432,88,88,6,2,11496159,0,0
0,3049161,23,23,6,25,3048399,0,0
0,981427,6,6,6,5,980799,0,0
0,24218799,161,161,1,1,24217882,0,0
0,18449802,132,132,3,2,18448896,0,0
0,424362,2,2,6,23,423166,0,0
0,2642795,18,18,6,16,2641014,0,0
0,22586503,152,152,1,8,22583996,0,1
0,23902858,159,159,1,2,23901544,0,1
0,15431493,115,115,6,10,15429022,0,1
0,15741,0,0,6,18,14537,0,1
0,2912105,22,22,6,1,2911437,0,1
0,12160930,92,92,2,8,12160046,0,1
0,16835079,120,120,1,23,16833925,0,1
0,23866829,158,158,1,2,23865703,0,1
0,16416071,119,119,2,22,16413631,0,1
0,11654127,90,90,2,8,11653435,0,1
