NationalLibraryOfIsraelJ9uId,NlCrAutId,CommonsCategory,QuoraTopicId,FreebaseId,LibraryOfCongressAuthorityId
9.870075549555052e+17,7,9,10,7,0
9.870072660662052e+17,5,5,5,4,2
9.870075572208051e+17,8,10,11,8,9
9.870075480452051e+17,4,4,4,1,6
9.870075480452051e+17,4,4,4,1,6
9.870075481884051e+17,11,1,1,10,7
9.870072660662052e+17,5,5,5,4,2
9.870111025912051e+17,12,8,9,5,12
9.870075527756051e+17,6,6,7,6,11
9.870075609817052e+17,1,7,8,11,1
9.870075481884051e+17,11,1,1,10,7
9.870075643560051e+17,10,0,0,13,3
9.870075609817052e+17,1,7,8,11,1
9.870075548289052e+17,3,3,3,0,4
9.870075643560051e+17,10,0,0,13,3
9.870075481884051e+17,11,1,1,10,7
9.870075481884051e+17,11,1,1,10,7
9.870075597772051e+17,9,11,13,9,10
9.870075548289052e+17,3,3,3,0,4
9.870075527756051e+17,6,6,7,6,11
9.870072660662052e+17,5,5,5,4,2
9.870111025912051e+17,12,8,9,5,12
9.870075643560051e+17,10,0,0,13,3
9.870075548289052e+17,3,3,3,0,4
9.870111025912051e+17,12,8,9,5,12
9.870075572208051e+17,8,10,11,8,9
9.870075480443052e+17,2,2,2,3,8
9.870075609817052e+17,1,7,8,11,1
9.870075585842052e+17,0,12,6,2,13
9.870075549555052e+17,7,9,10,7,0
9.870075609817052e+17,1,7,8,11,1
9.870075609817052e+17,1,7,8,11,1
9.870075480443052e+17,2,2,2,3,8
9.870075481884051e+17,11,1,1,10,7
9.870075609817052e+17,1,7,8,11,1
9.870075572208051e+17,8,10,11,8,9
9.870075643560051e+17,10,0,0,13,3
9.870075527756051e+17,6,6,7,6,11
9.870075643560051e+17,10,0,0,13,3
9.870075572208051e+17,8,10,11,8,9
9.870075549555052e+17,7,9,10,7,0
9.870075478024051e+17,13,13,12,12,5
9.870075572208051e+17,8,10,11,8,9
9.870075480443052e+17,2,2,2,3,8
9.870075478024051e+17,13,13,12,12,5
9.870072660662052e+17,5,5,5,4,2
9.870075643560051e+17,10,0,0,13,3
9.870075527756051e+17,6,6,7,6,11
9.870075597772051e+17,9,11,13,9,10
9.870075478024051e+17,13,13,12,12,5
9.870075609817052e+17,1,7,8,11,1
9.870075481884051e+17,11,1,1,10,7
9.870075527756051e+17,6,6,7,6,11
9.870075527756051e+17,6,6,7,6,11
9.870111025912051e+17,12,8,9,5,12
9.870075480452051e+17,4,4,4,1,6
9.870111025912051e+17,12,8,9,5,12
9.870111025912051e+17,12,8,9,5,12
9.870072660662052e+17,5,5,5,4,2
9.870075480443052e+17,2,2,2,3,8
9.870072660662052e+17,5,5,5,4,2
9.870075549555052e+17,7,9,10,7,0
9.870075478024051e+17,13,13,12,12,5
9.870075480452051e+17,4,4,4,1,6
9.870075548289052e+17,3,3,3,0,4
9.870072660662052e+17,5,5,5,4,2
9.870075548289052e+17,3,3,3,0,4
9.870075527756051e+17,6,6,7,6,11
9.870075480443052e+17,2,2,2,3,8
9.870075609817052e+17,1,7,8,11,1
9.870075480443052e+17,2,2,2,3,8
9.870075549555052e+17,7,9,10,7,0
9.870075481884051e+17,11,1,1,10,7
9.870075481884051e+17,11,1,1,10,7
9.870075597772051e+17,9,11,13,9,10
9.870075597772051e+17,9,11,13,9,10
9.870075480443052e+17,2,2,2,3,8
9.870075572208051e+17,8,10,11,8,9
9.870075480452051e+17,4,4,4,1,6
