NationalLibraryOfIsraelJ9uId,NlCrAutId,CommonsCategory,QuoraTopicId,FreebaseId,LibraryOfCongressAuthorityId
9.870075468959052e+17,0,26,86,98,20
9.870075408689052e+17,53,93,55,82,60
9.870075606649052e+17,44,125,84,42,86
9.870075482036051e+17,52,111,71,98,73
9.870075300927052e+17,0,6,86,98,151
9.870075859537052e+17,11,65,32,98,33
9.870075682447052e+17,0,61,28,66,36
9.870075316362052e+17,0,138,96,48,97
9.870075538569052e+17,0,50,86,98,122
9.870073964006052e+17,7,68,35,98,44
9.870075510461052e+17,95,75,65,25,101
9.870075461049052e+17,25,150,107,56,108
9.870075461753052e+17,100,134,93,73,93
9.870075606012051e+17,68,136,94,50,95
9.870075660167052e+17,74,90,52,74,127
9.870075540499052e+17,61,120,79,75,145
9.870074123974052e+17,0,37,13,98,43
9.870075413868051e+17,71,133,92,44,92
9.870075407422052e+17,0,24,86,98,31
9.870075538941052e+17,0,18,6,65,138
9.870075487855052e+17,56,154,109,57,111
9.870075397827052e+17,24,132,86,95,155
9.870075467069052e+17,2,16,86,98,136
9.870075387725052e+17,79,122,86,83,82
9.870075348599052e+17,0,54,86,98,150
9.870072927151052e+17,30,107,67,28,7
9.870072855398052e+17,0,57,24,98,5
9.870075655230052e+17,46,128,88,5,89
9.870075613872051e+17,15,48,22,98,133
9.870075632727052e+17,49,129,89,84,90
9.870075538924051e+17,0,41,17,60,142
9.870075492325052e+17,0,10,4,67,137
9.870075519211052e+17,17,32,86,98,28
9.870075471798052e+17,0,81,45,33,21
9.870075511051052e+17,92,157,112,15,114
9.870075538572051e+17,3,49,86,98,121
9.870072938717052e+17,0,11,86,98,11
9.870075954200051e+17,0,20,86,98,37
9.870075396626052e+17,0,15,86,98,135
9.870075471347052e+17,0,3,86,98,23
9.870075347053052e+17,0,51,23,63,144
9.870075655258052e+17,0,84,87,21,158
9.870074057678052e+17,0,21,86,98,41
9.870075556187052e+17,34,117,76,36,78
9.870075421525052e+17,0,17,86,98,14
9.870075367968051e+17,0,45,19,96,120
9.870075517406052e+17,0,13,86,98,156
9.870075629524051e+17,81,114,74,34,76
9.870075584208051e+17,1,70,37,64,17
9.870075538925052e+17,0,33,9,62,141
9.870075517125052e+17,0,58,25,98,160
9.870075291049052e+17,80,110,70,89,8
9.870075613592051e+17,0,30,86,98,147
9.870075469954052e+17,10,63,30,98,25
9.870075412359052e+17,54,140,98,49,99
9.870075510363052e+17,85,143,102,54,104
9.870075347160051e+17,0,56,86,98,143
9.870075597772051e+17,19,155,110,58,2
9.870075393639052e+17,102,127,86,98,0
9.870075561765052e+17,39,160,115,85,117
9.870075630528051e+17,33,113,73,86,75
9.870075728111052e+17,4,53,86,98,39
9.870075508779052e+17,35,116,75,38,77
9.870075487864051e+17,0,153,108,12,110
9.870075538938052e+17,0,25,7,61,139
9.870075294327052e+17,55,145,104,52,105
9.870075728110052e+17,0,55,86,98,40
9.870075532773052e+17,89,108,68,92,71
9.870075470299052e+17,86,144,103,77,3
9.870072865883052e+17,37,87,50,16,55
9.870075421523052e+17,0,0,0,0,15
9.870075296648051e+17,57,149,106,55,107
9.870075447711052e+17,0,29,86,98,18
