StrandOrientation,OrthologId,GenomicEndPosition,GeneDbId,EncodedProtein,ChromosomeId,GenomicStartPosition
0,8,4507129,158,1,0,4506258
1,11,58482,184,1,3,57650
1,8,4045564,146,1,0,4044548
1,8,809644,6,1,0,808668
1,2,1540684,198,2,5,1539719
1,8,3925106,133,1,0,3924162
0,3,3479864,114,2,0,3478912
1,8,2352377,59,1,0,2351473
1,8,2811870,80,1,0,2810993
0,8,3879177,130,1,0,3878232
1,8,2379851,66,1,0,2378994
0,8,1052365,20,1,0,1051429
0,13,1539502,220,1,8,1538500
0,7,2480301,68,1,0,2479394
0,3,3942505,136,2,0,3941590
1,8,2375390,65,1,0,2374390
0,8,1003686,16,1,0,1002743
1,8,826044,9,1,0,825257
0,8,3009797,97,1,0,3009183
1,8,2360029,61,1,0,2359047
1,8,3134531,100,1,0,3133584
0,8,1369830,36,1,0,1368947
0,8,1007599,17,1,0,1006603
1,8,2844528,88,1,0,2843538
0,8,3598785,118,1,0,3598376
0,3,702779,0,2,0,701800
1,8,2355855,60,1,0,2354884
0,1,883344,178,1,2,882190
0,8,3983006,143,1,0,3982127
0,8,3076129,98,1,0,3075227
1,8,3174298,101,1,0,3173391
1,10,59994,192,1,4,59019
1,8,2831118,84,1,0,2830191
0,8,1048548,19,1,0,1047554
1,8,4054409,148,1,0,4053370
0,8,2604167,75,1,0,2603329
1,2,1639490,207,1,5,1638522
0,5,949235,169,1,1,948584
1,8,4281472,153,1,0,4280290
0,8,2980375,96,1,0,2979374
1,8,4270736,152,1,0,4269712
0,5,1012849,171,1,1,1012217
1,8,2232853,52,1,0,2231880
1,8,4089689,150,1,0,4088784
0,0,3111097,227,1,10,3110193
0,3,1726768,212,1,6,1725811
0,8,1382865,37,1,0,1381870
1,8,4574073,160,1,0,4573255
1,11,128626,187,1,3,127746
1,8,2241711,53,1,0,2240825
0,8,4562145,159,1,0,4561270
0,8,3946818,137,1,0,3946348
1,8,2883682,91,1,0,2882695
0,10,1520249,195,1,4,1519281
0,8,3938451,135,1,0,3937813
1,8,1238650,31,1,0,1237682
1,3,1205691,27,2,0,1204738
0,8,2501037,69,1,0,2500057
1,11,121633,185,1,3,120728
0,8,3605579,120,1,0,3604775
0,3,1713820,209,1,6,1712806
0,3,959824,13,2,0,958735
1,8,2827124,83,1,0,2826149
1,8,4357200,154,1,0,4356532
1,2,1618754,204,1,5,1617789
0,1,835336,176,1,2,834360
0,8,3471297,112,1,0,3470331
0,8,4624792,161,1,0,4624492
1,8,2363229,62,1,0,2362303
0,8,3991057,145,1,0,3990489
0,8,713930,3,1,0,712959
0,8,3081081,99,1,0,3080348
0,8,3658680,124,1,0,3657775
0,0,3130797,232,1,10,3129888
1,8,3193314,102,1,0,3192405
1,0,35088,222,1,10,34091
0,0,3096667,225,1,10,3095699
0,8,3337829,107,1,0,3336940
1,8,2382674,67,1,0,2381690
1,8,1221715,30,1,0,1220745
0,0,3100508,226,1,10,3099590
1,2,1606577,202,1,5,1605587
0,8,2961608,94,1,0,2960623
0,8,3654541,123,1,0,3653626
1,8,3851936,126,1,0,3851292
0,3,1722743,211,1,6,1721734
1,8,4396545,156,1,0,4395898
1,11,38718,180,1,3,37728
1,8,2348993,58,1,0,2348378
1,8,4674500,162,1,0,4674023
0,8,2568455,74,1,0,2567453
1,2,1569787,200,1,5,1568882
1,8,870727,11,1,0,869853
0,8,1289899,34,1,0,1288988
1,8,1214186,29,1,0,1213213
1,8,3635309,122,1,0,3634361
0,8,4423505,157,1,0,4422687
0,3,1730683,213,1,6,1729945
0,8,3949671,138,1,0,3948636
1,8,1856079,47,1,0,1855124
1,8,2823781,82,1,0,2822807
0,1,813663,172,1,2,812738
1,11,54050,183,1,3,53050
0,8,1478839,40,1,0,1477894
0,8,2728505,78,1,0,2727547
1,2,1630504,206,1,5,1629542
1,8,3511547,117,1,0,3510660
1,8,1198292,26,1,0,1197318
0,14,886301,179,2,2,885423
1,8,3630502,121,1,0,3629473
