Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,0,38827,225,225,1,35924,3,1
1,0,4679,183,183,1,1893,3,0
0,0,9869,53,53,0,8244,0,1
1,0,825842,310,310,1,823350,3,0
0,0,502030,130,130,0,499289,0,0
1,0,79193,77,77,1,76656,3,1
1,0,2449,0,0,1,11,3,0
0,0,7010,291,291,0,4233,0,1
0,0,66235,247,247,0,64469,0,1
1,0,21822,317,317,1,18838,3,1
1,0,3014,94,94,1,228,3,1
0,0,77950,17,17,0,74987,0,1
1,0,510295,141,141,1,507728,3,1
1,0,847503,311,311,1,845194,3,0
1,0,6673,232,232,1,3815,3,0
1,0,181574,314,314,1,180063,3,1
1,0,625252,228,228,1,622190,3,0
1,0,981807,277,277,1,979324,3,1
1,0,16715,186,186,1,14439,3,1
1,0,2940,212,212,1,73,3,1
0,0,8383,219,219,0,7271,0,0
1,0,2351295,264,264,1,2348338,3,0
1,0,13435,271,271,1,10745,3,0
0,0,86361,188,188,0,83876,0,1
1,0,225780,78,78,1,223900,3,0
1,0,578138,99,99,1,576360,3,0
1,0,504140,267,267,1,500865,3,0
1,0,636457,213,213,1,635763,3,0
1,0,847195,163,163,1,845501,3,0
1,0,492362,27,27,1,490971,3,0
1,0,236472,223,223,1,233641,3,0
0,0,779582,203,203,0,776703,0,0
1,0,7188,124,124,1,4384,3,0
1,0,8831,110,110,1,6234,3,1
0,0,650247,101,101,0,648161,0,0
1,0,984,304,304,1,31,3,0
1,0,1094,23,23,1,159,3,1
0,0,24358,272,272,0,21590,0,0
0,0,1225,52,52,0,1,0,1
1,0,628999,143,143,1,626735,3,0
1,0,13990,115,115,1,11384,3,1
1,0,28068,64,64,1,25282,3,1
1,0,3158,254,254,1,408,3,1
1,0,2327020,263,263,1,2324351,3,0
0,0,9939,56,56,0,8926,0,0
0,0,65081,83,83,0,62292,0,1
1,0,9052,246,246,1,7148,3,1
0,2,805554,313,313,0,804478,0,0
0,0,782600,204,204,0,781197,0,0
1,0,3790,210,210,1,806,3,0
1,0,1573917,166,166,1,1571158,3,0
0,0,1995400,174,174,0,1993454,0,0
0,0,794113,242,242,0,793295,1,0
1,0,644271,97,97,1,641242,3,1
0,0,56433,248,248,0,54619,1,1
1,0,654938,252,252,1,652152,3,0
1,0,1032018,49,49,1,1029001,3,0
0,0,1140600,196,196,0,1138639,0,0
1,0,411506,58,58,1,408474,3,0
1,0,924785,236,236,1,922281,3,1
0,0,1204,126,126,0,2,0,0
0,0,8397,15,15,0,5578,0,1
0,0,764760,202,202,0,762982,0,0
1,0,976,20,20,1,2,3,1
1,0,587182,273,273,1,584897,3,1
1,0,3258,40,40,1,436,3,0
1,0,6116,57,57,1,4224,3,1
0,0,606712,237,237,0,603989,0,0
1,0,21218,241,241,1,18921,3,1
0,0,2501,82,82,0,102,1,1
1,0,7457,214,214,1,4911,3,1
0,0,490870,45,45,0,489493,0,0
1,0,4777,18,18,1,2027,3,1
0,0,26225,206,206,0,24447,0,1
1,0,22430,44,44,1,19944,3,1
1,0,15107,262,262,1,12237,3,1
1,0,41742,307,307,1,39727,3,1
0,0,663320,258,258,0,660522,0,0
0,0,58458,114,114,0,55432,0,1
1,0,486237,24,24,1,483109,3,0
1,0,353345,138,138,1,350952,3,0
