Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position,Strand_Orientation
0,1037760,369,369,1037092,1
1,18293,404,404,17649,0
0,7200,136,136,6637,0
0,55025,359,359,54438,0
0,1457890,89,89,1457246,0
0,487260,204,204,486679,1
0,1995197,221,221,1994529,0
0,9057,388,388,8128,0
0,4555,133,133,3962,0
0,622513,27,27,621803,0
0,807166,154,154,806492,1
1,112468,401,401,111971,0
0,4870,341,341,4217,0
0,2682,268,268,1954,0
0,163066,8,8,162521,1
0,1955674,333,333,1955171,0
0,735451,96,96,734867,0
0,1357417,312,312,1356881,1
0,1487064,92,92,1486369,1
0,36247,73,73,35642,1
0,1187163,347,347,1186465,0
0,120884,35,35,120498,0
0,1921473,108,108,1920904,1
0,438865,352,352,438233,0
0,308712,370,370,308044,0
0,1033564,301,301,1032920,0
0,1604078,116,116,1603452,0
0,85370,62,62,84681,0
0,17407,265,265,16820,0
0,497483,126,126,496893,0
0,1707996,29,29,1707370,1
0,6677,379,379,6162,1
0,278070,226,226,277438,1
0,1731530,337,337,1730895,0
0,477620,209,209,476973,0
0,565167,382,382,564760,0
0,10321,127,127,9749,0
0,1686468,112,112,1685914,0
0,7629,234,234,6979,0
0,1645,356,356,1004,0
0,376974,56,56,376393,1
0,767988,275,275,767290,0
0,426818,139,139,426186,1
0,39701,53,53,39237,1
0,265007,263,263,264339,0
0,782,47,47,129,1
0,1118634,321,321,1117975,1
0,30799,74,74,30158,1
0,159847,68,68,159101,1
0,694973,309,309,694383,0
0,1637787,114,114,1637185,1
0,487905,171,171,487330,0
1,356421,430,430,355831,1
0,1932015,107,107,1931470,0
0,2027,40,40,1341,0
0,1743790,336,336,1743146,0
0,515441,210,210,514617,0
0,1109679,318,318,1109041,1
1,347837,18,18,347313,0
0,250738,325,325,250097,0
0,1579,3,3,1004,1
0,570400,77,77,569783,0
1,544317,148,148,543658,0
0,52129,269,269,51491,0
1,19103,380,380,18480,1
0,4829,262,262,4128,0
0,599763,237,237,598996,1
0,430625,12,12,430509,0
0,1142859,409,409,1142287,1
0,339516,229,229,338926,0
0,1413348,213,213,1412725,1
0,1066542,405,405,1065931,1
0,15668,345,345,15015,0
0,6518,306,306,5874,1
0,26110,308,308,25487,1
1,504309,428,428,503911,1
0,610947,367,367,610288,1
0,1935320,220,220,1934724,0
0,216763,324,324,216122,0
1,588625,159,159,587969,1
0,416038,383,383,415541,0
1,463493,101,101,462885,1
0,14001,394,394,13402,1
0,276224,138,138,275592,0
0,602338,322,322,601643,1
0,1845,389,389,1489,1
0,314714,123,123,314181,0
0,1473130,88,88,1472456,0
0,1100102,407,407,1099440,1
0,444695,32,32,444042,0
0,42175,386,386,41594,0
0,9261,129,129,8539,0
0,382637,58,58,382086,0
0,35038,305,305,34388,1
0,410050,252,252,409331,0
1,13194,350,350,12661,1
0,641578,84,84,640880,1
0,320021,423,423,319437,1
0,70385,302,302,69732,0
0,2893,384,384,2228,0
0,36160,20,20,35462,1
1,628319,186,186,627354,1
1,978860,280,280,978390,0
0,288480,176,176,287506,0
0,331967,155,155,331098,0
0,467996,365,365,467418,0
0,1344856,201,201,1344239,0
0,340144,413,413,339536,0
0,218124,168,168,217234,0
0,17055,49,49,16375,0
0,1049,288,288,204,1
0,789660,153,153,789061,1
0,855201,24,24,854569,1
0,281,10,10,3,1
0,16035,343,343,15472,0
0,301818,283,283,301183,1
0,6125,11,11,5631,1
0,578960,78,78,578253,0
0,1665163,30,30,1664528,0
0,538452,147,147,537880,1
0,278450,248,248,277617,0
0,473006,258,258,472107,0
0,16573,167,167,15977,0
0,1236,125,125,691,0
0,2152710,106,106,2152117,1
0,750998,203,203,750414,0
0,497850,298,298,497083,1
0,653543,85,85,652923,1
0,698962,97,97,698387,1
0,350824,414,414,350453,1
0,584282,134,134,583626,1
0,425782,143,143,425384,0
0,1183104,327,327,1182499,0
0,160801,403,403,160181,0
1,10872,104,104,10210,0
0,412598,285,285,411981,1
0,514088,297,297,513441,1
0,667099,4,4,666332,1
0,244449,292,292,243556,0
0,223254,293,293,222562,0
0,260483,178,178,259935,0
0,1069989,196,196,1069351,0
0,198335,43,43,197730,1
0,1235855,189,189,1235211,1
0,1109266,398,398,1108595,0
0,6197,387,387,5628,0
0,38888,80,80,38181,1
0,2159962,328,328,2159390,0
0,1411596,22,22,1410949,0
0,388432,197,197,388043,1
0,70633,60,60,70109,0
0,11230,374,374,10535,0
0,673589,187,187,672981,1
0,1677970,118,118,1677395,0
0,5761,375,375,5141,0
0,1875155,223,223,1874526,0
0,311313,422,422,310645,1
0,274287,174,174,273715,1
0,433446,208,208,432955,0
0,36542,385,385,35961,1
0,541203,103,103,540331,0
0,375081,122,122,374536,1
0,1134002,408,408,1133424,1
0,1481322,93,93,1480762,1
1,1261581,326,326,1260970,0
0,1739,6,6,1236,1
0,405277,142,142,404699,0
0,1581481,218,218,1580900,1
0,2442,289,289,1612,1
0,327963,424,424,327337,1
0,1392058,310,310,1391459,0
0,253089,179,179,252442,0
0,897457,277,277,896894,0
0,358436,282,282,358038,1
0,11470,48,48,11081,1
0,371048,281,281,370350,1
0,1943209,9,9,1942577,0
0,7470,273,273,6853,1
0,76266,284,284,75574,1
0,21243,14,14,20602,1
0,605996,243,243,605367,1
0,332148,411,411,331510,0
1,844685,368,368,844098,0
0,1790185,224,224,1789544,1
0,617680,238,238,617066,1
0,59685,50,50,58891,0
0,1591262,332,332,1590720,0
0,31626,357,357,31012,0
0,67780,415,415,67067,0
0,425359,253,253,424565,0
0,281837,180,180,281250,0
0,1169771,348,348,1169145,0
0,1192370,317,317,1191744,1
0,18926,390,390,18276,0
0,2115566,26,26,2114982,1
0,1094415,320,320,1093786,1
0,1559,52,52,987,1
0,395098,42,42,394403,1
0,128464,416,416,128075,0
0,1132814,319,319,1132212,1
1,385637,21,21,384969,0
0,1348,169,169,512,1
0,567879,381,381,567310,0
0,190891,67,67,190256,1
0,3660,198,198,3085,1
0,756041,99,99,755460,1
1,1671935,119,119,1671336,0
0,3008,165,165,2760,1
0,17644,349,349,17072,0
0,393310,286,286,392783,0
0,1001979,95,95,1001410,0
0,1611491,331,331,1610868,0
0,11006,13,13,10434,1
0,1840810,110,110,1840178,0
0,1150552,316,316,1149983,1
0,377041,363,363,376496,1
0,389569,254,254,388676,0
0,1212108,313,313,1211533,0
0,1806636,338,338,1806064,0
0,7249,54,54,6641,0
0,421453,417,417,420860,0
0,410649,144,144,410251,0
0,1121,2,2,531,0
1,690105,150,150,689434,0
0,7534,344,344,7151,0
0,14571,377,377,14272,0
0,237931,290,290,237338,0
0,615493,17,17,614912,0
0,253619,172,172,252897,0
0,244194,182,182,243160,0
0,1176204,399,399,1175530,0
0,668902,151,151,668282,1
0,22995,307,307,22609,1
0,47042,81,81,46335,1
0,6670,232,232,6140,1
