SportType,HostCountry,EditionNumber,StartLocation,EndLocation
1,5,59.0,22,15
1,0,102.0,23,2
1,5,,20,7
1,6,90.0,46,36
0,5,63.0,11,10
1,7,,41,25
1,5,62.0,44,15
1,0,92.0,23,2
1,5,69.0,21,27
1,1,17.0,35,18
1,1,68.0,31,17
1,0,80.0,28,11
1,2,97.0,4,32
1,2,106.0,5,14
1,5,,0,6
1,5,54.0,35,18
1,0,98.0,23,2
1,5,56.0,13,9
1,1,62.0,9,17
1,5,56.0,1,1
1,5,46.0,17,35
1,7,,37,22
1,3,47.0,26,33
1,0,75.0,8,11
1,1,61.0,19,17
1,2,88.0,36,16
1,2,108.0,10,4
1,5,64.0,2,15
1,5,68.0,45,15
1,5,,29,13
1,5,55.0,6,0
1,1,18.0,35,18
1,1,69.0,16,17
1,1,64.0,19,17
1,5,57.0,11,10
1,5,31.0,39,23
1,5,,14,29
1,1,65.0,19,17
1,7,,25,30
1,5,,3,3
1,2,93.0,30,24
1,2,96.0,34,5
1,5,,43,31
1,7,,40,26
1,0,89.0,23,2
1,2,104.0,30,8
1,1,102.0,42,20
1,5,,24,12
1,1,98.0,18,20
1,2,9.0,38,28
1,5,60.0,14,15
1,1,95.0,7,20
1,4,36.0,12,21
1,5,61.0,33,15
1,7,,32,34
1,5,52.0,15,19
1,5,,27,15
