GeneSubclass,GeneType,GenomicStartPosition,StrandOrientation,GeneLabel,EncodedProtein,GeneDbId,OrthologousGene,GenomicEndPosition
0,0,154221,0,154,7,154,60,155219
1,1,433053,0,127,2,127,24,434666
0,0,1493559,1,36,5,36,37,1494962
0,0,830434,1,13,17,13,38,831522
0,0,2,0,0,1,0,6,586
0,0,1085297,1,111,12,111,21,1086604
1,1,1,0,48,2,48,43,852
0,0,339975,0,74,1,74,10,340376
0,0,564966,0,34,20,34,16,566165
1,1,42453,1,28,2,28,4,43838
1,1,495068,1,95,2,95,60,496522
0,0,446896,0,2,0,2,70,447552
1,1,1458433,0,37,2,37,45,1459767
0,0,405798,0,8,1,8,77,405983
0,0,422017,0,145,19,145,19,423600
0,0,1107152,1,110,25,110,55,1108489
0,0,615924,0,57,25,57,74,617159
0,0,1398122,0,107,16,107,15,1398991
0,0,24556,1,131,0,131,47,25566
1,1,552229,0,93,2,93,56,553803
0,0,32737,0,49,17,49,67,33930
1,1,492284,0,56,2,56,22,492874
0,0,511070,0,152,21,152,2,512575
0,0,1687962,1,41,24,41,82,1689293
0,0,3,1,4,1,4,64,485
1,1,452175,0,96,2,96,60,452810
0,0,67296,1,136,19,136,78,68405
0,0,1001194,0,88,17,88,4,1002291
0,0,525035,1,149,25,149,79,526360
0,0,1879185,1,43,16,43,55,1880588
0,0,1933010,0,5,1,5,15,1933792
0,0,4900,1,59,17,59,4,6378
0,0,437293,1,97,0,97,78,437973
0,0,208193,1,50,4,50,17,209311
1,1,1070148,1,143,2,143,63,1071422
1,1,1777100,1,123,27,123,26,1778404
0,0,6249,0,7,0,7,28,7259
0,0,579490,0,35,25,35,49,580857
0,0,12657,0,91,0,91,4,13382
0,0,366097,0,148,0,148,48,367224
0,0,1246854,1,62,15,62,5,1248251
0,0,1497708,0,116,21,116,32,1499180
0,0,624868,1,39,17,39,33,626028
0,0,289018,0,73,23,73,59,290343
0,0,1116176,1,109,12,109,21,1117420
0,0,393862,0,90,10,90,35,395265
0,0,41221,0,101,17,101,13,42426
0,0,531106,1,150,25,150,62,532332
0,0,1740772,0,16,11,16,85,1741983
0,0,522770,1,114,25,114,78,523945
0,0,599905,1,113,17,113,80,601068
0,0,149964,0,138,19,138,78,151073
0,0,1651012,1,45,17,45,5,1651899
0,0,918156,0,85,12,85,58,919364
0,0,1604628,0,46,12,46,5,1605950
0,0,226948,0,115,17,115,29,228042
0,0,431189,0,6,19,6,73,432268
0,0,986558,0,87,0,87,85,987463
0,0,1732098,0,125,23,125,55,1733432
0,0,209817,0,153,5,153,1,211061
1,1,22417,0,24,2,24,24,23787
0,0,11150,0,29,17,29,4,12244
0,0,753767,1,53,26,53,61,754771
1,1,1803316,1,71,2,71,20,1804221
0,0,207000,0,58,0,58,85,207419
0,0,597786,1,75,0,75,45,598434
0,0,1171051,0,108,12,108,15,1172370
0,0,558766,1,92,25,92,0,559992
0,0,230514,1,84,8,84,72,231983
0,0,382214,0,23,19,23,15,383794
0,0,4708,0,42,11,42,4,6048
1,1,2073437,1,18,2,18,26,2074708
0,0,471425,0,52,9,52,68,472615
0,0,411703,0,51,25,51,62,412929
0,0,1897875,1,44,19,44,15,1898756
0,0,1750310,0,124,5,124,21,1751668
0,0,1092211,0,134,18,134,79,1093548
0,0,1682645,0,14,17,14,37,1683736
0,0,436320,0,65,1,65,16,437003
0,0,154689,1,112,22,112,38,155993
0,0,145715,1,94,6,94,45,146779
1,1,379126,0,79,2,79,11,379854
0,0,741516,1,38,17,38,55,742418
0,0,1275858,0,66,24,66,37,1277102
0,0,307640,0,82,15,82,53,308539
1,1,51379,1,135,2,135,30,52782
0,0,6742,1,33,22,33,41,7956
0,0,233434,1,3,0,3,81,233697
0,0,1571525,1,70,17,70,7,1572694
0,0,1950669,0,122,16,122,19,1951553
1,1,596868,1,128,2,128,66,597683
0,0,12373,0,25,12,25,4,13695
0,0,493452,0,40,23,40,63,494627
0,0,1586445,1,119,10,119,37,1587887
1,1,168840,1,32,2,32,9,169772
0,0,1403372,0,106,12,106,15,1404649
1,1,17596,0,26,2,26,75,18783
0,0,2089121,1,20,5,20,18,2090497
1,1,7716,1,47,2,47,3,9275
0,0,437786,0,102,17,102,42,439354
1,1,1071504,0,132,27,132,22,1072628
0,0,209856,1,151,19,151,49,211328
0,0,58461,0,100,19,100,76,59441
1,1,1787623,1,72,2,72,20,1789020
0,0,1505442,1,117,24,117,46,1506761
1,1,1142492,0,133,2,133,22,1143832
0,0,11954,0,22,0,22,4,13267
0,0,53844,0,27,0,27,4,54854
0,0,1419405,0,69,25,69,82,1420721
0,0,66767,0,99,19,99,51,67849
0,0,340480,0,9,0,9,52,340851
0,0,296987,0,78,17,78,12,298468
0,0,532,1,83,0,83,8,1359
1,1,1384861,0,104,2,104,45,1386264
0,0,457881,1,17,0,17,29,458510
0,0,898190,0,76,3,76,57,899374
1,1,2247,0,21,2,21,36,3182
0,0,1412150,0,12,25,12,55,1413484
1,1,5433,0,31,2,31,25,6500
1,1,161326,0,139,27,139,30,162444
0,0,482659,0,80,17,80,12,484137
1,1,261617,0,60,2,60,65,262696
0,0,1671053,0,15,5,15,37,1672453
0,0,496600,0,155,0,155,23,497535
1,1,112967,0,137,2,137,31,114367
0,0,799199,0,140,0,140,40,799780
1,1,415855,0,103,2,103,56,417432
0,0,1369569,1,68,19,68,82,1370954
0,0,317777,1,147,17,147,14,318880
0,0,798498,0,55,1,55,39,799094
0,0,14641,0,11,19,11,68,15753
0,0,16457,1,129,17,129,16,17944
0,0,1286318,1,61,10,61,55,1287718
0,0,173582,1,130,12,130,24,174865
0,0,6112,1,1,0,1,44,6483
1,1,7053,1,81,2,81,84,7961
0,0,402012,0,98,23,98,71,403184
0,0,83866,1,89,14,89,50,85134
0,0,1944244,0,121,0,121,15,1944921
0,0,1361035,1,105,17,105,15,1361937
1,1,2051877,1,19,27,19,45,2053277
0,0,1064159,1,142,13,142,83,1065367
1,1,923378,1,86,2,86,20,924253
0,0,332233,1,64,1,64,15,332931
1,1,1364481,0,67,27,67,18,1365596
0,0,935551,0,77,0,77,69,936561
1,1,1014583,0,63,2,63,26,1015761
0,0,23234,1,144,17,144,17,24760
0,0,303281,1,146,19,146,48,304330
0,0,9885,1,126,20,126,14,10763
1,1,812281,0,54,2,54,41,813285
0,0,1622125,1,120,0,120,37,1622991
0,0,348280,0,10,23,10,29,349644
0,0,1546002,1,118,21,118,34,1547471
1,1,63997,0,30,2,30,27,65502
0,0,1046660,1,141,19,141,54,1047742
