profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,birth_place,uci_rider_id,native_name,weight_kg,birth_date,olympedia_people_id,first_name,cycling_archives_cyclist_id,first_cycling_rider_id,height_cm,freebase_id,sport_country
0,36,41076.0,13362,38,56034.0,139405,49,65995.0,20,70.0,33,,37,51551,3277.0,177.0,23,11
0,2,46381.0,18610,22,77168.0,137427,35,71557.0,9,62.0,38,133837.0,19,63999,12474.0,173.0,0,9
0,29,27794.0,12923,27,156620.0,140821,6,58528.0,13,65.0,30,120895.0,24,36053,2961.0,176.0,31,9
0,51,11585.0,1994,52,569371.0,140778,22,28378.0,29,65.0,12,111576.0,48,13069,133.0,181.0,33,6
0,35,,191,35,,125655,27,13972.0,15,,6,,34,5602,841.0,,11,9
1,20,19255.0,3891,14,508772.0,140196,4,32532.0,5,71.0,15,113194.0,12,11292,716.0,183.0,9,15
0,14,44733.0,16677,51,213342.0,140118,19,73892.0,28,69.0,34,135249.0,47,64982,2324.0,185.0,37,8
0,14,44733.0,16677,51,213342.0,140118,19,73892.0,28,69.0,34,135249.0,47,64982,2324.0,185.0,37,8
1,0,49682.0,17893,41,39580.0,134456,1,553301.0,23,58.0,39,143135.0,40,65130,6242.0,172.0,42,15
0,10,3518.0,3,6,,140315,5,16554.0,15,58.0,8,,5,1807,149.0,169.0,16,6
0,33,56041.0,20719,33,127549.0,174582,41,88889.0,16,65.0,27,135863.0,32,72449,18655.0,177.0,46,9
0,22,953.0,16,16,,140543,11,13989.0,15,69.0,1,,14,1232,138.0,182.0,13,6
0,6,,25026,40,31358.0,198985,21,109855.0,22,54.0,50,141956.0,39,109700,58639.0,163.0,47,2
0,8,61640.0,21812,15,10093.0,170183,7,97091.0,6,58.0,46,144171.0,13,91127,20384.0,176.0,47,6
0,1,3262.0,387,1,1397142.0,137456,20,518429.0,0,62.0,10,111578.0,1,1567,3.0,176.0,29,13
0,50,41885.0,13080,47,142323.0,140628,18,64737.0,25,65.0,29,,44,58535,860.0,180.0,27,4
0,3,16289.0,5,2,470645.0,140924,25,14575.0,15,61.0,4,103634.0,2,7005,38.0,177.0,22,13
0,47,47214.0,16722,50,34792.0,140674,39,64531.0,15,71.0,35,132670.0,46,52973,6228.0,183.0,39,1
0,51,11585.0,1994,52,569371.0,140778,22,28378.0,29,65.0,12,111576.0,48,13069,133.0,181.0,33,6
0,48,15225.0,2437,42,,140630,40,30369.0,15,68.0,16,111612.0,40,13510,147.0,176.0,14,12
0,42,39842.0,12843,31,1311517.0,140292,43,67388.0,14,58.0,28,141955.0,28,57418,2276.0,166.0,36,2
0,42,39842.0,12843,31,1311517.0,140292,43,67388.0,14,58.0,28,141955.0,28,57418,2276.0,166.0,36,2
0,31,61866.0,23334,29,160840.0,185156,30,97634.0,15,65.0,45,133265.0,26,100717,35077.0,170.0,4,2
0,38,41892.0,19165,30,16935.0,137797,51,66315.0,15,73.0,41,,27,43238,11313.0,184.0,3,9
0,7,41075.0,10536,3,8232.0,140489,34,60455.0,1,68.0,22,,3,46549,948.0,183.0,34,9
0,18,20041.0,6807,37,61270.0,140781,32,32596.0,19,67.0,17,125028.0,36,21225,114.0,182.0,18,10
0,27,49621.0,18313,25,3871.0,133720,47,70623.0,11,70.0,37,,22,57216,8388.0,182.0,6,0
0,28,51170.0,11818,36,9793.0,137745,12,77534.0,18,62.0,26,,35,66567,6222.0,178.0,40,4
0,37,3827.0,4557,48,120363.0,140194,38,48167.0,26,69.0,18,,45,25237,1783.0,179.0,24,1
0,44,56666.0,18975,0,32176.0,133024,1,70590.0,15,58.0,39,133999.0,0,65132,20147.0,172.0,45,15
0,26,9290.0,84,23,138273.0,140549,2,11232.0,15,60.0,0,103648.0,20,4044,4.0,171.0,20,16
0,44,56666.0,18975,0,32176.0,133024,1,70590.0,15,58.0,39,133999.0,0,65132,20147.0,172.0,45,15
