profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,birth_place,uci_rider_id,native_name,weight_kg,birth_date,olympedia_people_id,first_name,cycling_archives_cyclist_id,first_cycling_rider_id,height_cm,freebase_id,sport_country
1,15,28995.0,7268,2,14079.0,140230,17,30942,6,67.0,2,134605.0,2,36522,3103.0,181,14,6
0,14,14221.0,333,15,45721.0,140862,10,24447,4,73.0,1,125333.0,15,9905,,186,9,8
0,30,52111.0,21295,30,,132361,16,75186,6,60.0,13,,30,66546,20511.0,172,2,6
0,6,62573.0,23503,5,54522.0,181270,20,92264,6,63.0,20,141954.0,5,91205,27124.0,174,18,3
0,25,41892.0,19165,20,16935.0,137797,29,66315,6,73.0,12,,20,43238,11313.0,184,4,8
0,28,57500.0,21405,22,,170313,21,86710,7,65.0,17,,22,82089,17252.0,180,5,9
0,20,58428.0,21992,16,23650.0,168776,25,86895,6,,18,,16,77835,16793.0,179,8,4
0,8,59981.0,22676,11,,170164,23,95753,2,69.0,16,144170.0,11,81741,28781.0,182,18,6
0,7,68529.0,24255,6,29548.0,181748,8,112351,6,53.0,23,142858.0,6,105237,37378.0,173,18,5
0,27,61775.0,23299,17,23252.0,164709,27,89223,6,68.0,14,,17,72207,25726.0,186,7,8
0,19,51170.0,11818,26,9793.0,137745,5,77534,9,62.0,7,,26,66567,6222.0,178,16,5
0,4,,24316,1,,181239,28,97280,12,67.0,19,146238.0,1,104872,37281.0,186,18,10
0,18,,17940,14,4499.0,138871,7,507857,6,59.0,11,135861.0,14,60701,6538.0,172,1,8
0,9,52495.0,19900,7,8437.0,141005,3,58947,6,65.0,6,134608.0,7,57565,14122.0,178,0,6
0,1,89309.0,29699,27,,211947,2,353375,10,,29,,27,144923,81835.0,174,18,3
0,0,16289.0,5,0,470645.0,140924,11,14575,6,61.0,0,103634.0,0,7005,38.0,177,11,12
0,23,56041.0,20719,24,127549.0,174582,22,88889,8,65.0,8,135863.0,24,72449,18655.0,177,17,8
0,12,65225.0,24934,23,13804.0,182731,18,111343,6,,25,146240.0,23,104017,37280.0,188,18,10
0,24,6162.0,2364,25,131674.0,140923,26,484564,6,,3,111601.0,25,15061,41.0,189,10,7
0,29,47214.0,16722,29,34792.0,140674,19,64531,6,71.0,10,132670.0,29,52973,6228.0,183,15,1
0,5,,29474,3,,215760,0,638202,6,,30,2502935.0,3,149604,92666.0,184,18,8
0,26,39842.0,12843,21,1311517.0,140292,24,67388,5,58.0,9,141955.0,21,57418,2276.0,166,12,3
0,13,65453.0,26508,4,,195739,15,150923,0,69.0,27,147406.0,4,113772,48539.0,183,18,13
0,2,69634.0,26526,28,5000.0,194619,6,149727,11,66.0,28,146565.0,28,115790,45992.0,176,18,11
0,22,56938.0,20257,18,17205.0,167585,4,86480,6,64.0,4,133037.0,18,81851,16569.0,175,3,2
0,23,56041.0,20719,24,127549.0,174582,22,88889,8,65.0,8,135863.0,24,72449,18655.0,177,17,8
0,17,66232.0,23948,13,,176305,13,109829,3,,21,,13,81941,37446.0,175,18,0
0,10,61565.0,24794,8,1195.0,178474,9,95012,6,,22,,8,74460,27097.0,192,18,6
0,11,65688.0,24926,9,465450.0,198937,30,95844,1,60.0,24,,9,100412,58275.0,175,18,3
0,3,22930.0,7279,10,11722.0,140229,1,58181,6,57.0,5,,10,30554,2741.0,170,13,6
0,21,61866.0,23334,19,160840.0,185156,14,97634,6,65.0,15,133265.0,19,100717,35077.0,170,6,3
0,0,16289.0,5,0,470645.0,140924,11,14575,6,61.0,0,103634.0,0,7005,38.0,177,11,12
0,16,69878.0,26378,12,,206876,12,162777,6,,26,,12,118440,61639.0,168,18,3
