StrandOrientation,GenomicEndPosition,GeneId,GeneDbId,EncodedProtein,GeneType,ChromosomeId,GenomicStartPosition
0,1160395,344,344,3,1,21,1159709
0,18293,401,401,3,1,94,17649
0,7200,131,131,4,0,44,6637
0,55025,356,356,4,0,82,54438
0,1464254,86,86,4,0,27,1463646
1,494817,199,199,4,0,22,494134
0,2016292,326,326,4,0,26,2015537
0,9057,385,385,4,0,89,8128
0,4555,129,129,4,0,63,3962
0,683253,96,96,4,0,27,682675
0,844685,365,365,3,1,21,844098
0,112468,398,398,1,1,93,111971
0,4870,337,337,4,0,77,4217
0,2682,260,260,4,0,75,1954
0,158502,17,17,4,0,8,158113
0,1955674,329,329,4,0,27,1955171
1,756041,97,97,4,0,27,755460
1,1368555,307,307,4,0,27,1367977
1,1487064,90,90,4,0,27,1486369
1,44362,298,298,3,1,14,43754
0,265007,254,254,4,0,22,264339
0,128464,413,413,2,0,13,128075
1,1921473,105,105,4,0,27,1920904
0,458814,349,349,4,0,16,458125
0,316703,368,368,4,0,15,316059
0,548591,221,221,2,0,18,548190
0,1604078,113,113,4,0,27,1603452
0,85370,59,59,4,0,57,84681
0,17407,257,257,4,0,73,16820
0,1033564,295,295,4,0,17,1032920
0,1738968,26,26,3,1,26,1738420
1,6677,376,376,4,0,85,6162
0,288418,218,218,4,0,3,287768
0,1731530,333,333,4,0,27,1730895
0,515441,202,202,4,0,6,514617
0,567879,378,378,2,0,19,567310
0,10321,123,123,4,0,60,9749
0,1686468,109,109,4,0,27,1685914
0,7629,225,225,4,0,69,6979
0,1645,353,353,4,0,82,1004
0,382637,55,55,4,0,3,382086
1,807869,23,23,3,1,26,807330
0,431207,424,424,4,0,4,430704
1,39701,50,50,4,0,56,39237
0,307213,255,255,4,0,22,306524
1,782,44,44,4,0,53,129
1,1132814,315,315,4,0,27,1132212
1,36247,70,70,4,0,14,35642
1,170789,66,66,4,0,13,170208
1,717564,266,266,4,0,26,716974
1,1637787,111,111,4,0,27,1637185
0,269583,417,417,4,0,4,268954
1,628319,180,180,3,1,12,627354
0,1932015,104,104,4,0,27,1931470
0,2027,38,38,4,0,51,1341
0,1743790,332,332,4,0,27,1743146
0,521226,203,203,4,0,6,520573
1,1118634,317,317,4,0,27,1117975
1,376974,53,53,4,0,3,376393
1,270264,217,217,4,0,3,269713
1,1579,2,2,4,0,33,1004
0,578960,74,74,4,0,7,578253
1,552848,141,141,4,0,21,552180
0,52129,261,261,4,0,75,51491
1,19103,377,377,3,1,85,18480
0,4829,253,253,4,0,72,4128
1,603114,234,234,4,0,9,602248
0,436400,10,10,4,0,15,435816
0,1148872,407,407,4,0,26,1148204
0,347837,16,16,3,1,3,347313
1,1581481,210,210,4,0,25,1580900
1,1081012,403,403,4,0,26,1080440
0,15668,341,341,4,0,78,15015
1,24470,300,300,4,0,1,23847
1,33001,18,18,4,0,13,32291
1,527500,426,426,4,0,4,526817
1,668902,145,145,4,0,21,668282
0,1995197,212,212,4,0,26,1994529
0,250738,320,320,4,0,3,250097
0,596495,157,157,4,0,4,595866
0,416038,380,380,4,0,30,415541
0,478938,99,99,4,0,0,478315
1,14001,391,391,4,0,91,13402
0,385637,19,19,3,1,21,384969
1,627298,98,98,4,0,6,626603
1,1845,386,386,2,0,90,1489
1,375081,119,119,4,0,11,374536
0,1473130,85,85,4,0,27,1472456
1,1134002,405,405,4,0,26,1133424
1,468801,294,294,4,0,3,468253
0,42175,383,383,4,0,87,41594
0,9261,125,125,4,0,61,8539
1,400683,54,54,4,0,3,400036
0,66227,299,299,4,0,1,65685
0,416102,243,243,4,0,15,415509
1,13194,346,346,3,1,80,12661
1,653543,82,82,4,0,10,652923
