StrandOrientation,GenomicEndPosition,GeneId,GeneDbId,EncodedProtein,GeneType,ChromosomeId,GenomicStartPosition
1,6912,11,11,1,0,37,4054
0,152656,70,70,1,0,6,149750
1,3512,38,38,1,0,46,570
0,2374,41,41,3,1,47,2
1,613086,34,34,1,0,12,611617
1,39716,21,21,1,0,15,38265
0,623307,61,61,1,0,4,621664
0,2321780,59,59,1,0,21,2320431
0,2321637,22,22,3,1,22,2320534
1,513352,29,29,3,1,13,509741
1,5459,12,12,3,1,38,369
1,85207,71,71,3,1,4,81746
1,6009,72,72,3,1,57,1594
0,241168,58,58,1,0,2,239609
0,10189,66,66,1,0,56,8723
1,12357,14,14,1,0,40,7624
1,13981,7,7,3,1,17,12296
0,166284,40,40,3,1,6,162214
0,2470,32,32,1,0,44,2
1,48747,75,75,3,1,16,45235
0,585395,44,44,1,0,3,582072
1,1879,4,4,2,0,25,2
0,826483,26,26,1,0,11,824891
1,187784,9,9,1,0,8,184617
1,3165,35,35,2,0,45,1
1,528926,68,68,1,0,11,526836
0,2326,13,13,3,1,39,2
0,463665,37,37,1,0,5,460870
1,467386,67,67,0,1,11,461438
0,576641,69,69,3,1,1,572922
0,219070,17,17,1,0,7,217661
1,1251315,39,39,3,1,19,1250056
1,14382,52,52,1,0,4,9970
1,31870,54,54,3,1,51,22712
0,574606,45,45,1,0,3,573398
0,2053,48,48,1,0,33,2
1,13747,19,19,3,1,18,12191
1,6974,51,51,3,1,50,1995
1,1537,1,1,2,0,27,2
1,1556,2,2,2,0,60,3
0,1997,5,5,1,0,26,1
1,26175,24,24,2,0,21,23011
0,375450,16,16,3,1,23,373273
1,11280,8,8,3,1,35,2713
1,72487,43,43,1,0,22,68564
0,3322,10,10,2,0,36,2
0,2309,31,31,1,0,32,3
1,5982,0,0,1,0,59,4234
0,4784,27,27,1,0,43,3
0,1059473,74,74,1,0,20,1058121
1,2868,25,25,1,0,29,1600
1,348754,57,57,1,0,22,344585
1,4686,63,63,2,0,54,1
1,24031,23,23,1,0,28,21731
1,478366,53,53,1,0,14,476669
0,4676,65,65,1,0,55,3
0,1271,28,28,1,0,30,3
0,8695,49,49,3,1,34,5075
0,2498,42,42,1,0,48,3
1,1119042,64,64,3,1,19,1112740
1,595601,33,33,1,0,12,591036
1,78154,46,46,1,0,0,73799
1,37338,36,36,1,0,24,35617
1,35785,3,3,1,0,9,34078
1,89064,47,47,1,0,0,84641
0,769652,6,6,1,0,10,767703
1,5803,62,62,1,0,53,896
0,4720,20,20,1,0,42,2
1,4039,60,60,1,0,52,1
0,2312,50,50,1,0,49,2
1,22057,55,55,1,0,9,19652
1,5221,30,30,1,0,31,2141
0,4653,15,15,3,1,41,1
1,72456,18,18,3,1,6,65872
0,2190,73,73,1,0,58,1
1,21673,56,56,1,0,24,20189
