Gender,SiblingName,BirthDate,FamilyName,DeathDate,FullName,GoogleKnowledgeGraphId,MiddleName,MotherName,PosthumousTitle
0,0,68,1,27,7,85,0,0,60
0,0,86,0,36,66,65,1,16,62
1,0,59,0,72,53,29,1,24,2
1,0,27,0,26,34,36,1,25,58
0,0,70,1,84,6,85,0,16,37
0,0,29,1,81,69,50,0,14,47
0,0,77,1,85,59,64,0,16,47
1,0,39,1,82,46,12,0,2,65
1,0,69,0,18,15,48,1,9,55
1,0,34,0,86,21,8,1,14,47
1,2,54,0,19,25,33,1,3,25
1,0,75,0,65,56,38,1,0,4
1,0,45,0,56,19,15,1,24,14
1,0,52,0,45,32,31,1,14,11
1,0,58,1,43,43,2,0,12,27
0,0,67,1,80,60,49,0,10,47
0,0,37,1,78,77,81,0,7,35
0,0,5,1,2,82,72,0,13,67
0,0,85,1,34,74,52,0,14,31
1,0,43,0,31,35,22,1,13,76
1,0,11,0,23,42,6,1,6,75
1,0,82,1,77,14,19,0,10,70
0,0,15,1,12,83,59,0,1,59
1,0,81,0,54,26,20,1,14,73
0,0,41,1,47,81,74,0,9,43
0,0,8,0,64,13,83,1,6,32
1,0,63,0,62,49,9,1,14,80
0,0,17,0,10,62,45,0,14,52
0,0,42,1,35,63,58,0,23,56
1,0,46,0,16,18,32,1,9,69
0,0,3,1,0,58,27,0,13,0
0,0,80,1,44,11,55,0,16,30
0,0,65,1,21,80,67,0,9,44
1,0,38,0,14,48,4,1,1,24
1,1,22,0,41,47,84,1,21,1
0,0,50,1,8,3,42,0,19,47
1,0,20,0,22,51,28,1,14,49
1,0,64,0,79,45,37,1,17,47
0,0,72,1,80,9,53,0,14,47
1,0,36,0,48,20,21,1,11,9
1,1,13,0,73,44,77,1,4,66
0,0,6,1,4,68,1,0,5,26
1,0,1,0,46,30,23,1,21,74
0,0,31,1,6,73,44,0,4,22
0,0,28,1,67,85,80,0,7,17
0,0,26,1,30,84,39,0,20,61
0,0,56,1,29,65,43,0,14,72
0,0,10,1,69,8,51,0,1,41
1,0,44,0,68,24,18,1,10,79
1,0,19,1,11,54,34,0,14,29
0,0,40,1,76,76,63,0,10,81
1,0,62,0,7,33,7,1,3,23
0,0,84,1,75,75,41,0,14,38
1,0,71,0,55,39,30,1,14,3
0,0,16,1,74,87,46,0,11,40
0,0,23,1,57,4,85,0,22,36
1,0,47,0,13,31,24,1,16,20
1,0,61,0,71,55,26,1,8,6
1,0,48,0,50,37,10,1,3,13
0,0,57,1,16,61,69,0,16,54
1,0,51,0,39,36,13,1,12,19
0,0,68,1,59,67,62,0,12,39
1,0,79,0,49,38,14,1,9,8
0,0,18,1,40,86,71,0,5,48
1,0,78,0,61,16,11,1,10,15
1,0,55,0,38,29,76,1,8,78
0,0,73,1,28,64,56,0,12,71
1,0,2,0,1,23,16,1,13,50
1,0,60,0,70,52,5,1,13,10
0,0,53,1,24,5,70,0,23,45
1,0,12,0,42,41,78,1,7,64
1,0,30,0,53,27,35,1,14,12
1,0,21,0,5,50,17,1,2,18
1,1,14,0,15,15,79,1,2,16
1,0,35,0,32,28,3,1,10,28
0,0,31,1,20,70,40,0,3,46
0,0,33,1,25,1,73,0,20,57
0,0,66,1,52,71,85,0,16,42
0,0,83,1,83,78,66,0,0,33
0,0,32,1,66,72,54,0,8,47
0,0,49,0,63,12,47,1,24,34
1,0,7,0,51,40,0,1,11,7
1,0,76,1,60,22,75,0,24,5
0,0,4,0,37,10,61,1,13,53
0,0,9,1,33,79,57,0,18,51
1,0,0,0,58,57,82,1,15,68
0,0,74,1,17,0,68,0,9,63
1,0,25,0,9,17,25,1,11,77
0,0,24,1,3,2,60,0,24,21
