Gender,SiblingName,BirthDate,FamilyName,DeathDate,FullName,GoogleKnowledgeGraphId,MiddleName,MotherName,PosthumousTitle
0,0,68,1,27,7,85,0,0,60
0,0,86,0,36,66,65,1,16,62
1,0,59,0,73,54,29,1,25,1
1,0,35,0,32,27,3,1,10,29
0,0,71,1,85,6,85,0,16,38
0,0,29,1,82,69,50,0,14,48
0,0,78,1,86,59,64,0,16,48
1,0,40,1,83,47,12,0,2,66
1,0,70,0,22,22,31,1,25,65
1,0,34,0,87,20,8,1,14,48
1,2,54,0,18,24,33,1,3,26
1,0,81,0,53,25,19,1,14,73
1,0,46,0,55,18,14,1,25,13
1,0,52,0,45,31,32,1,14,10
1,0,60,0,71,53,5,1,13,9
0,0,67,1,81,60,49,0,10,48
0,0,37,1,79,77,81,0,7,36
0,0,3,1,0,82,72,0,13,68
0,0,85,1,34,74,52,0,14,32
1,0,44,0,31,36,22,1,13,76
1,0,6,0,56,34,17,1,14,7
1,0,82,1,78,14,18,0,10,70
0,0,15,1,11,83,59,0,1,59
1,0,10,0,23,42,6,1,6,75
0,0,42,1,47,81,74,0,9,44
0,0,7,0,65,13,83,1,6,33
1,0,63,0,62,50,9,1,14,80
0,0,17,0,9,62,45,0,14,52
0,0,43,1,35,63,58,0,24,56
1,0,58,1,43,43,2,0,12,28
1,0,5,0,50,40,0,1,11,6
0,0,80,1,44,11,55,0,16,31
0,0,65,1,20,80,67,0,9,45
1,0,39,0,4,35,21,1,4,18
1,1,22,0,41,48,84,1,21,0
0,0,50,1,7,3,42,0,19,48
1,0,20,0,21,52,28,1,14,50
1,0,64,0,80,45,37,1,17,48
0,0,73,1,81,9,53,0,14,48
1,0,38,0,13,49,4,1,1,25
1,1,12,0,74,44,77,1,4,67
0,0,4,1,2,68,1,0,5,27
1,0,14,0,63,46,27,1,22,15
0,0,31,1,5,73,44,0,4,23
0,0,28,1,68,85,80,0,7,17
0,0,26,1,30,84,39,0,20,61
0,0,56,1,29,65,43,0,14,72
0,0,9,1,70,8,51,0,1,42
1,0,45,0,69,23,16,1,10,79
1,0,19,1,10,55,34,0,14,30
0,0,41,1,77,76,63,0,10,81
1,0,62,0,6,32,7,1,3,24
0,0,84,1,76,75,41,0,14,39
1,0,72,0,54,39,30,1,14,2
0,0,16,1,75,87,46,0,11,41
0,0,23,1,57,4,85,0,23,37
1,0,47,0,12,30,24,1,16,21
1,0,61,0,72,56,26,1,8,5
1,0,48,0,49,38,10,1,3,12
0,0,57,1,15,61,69,0,16,54
1,0,51,0,39,37,13,1,12,20
0,0,68,1,59,67,62,0,12,40
1,0,76,0,66,57,38,1,0,3
0,0,18,1,40,86,71,0,5,49
1,0,79,0,61,16,11,1,10,14
1,0,55,0,38,28,76,1,8,78
0,0,74,1,28,64,56,0,12,71
1,0,1,0,46,29,23,1,21,74
1,0,69,0,17,15,48,1,9,55
0,0,53,1,24,5,70,0,24,46
1,0,11,0,42,41,78,1,7,64
1,0,30,0,52,26,35,1,14,11
1,0,27,0,26,33,36,1,26,58
1,1,13,0,14,15,79,1,2,16
1,0,36,0,48,19,20,1,11,8
0,0,31,1,19,70,40,0,3,47
0,0,33,1,25,1,73,0,20,57
0,0,66,1,51,71,85,0,16,43
0,0,83,1,84,78,66,0,0,34
0,0,32,1,67,72,54,0,8,48
0,0,49,0,64,12,47,1,25,35
1,0,21,0,3,51,15,1,2,19
1,0,77,1,60,21,75,0,25,4
0,0,2,0,37,10,61,1,13,53
0,0,8,1,33,79,57,0,18,51
1,0,0,0,58,58,82,1,15,69
0,0,75,1,16,0,68,0,9,63
1,0,25,0,8,17,25,1,11,77
0,0,24,1,1,2,60,0,25,22
