Gender,SiblingName,FamilySurname,BirthDate,FirstName,DeathDate,FullName,GoogleKnowledgeGraphId,MiddleName,MotherName,PosthumousTitle
0,0,1,67,5,27,7,85,0,0,59
0,0,0,86,7,37,67,66,1,16,61
1,0,0,59,4,73,54,30,1,24,1
1,0,0,35,4,32,27,3,1,10,28
0,0,1,70,5,84,6,85,0,16,37
0,0,1,29,5,81,70,51,0,14,47
0,0,1,77,5,86,60,65,0,16,47
1,0,1,81,5,78,14,19,0,10,69
1,0,0,69,4,22,22,32,1,24,64
1,0,0,34,4,87,20,8,1,14,47
1,1,0,85,3,85,28,49,1,10,80
1,0,0,80,4,54,25,20,1,14,72
1,0,0,46,4,56,18,15,1,24,13
1,0,0,52,4,46,32,33,1,14,10
1,0,0,60,4,71,53,5,1,13,9
0,0,1,66,5,80,61,50,0,10,47
0,0,1,37,5,79,78,81,0,7,35
0,0,1,3,5,0,83,73,0,13,67
0,0,1,84,5,34,75,53,0,14,31
1,0,0,44,4,31,37,23,1,13,75
1,0,0,7,6,57,35,18,1,14,7
0,0,1,4,5,2,69,1,0,5,26
0,0,1,16,5,11,84,60,0,1,58
1,0,0,11,4,23,43,6,1,6,74
0,0,1,42,5,48,82,75,0,9,43
1,1,0,23,4,42,48,84,1,20,0
1,0,0,63,4,63,50,9,1,14,79
0,0,0,18,5,9,63,45,0,14,51
0,0,1,43,5,35,64,59,0,23,55
1,0,1,58,5,44,44,2,0,12,27
1,0,0,6,4,51,41,0,1,11,6
0,0,1,79,5,45,11,56,0,16,30
0,0,1,64,5,20,81,68,0,9,44
1,0,0,39,4,4,36,22,1,4,17
1,2,0,54,4,18,24,34,1,3,25
0,0,1,50,5,7,3,42,0,18,47
1,0,0,21,4,21,52,29,1,14,49
1,0,0,0,8,59,59,82,1,15,68
0,0,1,72,5,80,9,54,0,14,47
1,0,0,38,4,13,49,4,1,1,24
1,1,0,13,4,74,45,78,1,4,66
1,0,0,5,4,36,56,14,1,13,82
1,0,0,15,4,64,46,28,1,21,15
0,0,1,31,5,5,74,44,0,4,22
0,0,0,8,9,66,13,83,1,6,32
0,0,1,27,5,30,85,39,0,19,60
0,0,1,56,5,29,66,43,0,14,71
0,0,1,10,5,70,8,52,0,1,41
1,0,0,45,4,69,23,17,1,10,78
1,0,1,20,5,10,55,35,0,14,29
0,0,1,41,5,77,77,64,0,10,81
1,0,0,62,4,6,33,7,1,3,23
0,0,1,83,5,76,76,41,0,14,38
1,0,0,71,4,55,40,31,1,14,2
0,0,1,17,5,75,87,46,0,11,40
0,0,1,24,5,58,4,85,0,22,36
1,0,0,47,4,12,31,25,1,16,20
1,0,0,61,4,72,57,27,1,8,5
1,0,0,48,4,50,39,10,1,3,12
0,0,1,57,5,15,62,70,0,16,53
1,0,0,51,4,40,38,13,1,12,19
0,0,1,67,5,60,68,63,0,12,39
1,0,0,75,4,67,58,38,1,0,3
0,0,1,19,5,41,86,72,0,5,48
1,0,0,78,4,62,16,11,1,10,14
1,0,0,55,4,39,29,77,1,8,77
0,0,1,73,5,28,65,57,0,12,70
1,0,0,1,4,47,30,24,1,20,73
1,0,0,68,4,17,15,48,1,9,54
0,0,1,53,5,24,5,71,0,23,45
1,0,0,12,4,43,42,79,1,7,63
1,0,0,30,4,53,26,36,1,14,11
1,0,0,28,4,26,34,37,1,25,57
1,1,0,14,4,14,15,80,1,2,16
1,0,0,36,4,49,19,21,1,11,8
0,0,1,31,5,19,71,40,0,3,46
0,0,1,33,5,25,1,74,0,19,56
0,0,1,65,5,52,72,85,0,16,42
0,0,1,82,5,83,79,67,0,0,33
0,0,1,32,5,68,73,55,0,8,47
0,0,0,49,2,65,12,47,1,24,34
1,0,0,22,4,3,51,16,1,2,18
1,0,1,76,5,61,21,76,0,24,4
0,0,0,2,1,38,10,62,1,13,52
0,0,1,9,5,33,80,58,0,17,50
1,0,1,40,5,82,47,12,0,2,65
0,0,1,74,5,16,0,69,0,9,62
1,0,0,26,0,8,17,26,1,11,76
0,0,1,25,5,1,2,61,0,24,21
