Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Strand_Orientation
1,3818,117,117,1,2061,1
0,497232,50,50,0,497002,0
1,1220025,98,98,1,1218841,0
1,2356,7,7,1,188,0
1,553680,111,111,1,551527,1
1,17469,87,87,1,15220,0
0,551749,32,32,0,551012,0
1,160581,125,125,1,159610,1
1,17708,30,30,1,16425,1
1,802663,58,58,1,801878,0
1,501852,59,59,1,499696,1
1,1105132,106,106,1,1103840,1
1,590889,96,96,1,588715,1
1,2355697,100,100,1,2354525,0
1,5081,19,19,1,2874,1
1,2356776,6,6,1,2355799,0
1,1431,21,21,1,1,0
1,1193345,105,105,1,1191366,0
1,195717,5,5,1,194815,0
1,395040,110,110,1,392911,1
1,1058918,108,108,1,1056777,0
1,114991,85,85,1,114542,1
1,161676,78,78,1,160684,1
1,5239,49,49,1,3059,1
1,2942,34,34,1,882,1
1,603844,97,97,1,602780,1
1,18169,8,8,1,16115,1
1,508321,33,33,1,506186,0
1,32651,27,27,1,31587,1
1,646319,103,103,1,643902,0
1,346367,41,41,1,344166,1
1,2001346,64,64,1,1998842,0
1,705460,51,51,1,703286,0
1,203063,81,81,1,200871,0
1,5373,104,104,1,3175,0
1,80858,14,14,1,80019,1
1,53186,22,22,1,51024,0
1,18788,26,26,1,16752,1
1,5374,107,107,1,4073,1
1,305003,101,101,1,302736,0
1,194168,89,89,1,192141,0
1,605835,113,113,1,604711,1
0,302402,44,44,0,301785,1
1,628874,56,56,1,628374,1
1,1560715,16,16,1,1558235,1
1,141673,126,126,1,140918,1
1,38921,60,60,1,36609,1
0,352533,109,109,0,352018,1
1,879776,20,20,1,877512,0
1,229342,93,93,1,227192,1
1,6731,35,35,1,4560,1
1,628270,37,37,1,627785,1
0,875271,71,71,0,874933,0
1,53693,57,57,1,52560,1
1,1092022,122,122,1,1090076,1
1,122127,119,119,1,120202,0
1,2117,25,25,1,3,1
1,573072,94,94,1,571858,0
1,10034,9,9,1,9492,0
1,64228,75,75,1,62066,1
1,238993,67,67,1,236726,1
1,479217,79,79,1,477172,0
1,606833,36,36,1,604902,0
0,356850,24,24,0,356083,1
1,6331,18,18,1,3935,0
1,69895,4,4,1,67685,1
1,27802,123,123,1,25553,1
1,4270,23,23,1,3989,1
1,149082,120,120,1,147823,0
1,551317,83,83,1,549344,0
1,85717,39,39,1,84713,1
0,12912,3,3,0,12295,0
0,116089,76,76,0,115388,1
1,24063,90,90,1,21859,0
1,399746,92,92,1,397836,0
1,551038,38,38,1,548948,0
1,258202,88,88,1,255983,1
1,7513,2,2,1,7115,1
1,522056,129,129,1,520707,0
1,560632,53,53,1,560198,0
1,8796,43,43,1,6766,1
0,242101,45,45,0,241769,0
1,742170,80,80,1,739927,0
1,13846,12,12,1,12761,0
1,886828,77,77,1,884852,1
1,656983,70,70,1,654773,0
1,29812,132,132,1,28472,1
1,45873,86,86,1,43711,1
1,2323,66,66,1,1850,0
1,510087,17,17,1,508918,0
1,20468,95,95,1,18309,1
1,47761,116,116,1,45575,0
1,2179419,99,99,1,2176948,1
1,143770,130,130,1,141896,0
1,395811,48,48,1,393328,0
1,50190,28,28,1,48196,0
1,107570,31,31,1,105642,1
1,216636,68,68,1,214564,1
1,26356,42,42,1,24182,1
0,521,0,0,0,3,1
1,2747,84,84,1,2046,0
1,843337,63,63,1,841178,0
1,630544,13,13,1,630077,0
1,61722,124,124,1,61057,1
1,414917,91,91,1,412986,0
1,9794,121,121,1,7884,1
1,630340,40,40,1,629867,0
1,576256,1,1,1,575726,0
1,8315,11,11,1,7779,1
1,640806,112,112,1,638620,0
1,808511,73,73,1,806334,0
1,45587,118,118,1,43530,1
1,7341,15,15,1,5542,1
0,591642,55,55,0,591283,1
1,28251,115,115,1,27310,0
1,15656,47,47,1,13635,1
1,495949,82,82,1,493973,0
1,33070,65,65,1,31073,1
1,12118,52,52,1,9896,0
0,569,74,74,0,3,1
1,1428134,62,62,1,1426182,0
1,2001160,72,72,1,1999253,0
1,967593,54,54,1,965515,1
0,1157244,29,29,0,1157023,0
1,292285,128,128,1,290090,1
1,131468,102,102,1,129252,1
1,429,127,127,1,1,0
0,461012,69,69,0,460530,0
1,804175,46,46,1,801998,0
1,1718373,10,10,1,1716442,0
1,111044,131,131,1,109113,0
1,853635,114,114,1,852247,0
1,1375094,61,61,1,1372983,1
