Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,1657997,65,65,1,1,1656996,1
1,58538,61,61,1,1,57471,0
1,1602456,69,69,1,26,1601461,1
1,2778067,77,77,1,18,2777256,1
1,4928890,44,44,1,36,4928031,0
1,13874,55,55,1,21,12861,0
1,2701234,75,75,1,18,2700800,1
1,28694,12,12,1,20,27603,0
1,12370,13,13,1,8,11651,1
1,42462,5,5,1,19,41643,1
1,40888,71,71,1,24,39787,0
1,316194,32,32,1,35,315103,0
1,4680665,39,39,1,36,4680221,1
1,1525212,67,67,1,23,1524124,1
1,110828,86,86,1,11,110240,0
1,123255,0,0,1,23,122167,1
1,161602,45,45,1,35,161114,0
1,488570,52,52,1,17,487527,1
1,91953,85,85,1,18,91237,0
1,106006,73,73,1,24,105019,0
1,43863,56,56,1,21,42899,0
1,504,26,26,1,32,1,1
1,102323,72,72,1,24,101223,0
1,4624842,38,38,1,36,4624609,0
1,11481,3,3,1,19,10372,1
1,276140,74,74,1,18,275810,0
1,4617650,37,37,1,36,4616627,1
1,4886914,41,41,1,29,4885825,1
1,1458246,66,66,1,26,1457223,1
1,99841,58,58,1,21,98736,0
1,194569,11,11,1,30,194282,1
1,8016,16,16,1,36,6937,1
1,1627435,64,64,1,3,1626329,1
1,27963,4,4,1,7,26928,1
1,35768,23,23,1,24,34899,1
1,2828316,79,79,1,11,2828057,1
1,1059325,36,36,1,13,1058269,1
1,24068,2,2,1,31,22974,1
1,1519931,63,63,1,1,1518837,1
0,3881350,35,35,0,2,3880631,0
1,52860,57,57,1,21,51868,0
1,54319,84,84,1,18,54090,0
1,117916,8,8,1,30,116895,0
1,147163,1,1,1,23,146132,1
1,8695,27,27,1,22,7658,0
1,9545,18,18,1,25,8451,1
1,37606,14,14,1,9,36634,0
1,280404,46,46,1,35,279292,0
1,2894078,80,80,1,11,2893272,1
1,24585,20,20,1,32,23647,1
1,2768972,76,76,1,11,2768302,1
1,61655,7,7,1,14,60688,0
1,440767,51,51,1,35,439669,1
1,20661,29,29,1,12,19786,1
1,26009,22,22,1,4,25214,0
1,136147,87,87,1,18,135143,0
1,365765,48,48,1,17,364669,1
1,2793037,78,78,1,11,2792413,0
1,11216,17,17,1,28,10914,0
1,346788,47,47,1,17,345770,0
1,4917356,43,43,1,36,4916496,1
1,7466,70,70,1,5,6656,0
1,2619,25,25,1,0,1549,1
1,384305,49,49,1,17,383880,1
1,512368,53,53,1,17,511387,1
1,5116,30,30,1,16,4451,0
1,27304,83,83,1,18,26720,0
1,1552224,68,68,1,23,1551602,1
1,3452,19,19,1,15,2775,0
0,48649,33,33,0,33,48272,1
1,3039694,82,82,1,18,3039010,0
1,46062,60,60,1,3,45070,0
0,1336926,34,34,0,2,1336549,0
1,1480230,62,62,1,1,1479247,1
1,173247,10,10,1,30,172157,1
1,17950,21,21,1,4,17621,0
1,4902805,42,42,1,36,4901729,1
1,169178,9,9,1,30,168184,1
1,8179,6,6,1,34,7580,0
1,1748,31,31,1,33,855,1
1,1499119,59,59,1,27,1498235,1
1,389934,50,50,1,17,388935,1
1,4822708,40,40,1,36,4822273,1
1,11287,28,28,1,10,10360,0
1,2402,54,54,1,6,1251,0
1,9372,15,15,1,3,8812,0
1,2945516,81,81,1,11,2945082,1
1,54340,24,24,1,17,53434,0
