Gender,Biography,Birth_Date,First_Name,Entity_Type,Death_Date,Birthplace,Languages,Profession,Surname
1,12,49,35,0,60,34,6,26,10
1,23,28,20,0,41,2,7,6,46
1,34,8,12,0,11,49,3,14,32
1,29,57,51,0,64,6,7,6,45
1,43,23,34,0,13,15,6,0,32
1,8,14,17,0,7,45,3,37,37
1,12,65,18,0,63,11,7,34,11
1,14,56,8,0,65,31,7,4,26
1,26,36,39,0,44,50,7,6,32
1,39,11,49,0,31,31,6,26,32
1,3,40,10,0,55,29,1,26,16
1,12,39,32,0,53,53,7,32,30
0,38,20,34,0,50,48,7,25,48
1,12,26,34,0,25,56,6,0,3
1,42,34,38,0,17,3,6,0,28
1,32,74,30,0,45,13,7,6,38
1,12,12,5,0,9,38,0,9,32
1,12,7,2,0,12,20,6,0,32
1,28,47,20,0,49,12,7,6,33
1,4,2,47,0,3,10,2,3,34
1,35,68,8,0,62,37,7,20,2
1,12,13,33,0,35,44,8,19,32
1,24,30,0,0,39,2,7,6,32
1,45,54,27,0,14,0,6,1,18
1,47,78,7,0,54,6,7,6,8
1,10,35,40,0,20,31,6,0,32
1,31,69,43,0,43,33,7,6,4
1,13,15,22,0,31,18,7,18,14
1,41,21,37,0,32,6,7,7,31
1,12,33,34,0,23,41,9,37,32
1,36,10,9,0,10,58,5,23,36
1,12,22,19,0,29,24,3,28,17
1,12,17,31,0,8,17,6,22,15
1,16,37,8,0,72,6,7,6,42
1,5,32,39,0,25,4,6,30,35
1,44,53,6,0,21,28,6,15,40
1,27,38,44,0,52,6,7,6,21
1,12,9,42,0,33,42,7,12,50
1,6,19,36,0,27,1,6,17,39
1,12,51,6,0,19,31,6,0,25
1,50,5,25,0,53,8,6,26,41
0,12,79,34,0,72,54,6,0,32
1,12,6,3,0,4,55,0,33,32
1,18,70,12,0,69,42,7,6,32
1,46,64,47,0,57,57,7,31,29
1,21,18,16,0,34,5,7,11,7
0,37,46,50,0,47,26,7,25,24
1,12,29,13,0,25,4,6,0,32
1,12,44,14,0,24,9,6,0,5
1,12,58,33,0,23,51,6,0,32
0,52,76,34,0,71,42,6,0,19
0,40,16,28,0,38,31,7,36,32
1,9,4,29,0,6,36,4,21,1
1,12,52,23,0,20,40,8,0,32
1,12,0,34,0,0,25,5,24,12
1,19,42,46,0,61,22,7,8,0
1,12,25,41,0,23,30,6,0,9
1,39,73,44,0,68,7,7,26,32
1,12,43,34,0,18,21,6,0,32
1,48,1,34,0,1,23,4,16,32
1,12,48,14,0,15,3,6,0,22
1,12,24,34,0,42,31,6,35,32
1,2,75,34,0,66,42,6,6,32
1,11,45,23,0,30,27,8,0,32
1,12,55,48,0,26,43,6,0,32
1,25,31,0,0,46,50,7,6,43
1,21,60,32,0,51,47,7,11,44
1,22,27,24,0,37,33,7,6,49
1,20,77,1,0,67,6,7,10,13
1,51,79,34,1,5,31,6,2,32
1,12,59,34,0,36,46,6,27,32
1,1,72,4,0,58,6,6,6,32
1,15,63,32,0,70,35,7,5,32
1,49,3,34,0,2,16,6,11,32
1,17,66,21,0,40,52,7,6,47
1,30,67,45,0,48,6,7,6,6
1,12,50,11,0,28,19,6,0,27
1,12,62,23,0,16,32,8,0,32
1,7,41,15,0,22,39,6,29,23
1,0,71,44,0,59,42,6,6,32
1,33,61,26,0,56,14,7,13,20
