Gender,Biography,Birth_Date,First_Name,Entity_Type,Death_Date,Birthplace,Languages,Profession,Surname
1,2,9,24,0,11,14,1,5,42
1,64,23,26,0,30,7,5,35,6
0,60,101,14,0,62,3,5,24,42
1,20,88,63,0,62,37,5,11,42
1,20,71,66,0,62,29,5,11,42
0,27,92,51,0,62,54,4,11,42
0,20,77,7,0,62,33,4,11,42
1,27,45,3,0,59,43,4,13,42
1,48,31,52,0,52,87,5,8,19
1,27,104,5,0,62,60,4,23,55
1,26,83,31,0,62,19,4,8,8
0,72,100,51,0,62,9,5,24,13
1,32,38,13,0,62,40,4,28,40
1,43,21,37,0,20,68,5,25,36
1,22,44,54,0,50,26,4,17,53
0,6,96,57,0,61,38,5,34,25
1,32,54,62,0,41,20,4,22,42
0,32,33,10,0,51,6,5,26,42
1,27,67,70,0,54,46,5,23,42
1,12,41,30,0,57,35,3,11,42
1,27,74,3,0,62,25,4,23,42
1,34,39,33,0,53,51,5,23,39
0,20,81,55,0,62,55,5,11,42
1,67,68,0,0,62,75,4,6,42
1,51,10,51,0,16,57,5,25,41
1,69,60,67,0,60,82,4,36,42
1,35,53,45,0,47,61,4,36,42
0,20,108,65,0,62,54,4,11,60
1,39,49,4,0,42,49,5,9,16
0,62,108,61,0,62,54,0,36,54
1,37,78,53,0,62,79,4,36,44
0,20,103,42,0,62,15,4,11,48
1,31,99,17,0,62,15,5,29,3
1,10,32,3,0,25,42,5,36,18
1,47,19,51,0,22,21,5,15,42
1,59,11,47,0,14,76,5,25,20
1,17,85,54,0,62,64,5,1,42
1,30,47,28,0,27,10,4,23,42
1,36,55,33,0,58,70,5,20,14
1,65,42,36,0,48,69,5,33,37
1,20,76,9,0,62,54,4,11,27
1,45,1,19,0,1,31,2,2,12
0,15,72,50,0,62,89,4,22,42
1,20,69,54,0,55,65,5,11,5
1,71,14,6,0,6,66,4,8,42
1,42,8,51,0,5,4,4,19,42
1,32,27,49,0,28,15,4,33,33
1,74,43,64,0,46,11,5,20,42
1,32,37,67,0,38,80,5,36,61
1,20,66,3,0,62,39,5,11,42
1,54,12,35,0,10,28,5,32,42
1,61,22,53,0,15,41,5,30,65
1,27,17,34,0,21,21,5,23,57
0,73,0,51,0,0,77,4,0,42
1,57,6,69,0,9,83,5,18,2
1,51,29,51,0,36,74,5,25,1
1,27,91,70,0,62,13,4,23,42
1,1,2,51,0,3,16,1,23,42
1,58,3,12,0,2,2,5,12,30
1,25,36,60,0,34,15,4,21,42
0,20,90,40,0,62,52,5,11,6
0,68,59,2,0,62,44,5,20,42
0,60,97,58,0,62,73,5,24,50
0,66,102,51,0,62,24,5,11,44
0,46,80,41,0,62,50,5,10,4
1,50,106,16,0,62,9,5,31,22
1,37,64,11,0,62,23,4,11,52
1,29,62,6,0,39,36,4,21,42
0,14,79,65,0,62,85,3,11,9
1,41,46,4,0,49,63,4,15,42
1,55,18,48,0,18,88,5,10,32
1,62,15,27,0,7,5,5,11,58
1,27,86,60,0,62,11,5,4,46
1,27,87,48,0,62,59,4,8,42
1,62,84,18,0,62,9,5,36,10
1,32,48,59,0,43,81,5,36,51
1,24,73,33,0,27,47,5,5,0
0,21,108,21,0,62,54,4,14,21
1,49,16,56,0,17,1,5,11,15
1,32,63,4,0,62,22,4,11,64
0,9,63,55,0,62,54,4,14,42
1,11,93,20,0,62,32,5,23,49
1,42,51,51,0,31,48,5,11,42
1,38,82,15,0,62,78,5,11,42
1,23,58,44,0,37,84,5,5,23
1,27,70,32,0,62,72,5,23,31
1,16,107,51,0,62,15,4,23,42
1,3,5,22,0,4,53,3,11,26
1,56,13,29,0,12,42,5,11,17
1,42,95,25,0,62,15,4,7,42
1,8,61,54,0,62,89,5,25,47
1,18,50,23,0,35,18,6,9,35
1,70,20,68,0,62,15,4,11,42
1,42,40,46,0,44,86,5,27,45
0,5,98,1,0,62,9,5,1,34
0,20,94,8,0,62,54,4,11,57
1,52,25,38,0,24,30,5,25,38
1,0,7,23,0,13,14,4,6,43
1,28,52,33,0,29,45,4,36,63
1,33,24,67,0,23,12,5,16,42
0,40,65,65,0,56,34,5,36,59
1,53,28,33,0,26,14,5,9,7
1,13,89,54,0,62,71,4,23,42
1,19,4,43,0,8,8,5,23,24
1,44,56,66,0,45,62,5,23,28
1,42,105,51,0,62,9,4,3,42
1,4,26,71,0,32,0,0,6,56
0,27,57,39,0,33,67,4,23,42
1,32,35,67,0,19,56,5,16,62
1,7,34,67,0,62,58,5,0,11
1,63,30,60,0,40,27,0,11,29
1,20,75,67,0,62,17,5,11,42
