Viaf_Id,Gnd_Id,Freebase_Id,Library_Of_Congress_Authority_Id,Commons_Category,World_Cat_Identities_Id_Superseded,Social_Media_Followers,Main_Category,Id_Ref_Id,National_Library_Of_Israel_J9u_Id,Nl_Cr_Aut_Id,Quora_Topic_Id
124213732,1,1,8,2,0,17900.0,2,26406284.0,987007554812905171,4,2
135375457,10,6,21,11,14,1747347.0,11,80728499.0,987007559777805171,11,10
122530980,2,0,15,3,9,122802.0,3,31278736.0,987007559530305171,5,3
136600716,15,17,6,5,0,,4,27250679.0,987007552531105171,14,4
133609710,20,13,5,20,4,6660.0,20,26376296.0,987007552531805171,19,18
189116956,5,3,20,9,0,,9,30685435.0,987007559778705171,23,8
130168302,23,15,2,23,2,17500.0,23,26376598.0,987007269139705171,2,23
264091107,6,20,4,7,0,5300.0,7,26378329.0,987007552533205171,8,6
156652814,16,10,0,15,1,,15,26357240.0,987007550359005171,1,20
128919823,0,16,10,0,6,9552.0,0,133263886.0,987007554809605171,3,0
159367111,14,4,1,14,0,,14,,987007550240205171,13,13
155855229,17,11,11,16,7,,16,26396009.0,987007554807405171,15,15
149669363,11,8,16,12,10,81025.0,12,26488655.0,987007559654805171,20,11
158208597,12,7,19,17,13,44987.0,17,26389452.0,987007564355605171,18,21
159069376,22,22,13,19,8,207107.0,19,28016009.0,987007560981705171,0,17
146498911,13,9,3,13,3,,13,,987007552535305171,12,12
124251001,19,12,18,18,0,,18,27262952.0,987007561817905171,17,16
134815917,9,5,22,10,0,654408.0,10,27953920.0,987007566736505171,10,9
150675140,3,2,7,4,5,17671.0,5,26362619.0,987007552632805171,6,14
135958350,4,23,12,6,0,12000.0,6,26374196.0,987007554807005171,7,5
148842731,18,21,17,1,11,,1,26359863.0,987007559651305171,16,1
127756949,7,14,14,22,0,,22,26488515.0,987007554952005171,21,22
150029386,8,18,23,8,15,,8,176576525.0,987007557547605171,9,7
159364209,21,19,9,21,12,50500.0,21,26401606.0,987007554811405171,22,19
